feature_id	sequence_length	frequency	samples_observed	sequence_sha256
2dc45b7fb6c25d018ed33151dc488af2	253	2	1	b0c4506a1d5c5a622552a3b5333af79bfcaad8d1a92938442460c944e40cfb1e
2e27723ea895ab1bdef90d3cedae756c	253	2	1	3b612f1b15dc1751e86a16da2c189eb0e6ea59061b351af353e31e3a51479731
2eb524be6fd8ca1d369b90802ec920f7	254	11	1	40f3ff6c7be31ab9e236f815b76765f10db322555e89dcb1ab8fef68ded09baf
321ef9ed6e9912549618aed741da32ae	253	4	1	976697bee96f513954bd84e2ae7056a411129029838be4b1fb44796d34fe3c06
3421464bea79a54e7eef62009457230b	253	74	2	e8317b6b32bbe261e4b2f5610740706eee5d79823924f247985e8d87d869180f
34226986d9a7cc490b63dbf9928b9bee	253	4	1	1a1aa20623a7c5d27fd6473e7dae5b05ad50aa62472df1bb5007b4ad597c1bc5
347835f89b2f1d7b5a72588b1b865e37	253	2	1	3fe2fe7ef259dea8004061c3e20c932ec36db8c13bb066a8ea228c459b65845b
3500fa9dc0abd948eb9ea521d16a0078	253	5	1	63faef33900b795dc544d877bc175966ba966fb454e5470333fa2579ee45d9f3
35a6f0e22139772d9a3f13bab06a63ef	254	2	1	28959739c5d312f5e620573db31dc23b99c08f7fc2344da03a25b9d9843ef303
35b5c3571de55e4d911b3b2166603472	254	2	1	7bbfdf1196f944ee0735ba6e929991e6417b3d8357d626be8a224ccad2c06f17
3715428636032e0e71f8f766bd207496	252	6	1	ed54cb94e78c0e2fcc03b3040aa742537196348ae813843ecaa17630281c1d71
37210dbdd24c1f5b8c4339e77a1dea9f	254	9	1	bca2479997d79f0b3cd05f589f70f2328e02f8cc1510c3b3cb3f54c4e1e72bc4
37c2360b5cb7a7212a2ff15fba12b270	253	4	1	a1b45c4441583376993cc76559ccf9dc2b9ec0dadc111acceb20b0856ac4b369
38c27ceaed634984c1225a82648cf571	253	150	3	98bfaab1ef06b8f386bb557276eb7323a919f97185690c6328a817f7e83cddd9
38e47a88b1aa23639981c3b0c41c7cb2	254	3	1	5256cacc9448de4fd29f9b2d8ab803eb749d50c6e574e71e895bcf39ffef7120
3988276297394e687bdf29286da7fade	253	3	1	eb89f62d09620b02ef2f20eeb3ee7582fd76258d542e220afb8dc6e080af09fd
39d96ded98b9db72e5ce5de3df737669	253	4	1	791b21ae04bab29f614eb8df730d95ed48692b8e68492e0531a1f74650ba4606
3a40f1244d2f3b91b2b6b5032e5f9745	253	5	1	fa9c364a2c0b6116297847ad04c55c8cf7679d885d32572ffc7c0ceab1a0376c
3aaa89901133838c319d53c68be8fa75	253	8	1	6629c0a4c783480a9aa8e569f5e57a3dcd1855d780967bd1eb1e192355aa4a27
3add7546155d28d51903ff1038f70c36	254	20	2	4943aac4482fde332e264666a00f521acaf3912132437e4b0eb701b3329e1fbf
3b67e7154ea0da9a956643e8984387ff	253	5	1	a6d0b989a40d0d84be3bb2a83a3a0b68379f36ff977d16ccdbf34e84283d5cb0
3b9a01065c42a103da04a5695ff4693f	253	3	1	8e057d4c2468e7d77b9a33b05475ce27759051b3dfcfd72d1810158269293352
3bc08fee0eec65a1d1aa91483402d80a	253	6	1	0c0d85801fe97f0a8c113a9cc8e877537783960285b1caa38c787830a5ff4eaf
3bf4d00fc2bd96c04242fb5d743b1daf	253	12	1	98513dc1247fed5ef344dfb9b85821659ece56bef517a5b8adabc7d824510fc9
3cfb94dcb6434332475efa51c653318a	254	2	1	258b4e398aa52eccb938a67f27eea0c1b79804b1356e06df9c57afc3821569e0
3cffb8b7f8e218c4e0d2c03d54fdb136	253	8	1	cee0dc04659c5992bca2d7ce0a12093bc3ef9e5634b0408640966e44d3c7c9a1
3d4f0620518694f2572bf2a533bcab57	254	3	1	2661cfab68c1a5aa58954e51cdf7eed9518ea2f05634c5ee0812b63e33bc9d5a
3dbf66ee7707a9c91038139380697b07	253	8	1	ac576e9c6169400c3bc03ff1944cf1d01dffed26b3bf108b6a81c6c309e59474
3ebe761bfb1238c87195d431f41bf976	253	164	3	c9fae288f043cc26fc85557698c85fb3693f203259cc14c84d1249934786e961
41c34e84ce65fba113ea84d635df703e	253	4	1	ebad4da2d099115ba74c7bff849da55233032936d5f78690f04547af235297ea
42e61a0cfc40a43c642c24c4a280c530	254	6	1	11a163ed6818770b6bfcd80392dba3b177832916ae5ea54e24044b767c4d4821
42f0e691f302bb1170e2ca8606efe604	254	37	2	6e40f8ccce73d4b0d1f73d459156e8077fc17501d5f6f1c8397f519e1351c602
44d0ac06b00a1a731a82972d35c27ef7	255	3	1	d6e77b722f2c70b53c9e0352aaee948fcc9608abcfbf7ce371b09edb8be939f7
46bd0a10fe939400736706c91f43717d	254	2	1	a66d47adaafb5d5c718ccea9d3c5bbec07aa844153398360575158af3f38a412
46d7d2150b3dcacf1d82862da6c16c1d	253	3	1	cb82988337d3b8e8bb49e1b3ee2700401d783f213d9877c4964a6e74224afb55
472e706255ffc7dcd54a0af2e20c56e3	253	3	1	36db12255fc749112300ab4f8d9f152795a0196a239b9cff818ec5f2a8d9fdae
47ac5ca58a00fc3761fd3358993649ef	253	5	1	a0ab81ee53d1029d6ab850cbf896ec456b368d0b07d29154869e3fb49bd9fa60
483f40d0db4507d1b5793b5a24975841	253	3	1	3a11c07f47e6d604db12445338aad1f582e273a1ac14cef611c68e4fa8b7494c
4870859dcfb961dab8ac294550c2ca6c	252	2	1	7859a95e663b73dd50ede3f779fbf1635136f52a38e1e09323343770cde95c19
48ed1634541c5bcd5f026605416d5be0	253	3	1	8d3c647611224ab6203cee51dee584e3711ef24f7698d309ab628a2412bf1f26
48f748d17bb24e9a8e162c71e7eedba3	253	13	1	afb620b5e2cfc297d4130bf3fac22bc14f664591e73224f93072bdf8ad13497f
49a85d1c26f0cadbbe1c36ec5014afa1	253	3	1	58e22add2098e368d7be29f37c122a78da36f89ee65d4e796a27f30f6e025cdf
4a6524e6dcbe15f3e25bb337b3f3d7ea	254	8	1	722d93ab21ee796a5683a812c2d0b6b4116a04a42e292f7d90cbab500dd18392
4a9ba8830a31e244ac9ead09e47dc6cc	255	68	2	b791cea335110b9bb47c26b25d4109db424ed885e28d41f85cb4a02e2508a7fb
4ad61867e86159b7838ec1e4bdf532fa	253	3	1	adbf6b9719765946e65cffa9955023e0e26855720795145ac5d95da56cf524e1
4bf17a8e6ba3134f539a2ab3cea0c14b	254	3	1	bb9026122242899483e92e48863c493e58f993a126ae18a343b641fe6ea05d5a
4cf8382f0c3af4a503676b907ed0c63e	253	3	1	424c2eac3844a1eb6b6419508e4756eb753ad69c0f53c6fc2efc3ee0f5ddd988
4e2314979e808957a86b1e112676bc20	253	7	2	4cbc2a120a545c1defd6d2959a4cbb72efd99283c141ba8137b1922ce90bad31
4e7fc7dc1f2f4ac6d3a0a3e908b145f0	253	5	1	022ef736128684aa8002ea172bd944618cb2464af1ef584ea8df585b41a15f78
4f997184acb57f8c74379fa58c8f1693	253	3	1	1974841f59c471e734fb9c5501c315d2cd3062e2b2b1ea3036ed80b75a200193
536d7b9c42b621a92014ed3fe67df968	253	3	1	b5150804764d06cdfdaf173220570679e340a01d6fb490cb2de6619ed94c8495
53a1479ccd9e6c5aa96485388699bf94	253	5	1	7a091081572de6faac60050fb6c3282718bdead2e8a5408a8eda51d9bb804403
53b99adc639a34045af07c9c873862df	254	3	1	52c3e5e15198d29ea9488ea138c4bd1036ec6b09b816d36c73e62c4eac3d5b7f
54c05a1e59ddd42bd97a0a8f522bf591	253	12	2	723927e652bdcfe0db5a7f4a2e86a4b207956055c63efb9220f439113c5f5914
54e79fcb0bd002cefdec446685a3d676	253	5	1	6fc6030c9630661beb4a82f6780cdbe085cdbf398cc95c4a1b876542c4b2046c
5526a476ac2ae4ef08b7bcb1a33d7f53	254	3	1	a78f7f137539d0074ead1cf2e181d6c4b4a310e6ed10d201450e03376e98baa5
55c53ff953d747ebfb514235c8c7286c	253	3	1	a489295dfe109922d240040c734d331f27024e7a67312a998c0774130c2662ba
571e0de2d6989f71ebd61045f7277b9a	254	13	1	aecc99e676a61c06984c2ff3fb899efc3d6d050bbd2854ec2928514901dc4fd3
575a5bc66f7912c4ad48a34a36ab4774	254	5	1	78e384516ecc2caac6624052c729b419013cbbff82cebee4203cc81a5a0ca481
576ec6e8c13362133c1dbe96985d47d1	289	19	2	3851deb4a042602f0595c7741ad33e623b8b3807b34f2a58b9cc52bf38848a42
586ee8bd7ab4a9a8074517b760b32ace	253	87	2	65307b0d4cdb203dc69aa8abd69b95c072ec2ab991caaf619f1e2896e1fa87b5
58b4bb90ea99ffb8f9c00fced2c0e798	253	2	1	639033541d3c53377eb36da89cf8a41597d4a1ef016848798c199981a25fca2e
58dc31ebc41b77888661072e6c799341	254	2	1	a01d62a68ac831f72615a5f26077a3d971b455cdba7646fbe15d831b1cac782f
59dd6d3f3f896c4309537cf26c3597a3	253	49	2	37e8ed5d442dea6ac18f0de4b468081329ae03d8df5bcbbbc0e5cccae8c86da3
59e0dff8c0b1047b3e8c35d69f2b203e	253	2	1	6d4707ce46fd3bee32aeacb6f8c743bfb48fc46c04179c3c4792f3e05fba162d
5a646f256a19b7f4d68dbe74e563b5d9	253	5	1	828b799a4914ff225800033117dfa818a2f03c0a33ddb96ae165aeb97fe696f2
5a7b179b1b45f0fe2282f260bf073f60	253	9	1	3207c4147880a831b0d1874b4c795ef57575857de42ba351d1864e826f3dbc9c
5a8eb6a2625d5ae58cfeae791bf73c97	255	5	1	94941099d3bb9df732c7a810b86858ccb21a3722dd89bb38c783269f27a6a712
5ad2c891084262e1078ff79ed5667653	303	3	1	00430112495c34e1d9d7339d77c9250c38c4ab16b2852832f8fe84dcdf0ff122
5c5682c8646261d3f1fa51270c21f95d	253	4	2	7fed63510a5b6e91ac484f3a82a64e3be7ebdb12d1df1b80c9bef1fe7d2af725
5c92bac0e203e2d9b207cfacf4afd4d8	253	6	1	85c8858fe146d3be288d0ec4a074fe347846a4196d617cf362e58c5b96dd5499
5da32e051bdda695c26f4cc556c3aede	253	198	2	10e5e7704c6e9d54c7da27b0be28b5c0d94ae19ce2b9597925753d84912a207d
5ea0169ea1bec162f836ed8493e22f2c	254	7	1	b446049d36382ba3facff49bdfb43857de0b503723ad1c09813f87517f6fbf76
5f3443a78c43d705e1c1749add3951ff	253	4	1	024c1b873e0bbb22f58422107911f80d70e1980bf069ed4af2a674a452800928
5fe8a79baa0e9601bc73ff3938dbf497	253	4	1	60678efb4291593b2b8c242c0ee9d05909876f2677f28e838dfc0f0e1000dae6
60e788e44b093e436155116d1e8c46c8	253	11	1	4bb24935654ce260decf5dcde91ad38df5bff858ac1754aa8f71ba5d5314fe14
615d65be0a5ba4f62e9d7aa1bffb4277	253	34	2	85ea2f55afe21b87256b8f21c17f6da708b23af1970c7b524827d7fce8e6f8e3
6376ea6dab7d0fde3cd66f53b57e1484	253	20	2	b7fad3c928edef68f7e6ad0b7d53fc8a8639fde817a75953b2c79a23a281574d
637b9b3f4d1cbb1a10c07817619cdf69	253	72	4	498e3954f28186b8eae8f84c60875696a402eaec428a4c4afc5fa1b12bf38f62
65a75a16ddf0882daec9e72eea3aa180	253	28	1	f3cb0030789ea92bf756ec65cdca6279c7b72263cadc92b4fdff20a06c7714fc
660000e9af98122dc79d1d5f709757c0	253	3	1	79b8bbe562544ff5aa01262d3baa6b16e43bd8a07db9450dc272934b2238a7ce
66b9c0da2db3f4947f50e1fcd1602dd6	253	4	1	1927180e3cde35b732653e05e5e70331af478c8e359d9cabc4d4008349f04395
67793ee2b745d7e3f566a720a5e77c26	254	13	2	44e13110298e5860a5086766d5ec4896af9dbe430c47d7744c953c5ba0c50478
67e959ec1398cee2946858ecda5af98b	253	10	2	bad570bae7ef4fcfce8a8fc2131edd2368c4b05b098f38bb33e2d62c6ff83b31
68f7e28cb4418c9b9994ff0e555addcf	253	8	1	dad69de254b49a9036e59e58eb2d97e13c8f076a674d04eb204be06d8a452b97
6966f7f2054d9694533f9fc7fda04558	253	4	1	26a0958339e0e7ada27d5ce6a84435af181e6c7b3af12f1f419a0664f61232d9
6a511260664430ae24e9249220a4fc8f	253	2	1	5788b43f718b37b094f75bd4c6c25b844f9a90b12c0316b024ee5f09e8df12c3
6b3758e874b41b21031413a3ac761acd	253	2	1	a587b2317ac43349f93aab1b4bcc8b37234893004f0784cca5dc36a1633e5167
6b67de2223e4b9c10dc62599f3136206	254	53	3	22d46a28f75f6099dcc56d8acbaad0be94083f6a5e0f5b293fc114f60178e24b
6c01e6ec2eb4fb3e4dfe43d91bc05a35	254	2	1	27af1c5a6eaed88570f26904110315ef30605d5df05ec2282442d53c08b1dd01
6d20310fd50f3406d820d66d8ac6bdc5	252	2	1	b54e18cef39a9127ad0dd070363d3fbdaa41e0756f5424880dc214a7bef59943
6e2e552c604e2ee6c958b37907379328	253	5	1	ba7b1203789596e077b3facd9649dfe72309ddb3783406a502abf2515a325bdb
6e9dc9ebc7f9f2b9381638ed8c9be6f0	253	4	1	dc37b7826bd2621641e7b16260b873379773c94b94ddf1b2cb5a8fe18ba16eba
6f3f2c4d9a1c514496e5636651b26090	296	3	1	f151ecc1decfb7804e926f2e7670ea3cfc992a538cdf809e4c2368b7b577d02f
70d187eb58572a3bcebecbd95b3a4d38	254	3	1	99f7b8bdcee7b15f3fd5bddec294b91ab82b3f1a4eb38ce4a6587e44cf3ef3c3
7226e51d3542effad78d066ca9b7cea2	252	2	1	b0b17b6884c0fe84b0f676b2897469ef4b4ac38976a7cc3723d7ec9dc7c86d1b
7346ee25c4de4df48f80d736342c1c02	253	72	4	7fd3aa1a6e6e66630d93a477967395fc6d56b400fcdd68c306851c34a74f75ff
74b0e284d972ddedb9ca556e2d0ca028	253	6	1	486fa93bddb38c1e9e8ea29153f4857bc89ac1a7a3b85c891c016467385c7bfa
77ac885dcb1a5ca9272a721191bd908f	254	22	2	1054eff08da3fc2f8c4960c115838552fa9917c1e24e90fc759fc502b459ee03
783ea4aab429fb9aa20a1264074ae60c	253	4	1	4d06cef74b4648d5c6dfdf56ec30c6e756063cf153b3145c9137da9c69a7f5d0
78daa5588afa4e1f1b1f8696afbb1260	255	3	1	fd30c5c3ed9faf167021ddf8ac9fca8b82c1ce10e9f7d3d3467ef7c3a7f7c706
7bdac97dd5b3ca2432bb2b20320e5500	253	3	1	a0d8860af248b54ecec9f6bacd6b3fbd847759dc0ebfd0f5be87b0a2a3a33e2f
7c2457a2da138c586b4fb5072997efbb	254	7	1	091253238b244dda5be75325ccb29a95a32625e33704463e012ffdd89a22c82f
7caa9381452864233f5bc89d1bca5a92	254	13	2	8012b3efa98ff56c9f6cd0dc7c5756fc3519613e1360349cc281adc27c4e710a
7da5a08a0f3713731b1ec0bdefe97783	253	15	2	1ff5d8ce2e85d5bec86bd45485d34d622c7bc49910889b10a345ef3419677e7d
7daff9940d5f6df38a496252eb7dc98a	253	3	1	c07bb4e096230e3201680e8ff5c5239aa6141e8c3f3477305e94b6edd847773a
7e7deb01f0491d33ecb87427fcbeb1ee	253	20	2	d38c09edec56c502059bbd90fa69839cd63c5e686a640906e79c31efc5511809
7eb03f37e0df2e91756000f54b92a3ff	253	7	1	717dace164a82a32bd43278350004c34dae3bc72305fbfbb93a3709cedb6ff08
7fc72bae05914d2a9d0ddadb3af5fbb7	253	9	1	2d69ca0e819759908032866938ab5b1d1a8863a9cd80ffb6c313ec88743b0bce
7fe5140fabab7789c1dbaa9a5939bedd	253	20	1	3eb2357f35d5f547d4f8d9b451e2ee0462b84c8fcf58a36084abbf1296d1bdc5
80d11785b5400ad33e1293d8c72d736d	253	7	1	fe26992c4100e6f19c3ed53236cefd7ce51accf00efc89e172885dd3b722f175
80d3501f78a03f9396161c0abd018c18	253	14	1	38101d0b48371e6500783fb62c0283a624019598739c254faf917a214fe78bb4
8180787793ddae9c1ce4a8f5fdd43e42	253	6	1	65238e049d887f41bf8c333b82b3edb6029791d3eb7fc1febf9ae8b675941009
82c5d781264721f87110d8a4dfb8f8a2	254	6	1	a70efd1e3aa40c6adc09043af6484b8eea6838f824208f47e287d55d46dcd730
82ec53e4344ddf93f89cfc2e583e81e0	254	3	1	ec5125f2112c27bac314ac9b02c986b8f45ca5f2265335a13086605ea9b54be6
844153abf4b2fff43c23531c070afc26	253	2	1	5e3becb17e6194122dac85480a79defc32a360e1ae39ac022a660f56f56951c1
844dbf54e9b6647e87b349fbaa83b78a	254	4	1	8f7ebd6c46c435cb63722482718c6e0be1f58fc964ca9048fdf712b56c0bb384
84d53da3860d39365c990c7a322c4d1f	253	2	1	e4fbaebd84ebd38f81aaaa0f2ce34194a9f808e54ba9e465d245d5e13fbfcd72
851e56d6147b8e4d3d28cafb27228449	253	7	1	1652840f9d62a837e58850c086b1a8d6ae65d2861a22f942f5cb96c04a721833
855919a3a96c487ce877691029c8f660	253	3	1	0a918e38a9db70b180ec332a604927311c93803bbad09b0bb19a5a50b4785365
85ac83daa78930e71ceff45dcd61ee12	253	4	1	32568036e7e126868766cf842479bb7c7fbce02b7df216c66ffecc3b1865987d
8657067009fc7880ffa92458ac4b5103	253	7	1	c16c476e5c93c0c68bd1d0956978ed817395a18132e56e1840afd19dd4adfb65
868e0165fe32a8925b7f20afa5e1dbfc	253	11	1	72b89713da51fa2e28aebe2afe377d6df555800695cdffe5d8e2f44c854480f5
86c85cb7ac8dcefc3644041883421c24	253	5	1	78816f10e04069e275257d5f0502b7fc581182488fdabf92ce42596fdd796001
8794266a9850580f5e066fcd3caea9c9	253	3	1	ada37d487d7582c04d2e2924a9df7988778baa88553ba1d9752b3684caa65047
87e503bff5c5886e5938a97aa0afb1d5	253	22	2	94ec52361007375ec1e57011ceb4540d7a58c35eea560d4d5f84a34b008e687d
87f23dff63ebabb1ee31b6a816a6f2e4	253	3	1	4d6bdb1e3c9898b68ad480b5eec66ebacb9bdeae981f07dca1e04296c6a2229a
880f37c3b162f77eaf2171436908e134	253	4	1	439f413f90aa93c2b7ffd308dd498c2df0e69d1b93b02bf976c1b5c0e297719f
