Feature	Importance	Top10	DisplayTaxon
unclassified_Thermoactinomycetaceae	6.084158642159462e-4	0	unclassified_Thermoactinomycetaceae
Streptococcus	6.032553587690169e-4	0	Streptococcus
Veillonella	5.584994351368514e-4	0	Veillonella
unclassified_Puniceicoccaceae	5.515525388984552e-4	0	unclassified_Puniceicoccaceae
unclassified_Christensenellaceae	5.447986662548312e-4	0	unclassified_Christensenellaceae
unclassified_Enterobacteriaceae	5.271459209217706e-4	0	unclassified_Enterobacteriaceae
Eisenbergiella	5.039398557842947e-4	0	Eisenbergiella
unclassified_Oxalobacteraceae	4.8105500718990756e-4	0	unclassified_Oxalobacteraceae
unclassified_Rhodospirillaceae	4.783453458833726e-4	0	unclassified_Rhodospirillaceae
Hungatella	4.5265684456790363e-4	0	Hungatella
Intestinimonas	4.336890169999541e-4	0	Intestinimonas
unclassified_Alteromonadales	4.2514472278094227e-4	0	unclassified_Alteromonadales
Akkermansia	3.8325044771986473e-4	0	Akkermansia
Parabacteroides	0.00035010657438778287	0	Parabacteroides
Howardella	3.268744836644337e-4	0	Howardella
Roseburia	3.2541888467761107e-4	0	Roseburia
unclassified_Gracilibacteraceae	2.8424250947195294e-4	0	unclassified_Gracilibacteraceae
Mitsuokella	2.6980734460130593e-4	0	Mitsuokella
Dialister	2.596650591381139e-4	0	Dialister
Actinomyces	2.3864015248141148e-4	0	Actinomyces
Allisonella	2.326797672626953e-4	0	Allisonella
Senegalimassilia	2.2067302692617278e-4	0	Senegalimassilia
Dorea	2.012674841273309e-4	0	Dorea
Methanosphaera	1.8428526357131849e-4	0	Methanosphaera
Enterococcus	1.8384361031160572e-4	0	Enterococcus
unclassified_Carnobacteriaceae	1.7555342382623182e-4	0	unclassified_Carnobacteriaceae
unclassified_Defluviitaleaceae	1.623499257770071e-4	0	unclassified_Defluviitaleaceae
unclassified_Sutterellaceae	1.6190348306718616e-4	0	unclassified_Sutterellaceae
unclassified_Bdellovibrionaceae	1.5927919822379203e-4	0	unclassified_Bdellovibrionaceae
Clostridium_XlVb	1.573983123942269e-4	0	Clostridium_XlVb
Streptophyta	1.481481481481482e-4	0	Streptophyta
Butyrivibrio	1.4707577899334169e-4	0	Butyrivibrio
unclassified_Veillonellaceae	1.4621872757149834e-4	0	unclassified_Veillonellaceae
unclassified_Synergistaceae	1.3369826138513572e-4	0	unclassified_Synergistaceae
Slackia	1.2944093435521403e-4	0	Slackia
Parasutterella	1.099015150465518e-4	0	Parasutterella
Odoribacter	1.0759764727506645e-4	0	Odoribacter
Phascolarctobacterium	1.0271467031323609e-4	0	Phascolarctobacterium
Romboutsia	8.928606324788454e-5	0	Romboutsia
unclassified_Prevotellaceae	8.74507224193839e-5	0	unclassified_Prevotellaceae
Peptococcus	8.57535052439043e-5	0	Peptococcus
Butyricicoccus	8.378732201507966e-5	0	Butyricicoccus
Butyricimonas	8.271830505025742e-5	0	Butyricimonas
unclassified_Enterococcaceae	7.319223985890658e-5	0	unclassified_Enterococcaceae
Holdemanella	7.115951854624456e-5	0	Holdemanella
unclassified_Marinilabiliaceae	6.476087185340085e-5	0	unclassified_Marinilabiliaceae
Victivallis	6.238036837047308e-5	0	Victivallis
Haemophilus	5.977797790409997e-5	0	Haemophilus
Bilophila	5.266946876100895e-5	0	Bilophila
unclassified_Rikenellaceae	3.7412577208984053e-5	0	unclassified_Rikenellaceae
Terrisporobacter	3.1312942585751436e-5	0	Terrisporobacter
unclassified_Sphingobacteriaceae	3.0770088694221006e-5	0	unclassified_Sphingobacteriaceae
Alloprevotella	2.5747255260871135e-5	0	Alloprevotella
unclassified_Erysipelotrichaceae	2.2899472688701693e-5	0	unclassified_Erysipelotrichaceae
Lactococcus	2.012082611479152e-5	0	Lactococcus
Clostridium_XVIII	1.912170225750471e-5	0	Clostridium_XVIII
unclassified_Bacteroidaceae	1.7161699141909812e-5	0	unclassified_Bacteroidaceae
Flavonifractor	1.6820303601313528e-5	0	Flavonifractor
Olsenella	1.2366924493229932e-5	0	Olsenella
Intestinibacter	-6.870865768093559e-6	0	Intestinibacter
Coprobacter	-8.568878958096021e-6	0	Coprobacter
Sutterella	-1.2567845381430913e-5	0	Sutterella
unclassified_Desulfovibrionaceae	-1.273131399946486e-5	0	unclassified_Desulfovibrionaceae
Bifidobacterium	-1.953127217447231e-5	0	Bifidobacterium
Turicibacter	-2.1511686073879113e-5	0	Turicibacter
Prevotella	-2.4698045542440502e-5	0	Prevotella
unclassified_Peptostreptococcaceae	-2.5621122172846327e-5	0	unclassified_Peptostreptococcaceae
Desulfovibrio	-2.5967879629596386e-5	0	Desulfovibrio
Alistipes	-2.691321226151596e-5	0	Alistipes
unclassified_Rickettsiaceae	-2.764976958525341e-5	0	unclassified_Rickettsiaceae
Anaerostipes	-3.619056109682635e-5	0	Anaerostipes
unclassified_Acidaminococcaceae	-3.919269032953051e-5	0	unclassified_Acidaminococcaceae
unclassified_Porphyromonadaceae	-3.954698889748032e-5	0	unclassified_Porphyromonadaceae
Methanobrevibacter	-5.3731540641038514e-5	0	Methanobrevibacter
Barnesiella	-6.489805135045794e-5	0	Barnesiella
unclassified_Pasteurellaceae	-7.516024622282241e-5	0	unclassified_Pasteurellaceae
