MetaboliteID	OriginalFeature	HMDB	KEGG	High.Confidence.Annotation	Compound.Name	Retention.Time	m.z	Cluster..if.DA.	Putative.Chemical.Class	Adduct	DisplayName
MT_M028	HILIC-pos_Cluster_0090: creatine	HMDB0000064	C00300	True	creatine	8.298269	132.07633	2.0	Alpha amino acids and derivatives	[M+H]+	creatine
MT_M029	HILIC-neg_Cluster_0562: ethyl glucuronide	HMDB0010325		True	ethyl glucuronide	4.030186	221.066307		O-glucuronides	[M-H]-	ethyl glucuronide
MT_M030	C8-pos_Cluster_2311: C56:3 TAG			True	C56:3 TAG	12.502167	935.805034	33.0		[M+Na]+	C56:3 TAG
MT_M031	C8-pos_Cluster_2300: C56:6 TAG			True	C56:6 TAG	11.721509	929.758223			[M+Na]+	C56:6 TAG
MT_M032	C8-pos_Cluster_1854: C44:1 TAG			True	C44:1 TAG	10.928481	771.647572			[M+Na]+	C44:1 TAG
MT_M033	HILIC-pos_Cluster_0254: 3-methylxanthine	HMDB0001886	C16357	True	3-methylxanthine	3.279602	167.055805		Imidazopyrimidines	[M+H]+	3-methylxanthine
MT_M034	HILIC-pos_Cluster_0121: imidazole propionate	HMDB0002271	C20522	True	imidazole propionate	7.393472	141.065236		Azoles	[M+H]+	imidazole propionate
MT_M035	C8-pos_Cluster_1012: C20:5 LPC			True	C20:5 LPC	4.607839	542.321749		1-acyl-sn-glycero-3-phosphocholines	[M+Na]+	C20:5 LPC
MT_M036	C8-pos_Cluster_1922: C46:1 TAG			True	C46:1 TAG	11.275558	799.678727			[M+Na]+	C46:1 TAG
MT_M037	C8-pos_Cluster_1800: C34:1 PC plasmalogen-A			True	C34:1 PC plasmalogen-A	8.937513	746.606622	1.0	1-(1Z-alkenyl),2-acyl-glycerophosphocholines	[M+H]+	C34:1 PC plasmalogen-A
MT_M038	C8-pos_Cluster_2293: C56:7 TAG			True	C56:7 TAG	11.482028	927.743962		Triacylglycerols	[M+Na]+	C56:7 TAG
MT_M039	C18-neg_Cluster_0019: p-hydroxyphenylacetate	HMDB0000020	C00642	True	p-hydroxyphenylacetate	1.470262	151.038765		Phenols	[M-H]-	p-hydroxyphenylacetate
MT_M040	C8-pos_Cluster_2304: C56:5 TAG			True	C56:5 TAG	11.970845	931.772886		Triacylglycerols	[M+Na]+	C56:5 TAG
MT_M041	C8-pos_Cluster_1614: C20:5 CE			True	C20:5 CE	11.316771	693.560861	1.0	Cholesteryl esters	[M+Na]+	C20:5 CE
MT_M042	C8-pos_Cluster_1758: C18:0 SM			True	C18:0 SM	8.557205	731.606607	1.0	Sphingolipids	[M+H]+	C18:0 SM
MT_M043	HILIC-pos_Cluster_0728: 2-deoxyadenosine	HMDB0000101	C00559	True	2-deoxyadenosine	5.144115	252.108028	1.0	Purine nucleosides	[M+H]+	2-deoxyadenosine
MT_M044	C8-pos_Cluster_1915: C46:2 TAG			True	C46:2 TAG	11.024304	797.661789		Triacylglycerols	[M+Na]+	C46:2 TAG
MT_M045	C18-neg_Cluster_0506: adrenic acid	HMDB0002226	C16527	True	adrenic acid	15.061144	331.264136	11.0	Very long-chain fatty acids	[M-H]-	adrenic acid
MT_M046	HILIC-pos_Cluster_0110: 1-methylnicotinamide	HMDB0000699	C02918	True	1-methylnicotinamide	8.138234	137.070572		Pyridinecarboxylic acids and derivatives	[M+H]+	1-methylnicotinamide
MT_M047	HILIC-neg_Cluster_1571: glycocholate	HMDB0000138	C01921	True	glycocholate	4.042977	464.301241			[M-H]-	glycocholate
MT_M048	C8-pos_Cluster_1833: C36:5 PC plasmalogen-A			True	C36:5 PC plasmalogen-A	8.250746	766.57843	1.0	1-(1Z-alkenyl),2-acyl-glycerophosphocholines	[M+H]+	C36:5 PC plasmalogen-A
MT_M049	HILIC-pos_Cluster_0422: 5-acetylamino-6-amino-3-methyluracil	HMDB0004400	C16366	True	5-acetylamino-6-amino-3-methyluracil	5.216495	199.081977	2.0	Organonitrogen compounds	[M+H]+	5-acetylamino-6-amino-3-methyluracil
MT_M050	HILIC-neg_Cluster_0064: caproic acid	HMDB0000535	C01585	True	caproic acid	3.727128	115.076515	2.0	Medium-chain fatty acids	[M-H]-	caproic acid
MT_M051	HILIC-neg_Cluster_0328: homovanillate	HMDB0000118	C05582	True	homovanillate	4.570257	181.050492		Phenols	[M-H]-	homovanillate
MT_M052	C18-neg_Cluster_1081: glycolithocholic acid	HMDB0000698	C15557	True	glycolithocholic acid	10.904173	432.311815			[M-H]-	glycolithocholic acid
MT_M053	C8-pos_Cluster_1970: C24:0 SM			True	C24:0 SM	9.8734	815.697986	9.0	Sphingolipids	[M+H]+	C24:0 SM
MT_M054	HILIC-pos_Cluster_0245: 1-methylguanine	HMDB0003282	C04152	True	1-methylguanine	5.196976	166.071783		Imidazopyrimidines	[M+H]+	1-methylguanine
MT_M055	C8-pos_Cluster_2345: C58:6 TAG			True	C58:6 TAG	12.067555	957.790733			[M+Na]+	C58:6 TAG
MT_M056	HILIC-pos_Cluster_0033: histamine	HMDB0000870	C00388	True	histamine	9.120918	112.086877			[M+H]+	histamine
MT_M057	HILIC-pos_Cluster_2293: C16:0 SM			True	C16:0 SM	7.126087	703.571469	9.0	Sphingolipids	[M+H]+	C16:0 SM
MT_M058	HILIC-neg_Cluster_0401: glucurote	HMDB0000127	C00191	True	glucurote	5.450615	193.035127		Glucuronic acid derivatives	[M-H]-	glucurote
MT_M059	C8-pos_Cluster_2307: C56:4 TAG			True	C56:4 TAG	12.234596	933.789253	33.0		[M+Na]+	C56:4 TAG
MT_M060	HILIC-pos_Cluster_1486: C16 carnitine	HMDB0000222	C02990	True	C16 carnitine	6.561967	400.34031	3.0	Acyl carnitines	[M+H]+	C16 carnitine
MT_M061	C8-pos_Cluster_1712: C22:5 CE			True	C22:5 CE	11.672278	716.636644	1.0	Cholesteryl esters	[M+Na]+	C22:5 CE
MT_M062	HILIC-pos_Cluster_1899: C18:0 LPC			True	C18:0 LPC	7.570429	524.369027		1-acyl-sn-glycero-3-phosphocholines	[M+H]+	C18:0 LPC
MT_M063	C8-pos_Cluster_1303: C14:0 CE			True	C14:0 CE	11.552452	619.542184	1.0	Cholesteryl esters	[M+Na]+	C14:0 CE
MT_M064	C8-pos_Cluster_1873: C36:4 PC-A			True	C36:4 PC-A	8.140944	782.570672		Phosphatidylcholines	[M+H]+	C36:4 PC-A
MT_M065	HILIC-neg_Cluster_0299: ascorbate	HMDB0000044	C00072	True	ascorbate	9.502579	175.024517		Furanones	[M-H]-	ascorbate
MT_M066	HILIC-pos_Cluster_1374: C14 carnitine	HMDB0005066		True	C14 carnitine	6.681222	372.309038	1.0	Acyl carnitines	[M+H]+	C14 carnitine
MT_M067	C8-pos_Cluster_1837: C44:1 TAG			True	C44:1 TAG	10.923041	766.692069	1.0		[M+NH4]+	C44:1 TAG
MT_M068	C8-pos_Cluster_1965: C24:1 SM			True	C24:1 SM	9.494136	813.684583	9.0	Sphingolipids	[M+H]+	C24:1 SM
MT_M069	C8-pos_Cluster_1727: C34:0 PE			True	C34:0 PE	8.234821	720.552435		Phosphatidylethanolamines	[M+H]+	C34:0 PE
MT_M070	HILIC-neg_Cluster_0480: 1-3-7-trimethylurate	HMDB0002123	C16361	True	1-3-7-trimethylurate	3.83278	209.067885		Imidazopyrimidines	[M-H]-	1-3-7-trimethylurate
MT_M071	C18-neg_Cluster_0530: 13-docosenoate	HMDB0002068	C08316	True	13-docosenoate	16.986972	337.310869		Very long-chain fatty acids	[M-H]-	13-docosenoate
MT_M072	HILIC-neg_Cluster_0283: shikimate	HMDB0003070	C00493	True	shikimate	4.737642	173.044913			[M-H]-	shikimate
MT_M073	HILIC-pos_Cluster_0048: betaine	HMDB0000043	C00719	True	betaine	8.945123	118.085992		Amino acids, peptides, and analogues	[M+H]+	betaine
MT_M074	HILIC-pos_Cluster_0590: carnosine	HMDB0000033	C00386	True	carnosine	9.298983	227.11306	1.0	Peptidomimetics	[M+H]+	carnosine
MT_M075	C8-pos_Cluster_1987: C48:3 TAG			True	C48:3 TAG	11.118497	823.679486		Triacylglycerols	[M+Na]+	C48:3 TAG
MT_M076	HILIC-pos_Cluster_0152: acetylcholine	HMDB0000895	C01996	True	acetylcholine	7.671379	146.116992		Quaternary ammonium salts	[M+H]+	acetylcholine
MT_M077	C8-pos_Cluster_2341: C58:7 TAG			True	C58:7 TAG	11.816957	955.767833		Triacylglycerols	[M+Na]+	C58:7 TAG
MT_M078	C8-pos_Cluster_1647: C16:1 SM			True	C16:1 SM	7.695674	701.556757			[M+Na]+	C16:1 SM
MT_M079	C8-pos_Cluster_1874: C36:4 PC-B			True	C36:4 PC-B	8.357279	782.568897		Phosphatidylcholines	[M+H]+	C36:4 PC-B
MT_M080	HILIC-pos_Cluster_0936: diacetylspermine	HMDB0002172	C03413	True	diacetylspermine	10.204002	287.242938		Acetamides	[M+H]+	diacetylspermine
MT_M081	C8-pos_Cluster_1525: C18:0 CE			True	C18:0 CE	12.387281	675.604039	1.0	Cholesteryl esters	[M+Na]+	C18:0 CE
MT_M082	C8-pos_Cluster_2210: C54:7 TAG			True	C54:7 TAG	11.166372	899.709334	9.0	Triacylglycerols	[M+Na]+	C54:7 TAG
MT_M083	C8-pos_Cluster_2056: C50:4 TAG			True	C50:4 TAG	11.215287	849.693242			[M+Na]+	C50:4 TAG
MT_M084	HILIC-neg_Cluster_0707: pseudouridine	HMDB0000767	C02067	True	pseudouridine	2.338077	243.061931		Nucleoside and nucleotide analogues	[M-H]-	pseudouridine
MT_M085	C8-pos_Cluster_2019: C24:1 SM 			True	C24:1 SM	9.493713	835.666318	1.0	Sphingolipids	[M+Na]+	C24:1 SM
MT_M086	C8-pos_Cluster_1888: C22:0 SM			True	C22:0 SM	9.45803	787.669656	9.0	Sphingolipids	[M+H]+	C22:0 SM
MT_M087	HILIC-neg_Cluster_0182: guanine	HMDB0000132	C00242	True	guanine	2.648227	150.041827	2.0	Imidazopyrimidines	[M-H]-	guanine
MT_M088	HILIC-pos_Cluster_1580: C18:2 carnitine	HMDB0006469		True	C18:2 carnitine	6.524092	424.340387	3.0	Acyl carnitines	[M+H]+	C18:2 carnitine
MT_M089	HILIC-pos_Cluster_0032: cytosine	HMDB0000630	C00380	True	cytosine	6.12461	112.050537			[M+H]+	cytosine
MT_M090	C8-pos_Cluster_0939: C18:2 LPC			True	C18:2 LPC	4.600409	520.340406		1-acyl-sn-glycero-3-phosphocholines	[M+H]+	C18:2 LPC
MT_M091	HILIC-pos_Cluster_1586: C18:1 carnitine			True	C18:1 carnitine	6.477161	426.355876	3.0	Fatty acid esters	[M+H]+	C18:1 carnitine
MT_M092	HILIC-neg_Cluster_0159: alpha-ketoglutarate	HMDB0000208	C00026	True	alpha-ketoglutarate	7.756236	145.014087		Gamma-keto acids and derivatives	[M-H]-	alpha-ketoglutarate
MT_M093	C8-pos_Cluster_1369: C16:1 CE			True	C16:1 CE	11.625544	640.602783	2.0	Cholesteryl esters	[M+NH4]+	C16:1 CE
MT_M094	C8-pos_Cluster_1722: C22:4 CE			True	C22:4 CE	11.949042	718.649241	1.0	Cholesteryl esters	[M+NH4]+	C22:4 CE
MT_M095	C8-pos_Cluster_1879: C36:3 PC			True	C36:3 PC	8.497757	784.586819		Phosphatidylcholines	[M+H]+	C36:3 PC
MT_M096	C8-pos_Cluster_1884: C22:1 SM			True	C22:1 SM	9.157656	785.653145		Sphingolipids	[M+H]+	C22:1 SM
MT_M097	HILIC-pos_Cluster_0007: putrescine	HMDB0001414	C00134	True	putrescine	9.291155	89.107655		Amines	[M+H]+	putrescine
MT_M098	C8-pos_Cluster_1856: C36:2 PC plasmalogen			True	C36:2 PC plasmalogen	9.078802	772.622539	2.0	1-(1Z-alkenyl),2-acyl-glycerophosphocholines	[M+H]+	C36:2 PC plasmalogen
MT_M099	C8-pos_Cluster_2168: C52:0 TAG			True	C52:0 TAG	12.605217	885.787857		Triacylglycerols	[M+Na]+	C52:0 TAG
MT_M100	C8-pos_Cluster_2138: C52:5 TAG			True	C52:5 TAG	11.307026	875.712613	9.0	Triacylglycerols	[M+Na]+	C52:5 TAG
MT_M101	C18-neg_Cluster_0183: 1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid	HMDB0032102		True	1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid	1.282739	259.072196	2.0		[M-H]-	1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid
MT_M102	C8-pos_Cluster_1478: C18:2 CE			True	C18:2 CE	11.716127	666.618408	9.0	Cholesteryl esters	[M+NH4]+	C18:2 CE
MT_M103	C8-pos_Cluster_1761: C32:1 PC			True	C32:1 PC	8.182908	732.555334		Phosphatidylcholines	[M+H]+	C32:1 PC
MT_M104	HILIC-neg_Cluster_0156: caprylic acid	HMDB0000482	C06423	True	caprylic acid	3.603307	143.107448	1.0	Medium-chain fatty acids	[M-H]-	caprylic acid
MT_M105	C8-pos_Cluster_1980: C48:4 TAG			True	C48:4 TAG	10.864176	821.664125			[M+Na]+	C48:4 TAG
MT_M106	C8-pos_Cluster_2003: C48:0 TAG			True	C48:0 TAG	11.860174	829.724585			[M+Na]+	C48:0 TAG
MT_M107	C8-pos_Cluster_2128: C52:7 TAG			True	C52:7 TAG	10.821649	871.682557			[M+Na]+	C52:7 TAG
MT_M108	C8-pos_Cluster_0737: epoxysqualene			True	epoxysqualene	7.858286	449.374078			[M+Na]+	epoxysqualene
MT_M109	HILIC-neg_Cluster_0677: cystine	HMDB0250712	C01420	True	cystine	6.288915	239.01636	3.0	L-cysteine-S-conjugates	[M-H]-	cystine
MT_M110	C8-pos_Cluster_1521: C14:0 SM			True	C14:0 SM	7.525761	675.54142		Sphingolipids	[M+H]+	C14:0 SM
MT_M111	C8-pos_Cluster_1502: C18:0 CE			True	C18:0 CE	12.372106	670.650143		Cholesteryl esters	[M+NH4]+	C18:0 CE
MT_M112	C8-pos_Cluster_1995: C48:2 TAG			True	C48:2 TAG	11.362544	825.694264		Triacylglycerols	[M+Na]+	C48:2 TAG
MT_M113	C18-neg_Cluster_0672: nervonic acid	HMDB0002368	C08323	True	nervonic acid	17.959622	365.342106		Very long-chain fatty acids	[M-H]-	nervonic acid
MT_M114	C8-pos_Cluster_1932: C46:0 TAG			True	C46:0 TAG	11.526179	801.69486		Triacylglycerols	[M+Na]+	C46:0 TAG
MT_M115	C18-neg_Cluster_0244: alpha-linolenic acid	HMDB0001388	C06427	True	alpha-linolenic acid	13.755078	277.217171	1.0	Lineolic acids and derivatives	[M-H]-	alpha-linolenic acid
MT_M116	C8-pos_Cluster_0277: stearoyl ethanolamide	HMDB0013078		True	stearoyl ethanolamide	5.494829	328.320676		Organonitrogen compounds	[M+H]+	stearoyl ethanolamide
MT_M117	C8-pos_Cluster_1490: C18:1 CE			True	C18:1 CE	12.043032	668.634054			[M+NH4]+	C18:1 CE
MT_M118	C8-pos_Cluster_0416: cholesterol	HMDB0000067	C00187	True	cholesterol	7.217012	369.351917			[M-H2O+Na]+	cholesterol
MT_M119	HILIC-pos_Cluster_0114: 2-hydroxyphenethylamine	HMDB0001065	C02735	True	2-hydroxyphenethylamine	6.220723	138.090932	3.0	Organonitrogen compounds	[M+H]+	2-hydroxyphenethylamine
MT_M120	HILIC-pos_Cluster_0405: caffeine	HMDB0001847	C07481	True	caffeine	2.823607	195.08719		Purines and purine derivatives	[M+H]+	caffeine
MT_M121	HILIC-pos_Cluster_0914: 8-hydroxy-deoxyguanosine	HMDB0003333		True	8-hydroxy-deoxyguanosine	5.249252	284.098026		Purine nucleosides	[M+H]+	8-hydroxy-deoxyguanosine
MT_M122	C8-pos_Cluster_0341: N-oleoylethanolamine 	HMDB0002088		True	N-oleoylethanolamine	5.107714	348.28717	18.0	Organonitrogen compounds	[M+Na]+	N-oleoylethanolamine
MT_M123	HILIC-neg_Cluster_0174: tartarate	HMDB0000956	C00898	True	tartarate	7.406051	149.008724			[M-H]-	tartarate
MT_M124	C8-pos_Cluster_0878: C16:0 LPC			True	C16:0 LPC	4.767281	496.339905	14.0	1-acyl-sn-glycero-3-phosphocholines	[M+H]+	C16:0 LPC
MT_M125	HILIC-pos_Cluster_0113: trigonelline	HMDB0000875	C01004	True	trigonelline	8.845482	138.054606			[M+H]+	trigonelline
MT_M126	C8-pos_Cluster_0945: C18:1 LPC			True	C18:1 LPC	4.938243	522.355717		1-acyl-sn-glycero-3-phosphocholines	[M+H]+	C18:1 LPC
MT_M127	HILIC-neg_Cluster_0062: alpha-ketoisovalerate	HMDB0000019	C00141	True	alpha-ketoisovalerate	3.52175	115.039921		Keto acids and derivatives	[M-H]-	alpha-ketoisovalerate
MT_M128	HILIC-pos_Cluster_0009: beta-alanine	HMDB0000056	C00099	True	beta-alanine	7.961105	90.055235		Amino acids, peptides, and analogues	[M+H]+	beta-alanine
MT_M129	HILIC-pos_Cluster_0134: proline betaine	HMDB0004827	C10172	True	proline betaine	9.166394	144.101344		Proline and derivatives	[M+H]+	proline betaine
MT_M130	C8-pos_Cluster_2048: C50:5 TAG			True	C50:5 TAG	10.955001	847.680515			[M+Na]+	C50:5 TAG
MT_M131	C8-pos_Cluster_2240: C54:2 TAG			True	C54:2 TAG	12.407129	909.790505	33.0		[M+Na]+	C54:2 TAG
MT_M132	C8-pos_Cluster_0515: beta-sitosterol	HMDB0000852	C01753	True	beta-sitosterol	7.722481	397.383243			[M-H2O+H]+	beta-sitosterol
MT_M133	HILIC-neg_Cluster_0909: guanosine	HMDB0000133	C00387	True	guanosine	3.055665	282.084094		Purine nucleosides	[M-H]-	guanosine
MT_M134	C8-pos_Cluster_1835: C36:5 PC plasmalogen-B			True	C36:5 PC plasmalogen-B	8.644664	766.572988		1-(1Z-alkenyl),2-acyl-glycerophosphocholines	[M+H]+	C36:5 PC plasmalogen-B
MT_M135	C8-pos_Cluster_0949: C18:0 LPC			True	C18:0 LPC	5.303413	524.371152	9.0	1-acyl-sn-glycero-3-phosphocholines	[M+H]+	C18:0 LPC
MT_M136	C8-pos_Cluster_0936: C18:3 LPC			True	C18:3 LPC	4.766593	518.321945	14.0	1-acyl-sn-glycero-3-phosphocholines	[M+H]+	C18:3 LPC
MT_M137	C8-pos_Cluster_2088: C50:0 TAG			True	C50:0 TAG	12.228235	857.756895		Triacylglycerols	[M+Na]+	C50:0 TAG
MT_M138	HILIC-neg_Cluster_0176: xylose	HMDB0000098	C00181	True	xylose	1.627438	149.045268		Pentoses	[M-H]-	xylose
MT_M139	C8-pos_Cluster_1726: C22:6 CE			True	C22:6 CE	11.439325	719.574628		Cholesteryl esters	[M+Na]+	C22:6 CE
MT_M140	HILIC-neg_Cluster_0016: oxalate	HMDB0002329	C00209	True	oxalate	7.766292	88.987993		Dicarboxylic acids and derivatives	[M-H]-	oxalate
MT_M141	C8-pos_Cluster_2242: C54:1 TAG			True	C54:1 TAG	12.68823	911.805326		Triacylglycerols	[M+Na]+	C54:1 TAG
MT_M142	HILIC-neg_Cluster_0133: 4-nitrophenol	HMDB0001232	C00870	True	4-nitrophenol	4.081432	138.019547		Nitrophenols	[M-H]-	4-nitrophenol
MT_M143	HILIC-neg_Cluster_0084: 4-methylcatechol	HMDB0000873	C06730	True	4-methylcatechol	1.366308	123.045022	1.0	Phenols	[M-H]-	4-methylcatechol
MT_M144	C8-pos_Cluster_1997: C48:1 TAG			True	C48:1 TAG	11.609059	827.710874			[M+Na]+	C48:1 TAG
MT_M145	C18-neg_Cluster_0256: stearic acid	HMDB0000827	C01530	True	stearic acid	16.09378	283.26395		Fatty acids and conjugates	[M-H]-	stearic acid
MT_M146	HILIC-pos_Cluster_0116: urocanic acid	HMDB0000301	C00785	True	urocanic acid	4.504729	139.04987		Imidazoles	[M+H]+	urocanic acid
MT_M147	C8-pos_Cluster_2022: C49:1 TAG			True	C49:1 TAG	11.764544	836.7706			[M+NH4]+	C49:1 TAG
MT_M148	C18-neg_Cluster_0164: palmitoleic acid	HMDB0003229	C08362	True	palmitoleic acid	14.212543	253.216969		Long-chain fatty acids	[M-H]-	palmitoleic acid
MT_M149	HILIC-neg_Cluster_0203: orotate	HMDB0000226	C00295	True	orotate	4.709074	155.009615		Pyrimidines and pyrimidine derivatives	[M-H]-	orotate
MT_M150	HILIC-pos_Cluster_0246: 7-methylguanine	HMDB0000897	C02242	True	7-methylguanine	5.691902	166.071809		Imidazopyrimidines	[M+H]+	7-methylguanine
MT_M151	C8-pos_Cluster_1889: C36:1 PC			True	C36:1 PC	9.080408	788.615447		Phosphatidylcholines	[M+H]+	C36:1 PC
MT_M152	C8-pos_Cluster_1657: C16:0 SM			True	C16:0 SM	8.053829	703.574815	9.0	Sphingolipids	[M+H]+	C16:0 SM
MT_M153	HILIC-pos_Cluster_0667: anserine	HMDB0000194	C01262	True	anserine	10.469162	241.128533		Peptidomimetics	[M+H]+	anserine
MT_M154	HILIC-neg_Cluster_0020: lactate	HMDB0000190	C00186	True	lactate	4.030335	89.024276	1.0	Hydroxy acids and derivatives	[M-H]-	lactate
MT_M155	C8-pos_Cluster_2069: C50:3 TAG			True	C50:3 TAG	11.456274	851.709849			[M+Na]+	C50:3 TAG
MT_M156	HILIC-neg_Cluster_0032: 2-aminobutyric acid	HMDB0000452	C02356	True	2-aminobutyric acid	3.037586	102.056011		L-alpha-amino acids	[M-H]-	2-aminobutyric acid
MT_M157	HILIC-neg_Cluster_0392: citrate	HMDB0000094	C00158	True	citrate	9.415773	191.019484		Tricarboxylic acids and derivatives	[M-H]-	citrate
MT_M158	C8-pos_Cluster_1886: C36:2 PC			True	C36:2 PC	8.799074	786.599895			[M+H]+	C36:2 PC
MT_M159	HILIC-pos_Cluster_0081: pipecolic acid	HMDB0000070	C00408	True	pipecolic acid	7.930976	130.086018	2.0	L-alpha-amino acids	[M+H]+	pipecolic acid
MT_M160	C8-pos_Cluster_1514: C18:1 CE  			True	C18:1 CE	12.049957	673.58944	9.0		[M+Na]+	C18:1 CE
MT_M161	HILIC-pos_Cluster_0191: methylpyridonecarboxamide			True	methylpyridonecarboxamide	4.249376	153.065281		Pyridines and derivatives	[M+H]+	methylpyridonecarboxamide
MT_M162	C18-neg_Cluster_0090: acetytyrosine	HMDB0000866	C01657	True	acetytyrosine	1.126767	222.076542		Amino acids, peptides, and analogues	[M+H]+	acetytyrosine
MT_M163	HILIC-pos_Cluster_0383: kynurenic acid	HMDB0000715	C01717	True	kynurenic acid	5.218416	190.049178		Quinolines and derivatives	[M+H]+	kynurenic acid
MT_M164	HILIC-neg_Cluster_0049: uracil	HMDB0000300	C00106	True	uracil	1.546029	111.019898		Pyrimidines and pyrimidine derivatives	[M-H]-	uracil
MT_M165	HILIC-neg_Cluster_0230: levoglucosan	HMDB0000640		True	levoglucosan	7.130819	161.045377			[M-H]-	levoglucosan
MT_M166	C8-pos_Cluster_2075: C50:2 TAG			True	C50:2 TAG	11.695456	853.726038			[M+Na]+	C50:2 TAG
MT_M167	HILIC-neg_Cluster_0161: 2-methylglutaric acid	HMDB0000422	C02930	True	2-methylglutaric acid	7.166747	145.050329		Methyl-branched fatty acids	[M-H]-	2-methylglutaric acid
