Feature ID	AllReads
8f15d3aaf8afd2c23436f6902502d156	9
9004b442993f8dac89b6ba5b3bd6c445	5
906a06fc904a9a11c50b0a100467961b	14
931ac7709b0d74ba3440921b1c12cdce	32
9412a1c9baaa8ea4382e404d902783fd	2
948a628bd325d2bbcae73a4546be45d6	4
954a9f37977a2055117e40fda8d885cd	2
957f318f7967da6daabf0d48593ac0da	2
96bde1d77000933e946dfb199925c7a3	3
9868b5882915050d5e52b77c875058ad	5
98906d02d6744198e90b8a0a9cce2d44	7
98af91638cced2cfe681c31927e8a8e8	3
98bebc482cd9ca7290f2f2a248aec8e5	4
999e583df5c3def13d79bd7985a2db02	6
99d20e29f6c3b3ce8b5a8c26cf1e256b	2
9a215fa0e73e9b12ecd3b1b6d42e6dba	2
9a91bed865a472277d6a32c9880b1173	2
9b72bc0ce737b7762f1e914b5eac762d	6
9bc833085f1548853b1cf3d905f7d97f	4
9be19ab968ad92fd94c7295f2109e33e	2
9cb0b8fb0953d35a0dbb91a2979c894b	2
9ee6fac4053b666eab9dc8eae340403f	3
9f1c3ed77a06526841e29fc6c9e924a4	3
a0eeab5dede5f14abb33b2e520b39599	2
a1190d2a5f87036e8b339276c40fbbc2	10
a2d982cabb4cc8a6f0cd987f7ee77ebb	2
a2ef7fa4b62c4b01208dfa4aad27e0c1	2
a43ddcd44d41456d1dab22318e67fe3d	3
a537d8bab85c83b0e74c73c55790324b	6
a57e8133deb4fc1a6cbeaac02d482d8f	2
a5a55d1042ae7a5a4733425a71b13448	6
a653e1e25bc7b3bfc53ecbee8e08c799	5
a65a721d90a7e48010113435818d69be	4
a7594af68bb51cf102d651c5273bcc66	2
a7c7cf68def4b0d445226c2e3938ff51	4
a7dee29dd0f54a24b73d9c74dbd7ac92	2
a9567d6f4f51f80ed58c1978b4737f28	5
a968dacbd6e0a3f2f1738f0e64bc955d	10
a9cdace376f468b22ea7bac7de7e029c	14
aa2d96e9bd79b0daa429983e2aaf6205	4
aaf8bbe980b29c52a8c30a07d65d1b48	6
adc72dccf3a30113fd9335cb6462f2dc	3
adfb67f460d65aa8614bed0880411c61	11
ae1d5473bb32f0a1933d5b4fc0e3eeb4	3
aea5c45decda07ef9ad9a8e1ad4125ba	14
aeda648ef1ccaf013a70453eee0caf8a	55
af101f6ceb2059efa2d97a9ba8732a9d	4
af27577de5edb10c09f7fc19b9ca45ca	6
afacc69f169eac6016e7060822fabcb3	16
afb285b046870964b875f3cb43558240	2
afdc6bb8a8ff7bfe8bd19e8ebd153aa8	2
b0eef4ca69519df0621c615120e56ff1	9
b10557ee98062b9e3f8d42587f41fc07	2
b162db6e625cbe003b495aa850f1de17	3
b230be8a10f78f48e504b8dc5cfa7afb	23
b26086d47e0a3f9bd5c419c4617b8502	6
b2ff465f3ce89a33862c4c1864f4e1d2	2
b39be459cc96689db8cd6b00a0d86e8e	496
b39f90da9ee92988c2e0f57748c70f4c	27
b6f7e10ef0d83e8306ba4eb420c14bbd	2
b75f9fb9a9fd532cab665ef8cfe95eed	18
b783cf56c98ce000abcb53b1c119f551	5
b7d6cf3f7467ca45087ca083796a0af0	151
b9f03ef799adb58dd96176ffad7ec24a	19
babe719a9ad0da92d681ac70bb108dc8	6
bae6856b75ab0f9f9fa7755cdb153642	7
bbecd3b5250443f2697c0104e8213917	5
c02e74171a45a7d8308e4581e6b79eab	16
c1972519928146002b88a946471e938f	3
c1cd0bc45f873697ab9156e7147e8d76	51
c22b16cc6108c04f29fea3b6d4c81571	18
c3c2da82d96e8b8ee73b62eb5edf06ab	2
c4dc084b83476f4b2c829da5b52fcb4d	25
c908b8f6f2f144e3f8c68f269a44e5dd	6
c956153958c5408cfdf9fbf3a704ef79	2
ca38cab53ae08168f46b291cbce18ea5	12
cafa8b61b1350ad69f557a8e5a27bb6b	7
cb27b579b1b59c3e5d4104623e8b359a	3
cb7417898e26dc23903ed96497486210	15
cbb2ce5bbe1710f054b5adb71f29aa09	4
cbff13b5013921139f28a5115cf9f7a8	22
cc7257e130ecba99063e41685c252180	43
cd361092f88c6023a43ec4e9d7524864	23
cd4db2247c8b7c4f75eb8a4865698645	2
cd8c962b4550c99da2caee4c6971c513	2
ce3110731e628641298e8682b8fe8a2b	13
ce85443cc7037212c3e6874653adfe72	2
cea7cb895e7a2b5146a013ed6552cb5b	13
cec03d066a8a4113768af9614bb8328c	7
cef569ed3f37a30114ff48ea3bcde5e6	4
d13840a3816a0f5e14c51c86899d0170	3
d32e579b3ae7b2aae8d5bf9f027c29af	41
d3b770095c3b56de5ba4bc7e576e3931	4
d4e30f24312f021ed1d0a0fc500579bd	2
d52ed7a499c1ebeeb759cfd1c7693e11	2
d5eb80c26a008a368ef49110e46b05bd	5
d60e0d1c49af7ac903e5a81afec888ee	6
d69464b2275c7c4514b5858d01db39b8	29
d71e7f3b028ede507470b1bfedbb8983	3
d88abff2ed5af388abe3bd71809f70e1	105
d8a60bf7621dd59dc59f19a8894129c9	11
da13eb51a23731d1542076afd2a4882d	44
da8d956ba3a63e19735c5c55ceaa06f3	31
db77c725d3290421d640c536d7308bcc	2
dbaabc2fc99500803f8d94562ba18e91	5
dc0f7f7895f74a7be8ac06aa25be661b	3
dc44a88a9e09760406765da06826cd7c	8
dcc7fedd68b118f6d33aed6679af9872	3
dd5c07f3d8913531e58e8dc843af735e	3
de748aa343b823ec00677351c8e34391	2
debe02fd9e20519d37ec03ff98fac594	13
df915ccb4ee135b84e0b244e8af12b92	290
e04265a1b5b74d599d1000ac0f280268	21
e149acb95b2ccf99ebccc818ef8aac1f	10
e2abb44e2cebc46c751257175cf3c492	2
e489f7ab1494b0b614f706bd7bb8e8a1	3
e4bf0ddf49a1b74b07a54dda414a18a3	3
e5b20010c5bbeae5bec6579ac93d74b2	2
e667afb6b48b0007e9af60486940be9f	3
e76dea2cf35d73edade78d85ddf243b1	17
e81376d3f9c2ef0b083f13dc5093421b	13
e8386d3a307c208c4b9f0a756259cd6b	144
e8ab26196eee829c47fbd72da200f02c	3
e95d9802c603aade0272e2c129719179	8
e96be432ef825f6d81c02a00910a2f12	4
eabb1ceac9d2502dc96f059992d8887f	9
ec03d66fcea8850ab39fe2bce3814f30	37
ec05aa720f4baa5df554fe829f4ced3f	5
ec10cc853a1b84f459a4bfbb02d07e23	3
ec383b5ea1ac0a64505989f027e4b15e	2
ecf6b5c0e4d8b0c9394b881f44dcd962	7
ed3f8d8f47258f6eba170105b4105acb	6
ed5e2e6b6f5969ad62b34c00a9eeb9b3	2
ee6a011da2550805c6fd434ab053464a	22
efcb7a0d4a2ff3b82317158c2ba0c523	3
f06d4222c7975a6a3db59ee50dd33129	5
f0e700e94a65a451697b223e274bb5bf	2
f133a3f75e18e211fffbfb6b58564651	7
f1d6186e0cc7872886280904c9c97698	2
f2d28e8c1d683de289dd727a3c20e013	5
f334d2bc181c6ee444a7ace2943af183	3
f3c8b681c470c28f8b1be635bc3559a9	7
f3f9a9f0b503cf4f0c256f629c1b0398	2
f4d1542e29aeb1488c5d71993c3a5a39	13
f689372d5f8d184d8733cc155d307d5c	5
f6e793e6adcde02c93be776f4aebbe51	4
f6fdbf1efde53ff08e55c234a7d65573	6
f7f89283e208e3a486e0cc7dcc427ea5	10
f84a5455a4f6fb3979f21796cdff4da4	5
f86222ce0aa7c48d5994451baf572b60	44
f902b43a22213959daa997684d1faf7f	2
fada87a6d1c078a694e924638b126ec9	3
fae2f341d40af8ee61de95e710ad63e9	3
fb0b88be5b18227ded51803b6c755eab	2
fb6835364f1d79a14457f24bc50738d0	34
fbd7bc6b442654c4168fd874eb49dc9b	10
fbdf2eaac4b7661c323e259ef3fe4d74	2
fc3f584449d707e80bd4aa0efcd65508	21
fc6622c636a5210293fb2873fc4761d9	6
fdefb06175a6456a85d0355132685321	2
fe8bcefd589c12bb924797113add842f	3
ff827d076a2fd26ab8791ad31da62735	5
