feature_id	frequency	candidate_placements	top_edge_num	top_likelihood	top_likelihood_weight	second_likelihood_weight	likelihood_weight_sum	distal_length	pendant_length
41c34e84ce65fba113ea84d635df703e	4	1	117928	-142558.9	1.0	0.0	1.0	5.650437e-06	6.113515e-06
42e61a0cfc40a43c642c24c4a280c530	6	1	102	-130536.86	1.0	0.0	1.0	0.015472849	0.0076519004
42f0e691f302bb1170e2ca8606efe604	37	2	129	-131219.47	0.9717366	0.028263388	0.9999999879999999	0.0064868797	0.13646327
44d0ac06b00a1a731a82972d35c27ef7	3	2	12304	-125914.31	0.8207606	0.17923939	0.99999999	0.059851915	0.09878409
46bd0a10fe939400736706c91f43717d	2	1	11192	-131116.86	1.0	0.0	1.0	0.03431889	0.10369814
46d7d2150b3dcacf1d82862da6c16c1d	3	6	221489	-105801.17	0.18044506	0.18030567	1.00000001	6.0977445e-06	0.016642153
472e706255ffc7dcd54a0af2e20c56e3	3	1	5870	-79396.695	1.0	0.0	1.0	0.0285899	0.030592157
47ac5ca58a00fc3761fd3358993649ef	5	7	218458	-74231.984	0.18489175	0.18477152	1.000000024	6.098812e-06	0.0042244
483f40d0db4507d1b5793b5a24975841	3	6	10173	-131077.55	0.5539366	0.24031296	1.000000007	0.017744023	0.05938103
4870859dcfb961dab8ac294550c2ca6c	2	7	316771	-101922.59	0.5032547	0.20539156	0.999999976	5.581844e-06	0.23229225
48ed1634541c5bcd5f026605416d5be0	3	1	10722	-131116.95	1.0	0.0	1.0	0.042999316	0.10010159
48f748d17bb24e9a8e162c71e7eedba3	13	5	11457	-131103.28	0.6559841	0.15367566	0.9999999749999999	0.08228357	0.07268414
49a85d1c26f0cadbbe1c36ec5014afa1	3	6	10173	-131088.45	0.4996157	0.2504645	0.9999999909999999	0.018084647	0.07670294
4a6524e6dcbe15f3e25bb337b3f3d7ea	8	7	154	-131217.02	0.3358351	0.1481754	0.9999999900000001	0.11189667	0.13615133
4a9ba8830a31e244ac9ead09e47dc6cc	68	1	102	-130572.234	1.0	0.0	1.0	0.043799233	0.03938726
4ad61867e86159b7838ec1e4bdf532fa	3	5	205502	-126689.164	0.7366319	0.08028464	1.00000003	0.0053755604	0.14043659
4bf17a8e6ba3134f539a2ab3cea0c14b	3	3	32	-131035.734	0.4413933	0.28140512	1.0000000199999999	0.026453806	0.07883505
