FeatureID	Factor1	Factor2	Factor3	Factor4
MB_G070	-0.37798922788899625	-0.15212610709701774	-0.09781580771551839	0.008398980368422175
MB_G071	0.5420294406548922	0.003820486025153007	-0.3093043064915972	-0.09453728416754768
MB_G072	0.00463162517288195	-0.03189934335518469	0.6260589858858937	0.017681169797507588
MB_G073	-0.2847310323919891	-0.326288837587749	-0.32534908243513266	-0.003942007881914304
MB_G074	-0.06428160378386899	-0.25787718483514355	-0.03007568600945932	-0.0011178693315167499
MB_G075	-0.3597558470329754	0.1186648747825065	-0.17380725532994928	-0.00564697989071934
MB_G076	0.006713292350027892	0.39468635819060327	-0.22326307541444373	0.024252013389158607
MB_G077	0.0391276919552751	-0.14151611363158403	-0.3366992952972069	-0.012929881018319569
MB_G078	0.690206951588803	-0.03450195863595867	0.017077580584296027	-0.03957081855963603
MB_G079	-0.5843413469519001	0.008677893560368142	-0.05398782034215529	-0.013350710961308566
MB_G080	-0.30303939208214925	0.25981348123796505	-0.2818672525568565	-0.008243507492259784
MB_G081	-0.13732269219350127	0.5409429699978597	-0.2078441017441687	-0.010281256930116472
MB_G082	-0.06667153491748139	0.5097904212769836	0.0026685121588258076	-0.0016175551671643448
MB_G083	0.38709528563010986	-0.23674810170995877	-0.20607956883425355	-0.020091160530215636
MB_G084	-0.31269028597354986	-0.041203482068830094	-0.04477931783072289	0.0029804551476480673
MB_G085	0.14958290211682707	-0.014125385460424543	-0.016925579709466825	-0.060712729964890584
MB_G086	0.010425256558057856	-0.2863003586088372	0.6435654633553516	0.003622444106232304
MB_G087	-0.20599507015711468	-0.2381953090443292	0.005323617068072159	-0.00781674771089857
MB_G088	0.6019819591110996	0.002517960520399729	0.2323111160864319	0.07289911669665063
MB_G089	0.3429481198275593	0.21318027200897308	0.003176384283379901	-0.0023300895505603673
MB_G090	0.6701020411448083	-0.012393140346447602	-0.00670253181937304	-0.04697450946782966
MB_G091	-0.01973873583916453	-0.15536694494075334	0.4791501832407808	0.01563536844589581
MB_G092	0.273677239583912	0.2009933859949474	-0.3169486841708108	-0.0010641090201502382
MB_G093	0.009067722737510706	-0.16512939411414554	-0.46927714370044415	-0.018554068281752566
MB_G094	-0.44994741437646474	0.00497915822410454	-0.21667567518645198	0.016878165040085387
