	Axis1	Axis2	Axis3	Axis4	Bias
MB_G082	-0.09583878	-0.13302019	-0.22104315	0.736668	-0.41144314
MB_G083	0.14892317	1.3368086	-0.20674722	-0.45009753	-0.17057645
MB_G084	-0.056872487	0.65228206	0.66551113	-0.8345045	2.3398366
MB_G085	0.03255863	1.3736907	2.108055	-0.13195226	-0.7375944
MB_G086	-1.5770594	-0.45310253	0.24296121	1.0685655	0.08235399
MB_G087	0.52243173	-0.48276952	1.0796733	0.3129732	-1.1711532
MB_G088	-0.32182685	0.91036206	1.1051012	0.13887414	-0.70737326
MB_G089	0.03939199	-1.5741135	0.053855684	1.1127728	-0.70101786
MB_G090	-0.742067	0.76246524	1.3432424	-1.1189903	0.4075785
MB_G091	-1.1505214	0.67584056	1.601802	-0.17522798	-0.9029102
MB_G092	-0.09373425	-0.20744261	0.3442524	-1.3046523	-2.3226466
MB_G093	-1.2766763	-0.7255989	-1.2427263	0.87125534	0.23565069
MB_G094	0.80168957	-0.41444042	1.2937225	-0.7187667	1.3345804
MB_G095	-0.2614559	0.57656723	0.14843735	-0.031802777	0.060940873
MB_G096	0.20465997	0.16880214	-0.95153904	0.8217672	-0.10583216
MB_G097	-0.5938931	-0.44313422	2.4231725	2.8935268	-0.18792573
MB_G098	-0.8373309	0.8827534	-1.2660612	-0.11308355	1.3575952
MB_G099	0.52694166	0.102794155	-1.3568407	0.029394517	-0.5036116
MB_G100	-0.15034775	-0.42897502	0.36021224	-0.038757898	1.092322
