direction	cycle	count	q02	q09	q25	q50	q75	q91	q98
R1	194	8608	12.0	26.0	33.0	37.0	37.0	37.0	38.0
R1	195	8608	12.0	24.0	32.0	37.0	37.0	37.0	38.0
R1	196	8608	12.0	25.0	32.0	37.0	37.0	37.0	37.0
R1	197	8608	12.0	24.0	32.0	37.0	37.0	37.0	37.0
R1	198	8608	13.0	30.0	35.0	37.0	37.0	37.0	37.0
R1	199	8608	12.0	24.0	36.0	37.0	37.0	37.0	37.0
R1	200	8608	12.0	13.0	32.0	37.0	37.0	37.0	37.0
R1	201	8608	12.0	14.0	32.0	37.0	37.0	37.0	37.0
R1	202	8608	12.0	13.0	32.0	37.0	37.0	37.0	37.0
R1	203	8608	12.0	14.0	32.0	37.0	37.0	37.0	37.0
R1	204	8608	12.0	13.0	32.0	37.0	37.0	37.0	37.0
R1	205	8608	12.0	14.0	33.0	37.0	37.0	37.0	37.0
R1	206	8608	13.0	25.0	35.0	37.0	37.0	37.0	37.0
R1	207	8608	12.0	24.0	36.0	37.0	37.0	37.0	37.0
R1	208	8608	13.0	24.0	36.0	37.0	37.0	37.0	37.0
R1	209	8608	13.0	25.0	37.0	37.0	37.0	37.0	37.0
R1	210	8608	12.0	14.0	33.0	37.0	37.0	37.0	37.0
R1	211	8608	12.0	14.0	32.0	37.0	37.0	37.0	37.0
R1	212	8608	12.0	14.0	33.0	37.0	37.0	37.0	37.0
R1	213	8608	12.0	13.0	32.0	37.0	37.0	37.0	37.0
R1	214	8608	12.0	13.0	30.0	37.0	37.0	37.0	37.0
R1	215	8608	12.0	14.0	32.0	37.0	37.0	37.0	37.0
R1	216	8608	12.0	14.0	32.0	37.0	37.0	37.0	37.0
R1	217	8608	12.0	14.0	32.0	37.0	37.0	37.0	37.0
R1	218	8608	13.0	24.0	33.0	37.0	37.0	37.0	37.0
R1	219	8608	14.0	24.0	37.0	37.0	37.0	37.0	37.0
R1	220	8608	13.0	14.0	36.0	37.0	37.0	37.0	37.0
R1	221	8608	13.0	15.0	37.0	37.0	37.0	37.0	37.0
R1	222	8608	12.0	14.0	33.0	37.0	37.0	37.0	37.0
R1	223	8608	12.0	14.0	33.0	37.0	37.0	37.0	37.0
R1	224	8608	12.0	14.0	33.0	37.0	37.0	37.0	37.0
R1	225	8608	12.0	13.0	32.0	37.0	37.0	37.0	37.0
R1	226	8608	12.0	24.0	33.0	37.0	37.0	37.0	37.0
R1	227	8608	12.0	14.0	33.0	37.0	37.0	37.0	37.0
R1	228	8604	13.0	14.0	33.0	37.0	37.0	37.0	37.0
R1	229	8600	12.0	14.0	32.0	37.0	37.0	37.0	37.0
R1	230	8587	12.0	14.0	32.0	37.0	37.0	37.0	37.0
R1	231	2624	12.0	12.0	13.0	13.0	32.0	37.0	37.0
R1	232	24	12.46	13.0	14.0	34.0	37.0	37.0	37.0
R2	1	8614	37.0	38.0	38.0	38.0	38.0	38.0	38.0
R2	2	8614	33.0	37.0	38.0	38.0	38.0	38.0	38.0
R2	3	8614	16.0	34.0	38.0	39.0	39.0	39.0	39.0
R2	4	8614	17.0	35.0	38.0	38.0	39.0	39.0	39.0
R2	5	8614	17.0	36.0	38.0	39.0	39.0	39.0	39.0
R2	6	8614	34.0	37.0	38.0	39.0	39.0	39.0	39.0
R2	7	8614	18.0	37.0	38.0	39.0	39.0	39.0	39.0
R2	8	8614	32.0	37.0	38.0	39.0	39.0	39.0	39.0
R2	9	8614	20.25999999999999	37.0	38.0	39.0	39.0	39.0	39.0
R2	10	8614	34.0	38.0	39.0	39.0	39.0	39.0	39.0
R2	11	8614	16.0	36.0	38.0	39.0	39.0	39.0	39.0
R2	12	8614	33.0	37.0	38.0	39.0	39.0	39.0	39.0
R2	13	8614	32.0	37.0	38.0	38.0	38.0	39.0	39.0
R2	14	8614	32.0	36.0	38.0	38.0	38.0	39.0	39.0
R2	15	8614	15.0	34.0	38.0	39.0	39.0	39.0	39.0
R2	16	8614	15.0	32.0	37.0	38.0	38.0	38.0	39.0
R2	17	8614	30.0	34.0	38.0	38.0	38.0	39.0	39.0
R2	18	8614	32.0	36.0	38.0	38.0	39.0	39.0	39.0
R2	19	8614	32.0	36.0	38.0	38.0	39.0	39.0	39.0
R2	20	8614	33.0	37.0	38.0	38.0	39.0	39.0	39.0
R2	21	8613	34.0	37.0	38.0	38.0	39.0	39.0	39.0
R2	22	8613	34.0	38.0	39.0	39.0	39.0	39.0	39.0
R2	23	8613	20.0	36.0	38.0	38.0	38.0	38.0	39.0
R2	24	8613	15.0	33.0	38.0	39.0	39.0	39.0	39.0
R2	25	8613	14.0	32.0	37.0	38.0	38.0	39.0	39.0
R2	26	8613	14.0	33.0	38.0	38.0	38.0	39.0	39.0
R2	27	8613	14.0	32.0	37.0	38.0	39.0	39.0	39.0
R2	28	8613	33.0	37.0	38.0	39.0	39.0	39.0	39.0
R2	29	8613	16.0	33.0	38.0	39.0	39.0	39.0	39.0
R2	30	8613	18.0	36.0	38.0	39.0	39.0	39.0	39.0
R2	31	8613	16.0	36.0	38.0	39.0	39.0	39.0	39.0
R2	32	8613	16.0	35.0	38.0	39.0	39.0	39.0	39.0
R2	33	8613	32.0	36.0	38.0	38.0	38.0	39.0	39.0
R2	34	8613	33.0	37.0	38.0	38.0	39.0	39.0	39.0
R2	35	8613	32.0	37.0	38.0	38.0	38.0	39.0	39.0
R2	36	8613	15.0	34.0	38.0	38.0	38.0	39.0	39.0
R2	37	8613	14.0	35.0	38.0	38.0	38.0	39.0	39.0
R2	38	8612	15.0	32.0	37.0	39.0	39.0	39.0	39.0
R2	39	8612	16.0	29.0	37.0	39.0	39.0	39.0	39.0
R2	40	8612	15.0	20.0	37.0	38.5	39.0	39.0	39.0
R2	41	8612	16.0	20.0	37.0	39.0	39.0	39.0	39.0
R2	42	8612	15.0	20.0	37.0	38.0	39.0	39.0	39.0
R2	43	8612	15.0	30.0	37.0	38.0	39.0	39.0	39.0
R2	44	8612	14.0	20.0	37.0	38.0	39.0	39.0	39.0
R2	45	8612	17.0	35.0	38.0	39.0	39.0	39.0	39.0
R2	46	8612	16.0	34.0	38.0	38.0	39.0	39.0	39.0
R2	47	8612	16.0	36.0	38.0	39.0	39.0	39.0	39.0
R2	48	8612	17.0	36.0	38.0	39.0	39.0	39.0	39.0
R2	49	8612	15.0	18.0	37.0	38.5	39.0	39.0	39.0
R2	50	8611	14.0	20.0	37.0	38.0	39.0	39.0	39.0
R2	51	8611	14.0	20.0	37.0	38.0	39.0	39.0	39.0
R2	52	8611	14.0	29.0	37.0	38.0	39.0	39.0	39.0
R2	53	8611	14.0	28.799999999999955	37.0	38.0	39.0	39.0	39.0
R2	54	8611	15.0	30.0	37.0	38.0	39.0	39.0	39.0
R2	55	8611	16.0	34.0	37.0	38.0	38.0	39.0	39.0
R2	56	8610	29.0	36.0	38.0	38.0	38.0	39.0	39.0
R2	57	8610	18.0	36.0	38.0	38.0	39.0	39.0	39.0
R2	58	8610	36.0	38.0	38.0	38.0	39.0	39.0	39.0
R2	59	8610	35.0	38.0	38.0	38.0	39.0	39.0	39.0
R2	60	8610	33.0	38.0	39.0	39.0	39.0	39.0	39.0
R2	61	8610	16.0	36.0	38.0	39.0	39.0	39.0	39.0
R2	62	8610	29.0	35.0	38.0	38.0	38.0	38.0	39.0
R2	63	8610	14.0	34.0	37.0	38.0	38.0	38.0	38.0
R2	64	8610	14.0	34.0	37.0	38.0	38.0	38.0	39.0
R2	65	8610	14.0	30.0	37.0	38.0	38.0	38.0	38.0
R2	66	8610	15.0	26.61999999999989	37.0	39.0	39.0	39.0	39.0
R2	67	8610	18.0	34.0	37.0	38.0	39.0	39.0	39.0
R2	68	8610	16.0	36.0	38.0	38.0	39.0	39.0	39.0
R2	69	8610	16.0	33.0	37.0	38.0	39.0	39.0	39.0
R2	70	8610	14.0	32.0	37.0	38.0	39.0	39.0	39.0
R2	71	8610	14.0	34.0	37.0	38.0	39.0	39.0	39.0
R2	72	8610	30.0	36.0	38.0	38.0	38.0	39.0	39.0
R2	73	8610	33.0	37.0	39.0	39.0	39.0	39.0	39.0
R2	74	8610	17.0	36.0	38.0	39.0	39.0	39.0	39.0
R2	75	8610	17.0	37.0	39.0	39.0	39.0	39.0	39.0
R2	76	8610	16.0	35.0	38.0	39.0	39.0	39.0	39.0
R2	77	8610	16.0	34.0	38.0	39.0	39.0	39.0	39.0
R2	78	8610	14.0	18.0	37.0	38.0	39.0	39.0	39.0
R2	79	8610	14.0	18.0	37.0	38.0	39.0	39.0	39.0
R2	80	8610	14.0	30.0	37.0	38.0	39.0	39.0	39.0
R2	81	8610	14.0	33.0	37.0	38.0	39.0	39.0	39.0
R2	82	8610	14.0	30.0	37.0	38.0	39.0	39.0	39.0
R2	83	8610	30.0	36.0	38.0	38.0	39.0	39.0	39.0
R2	84	8610	17.0	37.0	38.0	39.0	39.0	39.0	39.0
R2	85	8610	17.0	36.0	38.0	39.0	39.0	39.0	39.0
R2	86	8610	17.0	35.0	38.0	39.0	39.0	39.0	39.0
R2	87	8609	16.0	33.0	38.0	39.0	39.0	39.0	39.0
R2	88	8609	16.0	35.0	37.0	38.0	38.0	39.0	39.0
R2	89	8609	14.0	30.0	38.0	38.0	38.0	39.0	39.0
R2	90	8609	14.0	34.0	37.0	38.0	38.0	39.0	39.0
R2	91	8609	30.0	36.0	38.0	38.0	39.0	39.0	39.0
R2	92	8609	33.0	37.0	38.0	38.0	39.0	39.0	39.0
R2	93	8609	35.0	38.0	39.0	39.0	39.0	39.0	39.0
R2	94	8609	17.0	36.0	38.0	39.0	39.0	39.0	39.0
R2	95	8609	19.0	37.0	38.0	39.0	39.0	39.0	39.0
R2	96	8609	19.0	37.0	39.0	39.0	39.0	39.0	39.0
R2	97	8609	16.0	33.0	38.0	39.0	39.0	39.0	39.0
R2	98	8609	14.0	30.0	37.0	38.0	39.0	39.0	39.0
R2	99	8609	16.0	34.0	38.0	38.0	39.0	39.0	39.0
R2	100	8609	30.0	36.0	38.0	38.0	39.0	39.0	39.0
R2	101	8609	14.0	34.0	38.0	38.0	39.0	39.0	39.0
R2	102	8609	27.0	35.0	38.0	38.0	39.0	39.0	39.0
R2	103	8609	16.0	37.0	38.0	39.0	39.0	39.0	39.0
R2	104	8609	16.0	37.0	38.0	39.0	39.0	39.0	39.0
R2	105	8609	14.0	27.0	37.0	38.0	39.0	39.0	39.0
R2	106	8609	14.0	15.0	35.0	38.0	39.0	39.0	39.0
R2	107	8609	14.0	29.0	36.0	38.0	39.0	39.0	39.0
R2	108	8609	14.0	30.0	37.0	38.0	38.0	39.0	39.0
R2	109	8609	14.0	30.0	36.0	38.0	39.0	39.0	39.0
R2	110	8609	14.0	33.0	38.0	38.0	39.0	39.0	39.0
R2	111	8609	30.0	37.0	38.0	39.0	39.0	39.0	39.0
R2	112	8609	16.0	37.0	38.0	39.0	39.0	39.0	39.0
R2	113	8609	27.0	37.0	38.0	39.0	39.0	39.0	39.0
R2	114	8609	16.0	35.0	38.0	39.0	39.0	39.0	39.0
R2	115	8609	15.0	29.0	37.0	39.0	39.0	39.0	39.0
R2	116	8609	16.0	30.0	37.0	39.0	39.0	39.0	39.0
R2	117	8609	14.0	25.0	37.0	38.0	39.0	39.0	39.0
R2	118	8609	14.0	16.0	37.0	38.0	39.0	39.0	39.0
R2	119	8609	14.0	16.0	37.0	38.0	39.0	39.0	39.0
R2	120	8609	26.0	33.0	38.0	39.0	39.0	39.0	39.0
R2	121	8609	16.0	34.0	38.0	38.0	39.0	39.0	39.0
R2	122	8609	15.0	34.0	38.0	39.0	39.0	39.0	39.0
R2	123	8609	27.0	35.0	38.0	39.0	39.0	39.0	39.0
R2	124	8609	16.0	37.0	38.0	39.0	39.0	39.0	39.0
R2	125	8609	14.0	16.0	37.0	39.0	39.0	39.0	39.0
R2	126	8609	15.0	29.0	37.0	39.0	39.0	39.0	39.0
R2	127	8609	15.0	27.0	37.0	38.0	39.0	39.0	39.0
R2	128	8609	13.0	16.0	36.0	38.0	39.0	39.0	39.0
R2	129	8609	12.0	16.0	34.0	38.0	39.0	39.0	39.0
R2	130	8609	12.0	25.0	34.0	38.0	39.0	39.0	39.0
R2	131	8609	13.0	29.0	36.0	38.0	39.0	39.0	39.0
R2	132	8609	15.0	31.0	38.0	38.0	39.0	39.0	39.0
R2	133	8609	25.159999999999997	35.0	38.0	39.0	39.0	39.0	39.0
R2	134	8609	14.0	17.0	37.0	39.0	39.0	39.0	39.0
R2	135	8609	15.0	30.0	37.0	38.0	39.0	39.0	39.0
R2	136	8609	15.0	33.0	37.0	39.0	39.0	39.0	39.0
R2	137	8609	15.0	16.0	37.0	39.0	39.0	39.0	39.0
R2	138	8609	14.0	17.0	37.0	38.0	39.0	39.0	39.0
R2	139	8609	14.159999999999997	16.0	37.0	39.0	39.0	39.0	39.0
R2	140	8609	13.0	16.0	36.0	38.0	39.0	39.0	39.0
R2	141	8609	13.0	15.0	35.0	38.0	39.0	39.0	39.0
R2	142	8609	14.0	26.0	36.0	38.0	39.0	39.0	39.0
R2	143	8609	14.0	27.0	37.0	38.0	39.0	39.0	39.0
R2	144	8609	15.0	29.0	37.0	38.0	39.0	39.0	39.0
R2	145	8609	15.0	33.0	38.0	39.0	39.0	39.0	39.0
R2	146	8609	14.0	16.0	36.0	38.0	39.0	39.0	39.0
R2	147	8609	15.0	25.0	37.0	38.0	39.0	39.0	39.0
R2	148	8609	15.0	26.0	37.0	39.0	39.0	39.0	39.0
R2	149	8609	13.0	15.0	35.0	38.0	39.0	39.0	39.0
R2	150	8609	13.0	16.0	36.0	38.0	39.0	39.0	39.0
R2	151	8609	13.0	16.0	37.0	38.0	39.0	39.0	39.0
R2	152	8609	13.0	15.0	35.0	38.0	39.0	39.0	39.0
R2	153	8609	13.0	27.0	36.0	38.0	39.0	39.0	39.0
R2	154	8608	13.0	27.0	37.0	38.0	39.0	39.0	39.0
