Group	EdgeKey	SelectionFrequency
CW	Genus:Bacillus || Genus:Pirellula	0.004
CW	Genus:Bacillus || Genus:Planomicrobium	0.002
CW	Genus:Bacillus || Genus:Pseudolabrys	0.002
CW	Genus:Bacillus || Genus:Pseudomonas	0.018
CW	Genus:Bacillus || Genus:Robiginitalea	0.002
CW	Genus:Bacillus || Genus:Terrimonas	0.142
CW	Genus:Bacillus || Genus:Variibacter	0.002
CW	Genus:Blastocatella || Genus:Acidovorax	0.012
CW	Genus:Blastocatella || Genus:Algoriphagus	0.018
CW	Genus:Blastocatella || Genus:Altererythrobacter	0.094
CW	Genus:Blastocatella || Genus:Anaerolinea	0.028
CW	Genus:Blastocatella || Genus:Desulfobulbus	0.002
CW	Genus:Blastocatella || Genus:Erythrobacter	0.032
CW	Genus:Blastocatella || Genus:Exiguobacterium	0.004
CW	Genus:Blastocatella || Genus:Fusibacter	0.006
CW	Genus:Blastocatella || Genus:Gaiella	0.014
CW	Genus:Blastocatella || Genus:Haliangium	0.004
CW	Genus:Blastocatella || Genus:Illumatobacter	0.096
CW	Genus:Blastocatella || Genus:Marinicella	0.012
CW	Genus:Blastocatella || Genus:Pedobacter	0.002
CW	Genus:Blastocatella || Genus:Pirellula	0.082
CW	Genus:Blastocatella || Genus:Planctomyces	0.016
CW	Genus:Blastocatella || Genus:Planomicrobium	0.008
CW	Genus:Blastocatella || Genus:Pseudolabrys	0.016
CW	Genus:Blastocatella || Genus:Robiginitalea	0.11
CW	Genus:Blastocatella || Genus:Sulfurovum	0.04
CW	Genus:Blastocatella || Genus:Terrimonas	0.014
CW	Genus:Bryobacter || Genus:Acidovorax	0.002
CW	Genus:Bryobacter || Genus:Algoriphagus	0.002
CW	Genus:Bryobacter || Genus:Desulfobulbus	0.004
CW	Genus:Bryobacter || Genus:Erythrobacter	0.002
CW	Genus:Bryobacter || Genus:Gaiella	0.002
CW	Genus:Bryobacter || Genus:Gemmatimonas	0.002
CW	Genus:Bryobacter || Genus:Marinicella	0.022
CW	Genus:Bryobacter || Genus:Massilia	0.006
CW	Genus:Bryobacter || Genus:Nitrospira	0.002
CW	Genus:Bryobacter || Genus:Planctomyces	0.132
CW	Genus:Bryobacter || Genus:Pseudomonas	0.012
CW	Genus:Bryobacter || Genus:Terrimonas	0.002
CW	Genus:Bryobacter || Genus:Variibacter	0.002
CW	Genus:Candidatus Solibacter || Genus:Algoriphagus	0.188
CW	Genus:Candidatus Solibacter || Genus:Arenimonas	0.008
CW	Genus:Candidatus Solibacter || Genus:Bryobacter	0.002
CW	Genus:Candidatus Solibacter || Genus:Erythrobacter	0.006
CW	Genus:Candidatus Solibacter || Genus:Exiguobacterium	0.224
CW	Genus:Candidatus Solibacter || Genus:Ferruginibacter	0.18
CW	Genus:Candidatus Solibacter || Genus:Flavobacterium	0.052
CW	Genus:Candidatus Solibacter || Genus:Fusibacter	0.092
CW	Genus:Candidatus Solibacter || Genus:Gaiella	0.002
CW	Genus:Candidatus Solibacter || Genus:Gemmatimonas	0.01
CW	Genus:Candidatus Solibacter || Genus:Gillisia	0.048
CW	Genus:Candidatus Solibacter || Genus:Lysobacter	0.002
CW	Genus:Candidatus Solibacter || Genus:Marinicella	0.014
CW	Genus:Candidatus Solibacter || Genus:Nitrospira	0.004
CW	Genus:Candidatus Solibacter || Genus:Paenisporosarcina	0.014
CW	Genus:Candidatus Solibacter || Genus:Pedobacter	0.004
CW	Genus:Candidatus Solibacter || Genus:Pirellula	0.044
CW	Genus:Candidatus Solibacter || Genus:Planomicrobium	0.002
CW	Genus:Candidatus Solibacter || Genus:Pseudolabrys	0.114
CW	Genus:Candidatus Solibacter || Genus:Robiginitalea	0.018
CW	Genus:Candidatus Solibacter || Genus:Terrimonas	0.032
CW	Genus:Candidatus Solibacter || Genus:Variibacter	0.048
CW	Genus:Clostridium sensu stricto 13 || Genus:Altererythrobacter	0.006
CW	Genus:Clostridium sensu stricto 13 || Genus:Anaerolinea	0.034
CW	Genus:Clostridium sensu stricto 13 || Genus:Bacillus	0.118
CW	Genus:Clostridium sensu stricto 13 || Genus:Blastocatella	0.004
CW	Genus:Clostridium sensu stricto 13 || Genus:Bryobacter	0.038
CW	Genus:Clostridium sensu stricto 13 || Genus:Ferruginibacter	0.008
CW	Genus:Clostridium sensu stricto 13 || Genus:Gemmatimonas	0.002
CW	Genus:Clostridium sensu stricto 13 || Genus:Gillisia	0.224
CW	Genus:Clostridium sensu stricto 13 || Genus:Haliangium	0.02
CW	Genus:Clostridium sensu stricto 13 || Genus:Lysobacter	0.152
CW	Genus:Clostridium sensu stricto 13 || Genus:Massilia	0.02
CW	Genus:Clostridium sensu stricto 13 || Genus:Paenisporosarcina	0.002
CW	Genus:Clostridium sensu stricto 13 || Genus:Pedobacter	0.176
CW	Genus:Clostridium sensu stricto 13 || Genus:Pirellula	0.006
CW	Genus:Clostridium sensu stricto 13 || Genus:Planctomyces	0.012
CW	Genus:Clostridium sensu stricto 13 || Genus:Pseudolabrys	0.018
CW	Genus:Clostridium sensu stricto 13 || Genus:Pseudomonas	0.084
CW	Genus:Clostridium sensu stricto 13 || Genus:Robiginitalea	0.012
CW	Genus:Clostridium sensu stricto 13 || Genus:Sulfurovum	0.006
CW	Genus:Clostridium sensu stricto 13 || Genus:Terrimonas	0.002
CW	Genus:Clostridium sensu stricto 13 || Genus:Thiobacillus	0.012
CW	Genus:Clostridium sensu stricto 13 || Genus:Variibacter	0.004
CW	Genus:Desulfobulbus || Genus:Acidovorax	0.002
CW	Genus:Desulfobulbus || Genus:Algoriphagus	0.006
CW	Genus:Desulfobulbus || Genus:Altererythrobacter	0.024
CW	Genus:Desulfobulbus || Genus:Arenimonas	0.288
CW	Genus:Desulfobulbus || Genus:Erythrobacter	0.002
CW	Genus:Desulfobulbus || Genus:Exiguobacterium	0.684
CW	Genus:Desulfobulbus || Genus:Fusibacter	0.008
CW	Genus:Desulfobulbus || Genus:Geobacter	0.05
CW	Genus:Desulfobulbus || Genus:Pseudolabrys	0.002
CW	Genus:Desulfobulbus || Genus:Terrimonas	0.006
CW	Genus:Erythrobacter || Genus:Altererythrobacter	0.032
CW	Genus:Erythrobacter || Genus:Arenimonas	0.002
CW	Genus:Erythrobacter || Genus:Geobacter	0.002
CW	Genus:Erythrobacter || Genus:Haliangium	0.002
CW	Genus:Erythrobacter || Genus:Massilia	0.002
CW	Genus:Erythrobacter || Genus:Paenisporosarcina	0.004
CW	Genus:Erythrobacter || Genus:Robiginitalea	0.186
CW	Genus:Ferruginibacter || Genus:Algoriphagus	0.012
CW	Genus:Ferruginibacter || Genus:Erythrobacter	0.52
CW	Genus:Ferruginibacter || Genus:Exiguobacterium	0.328
CW	Genus:Ferruginibacter || Genus:Lysobacter	0.066
CW	Genus:Ferruginibacter || Genus:Massilia	0.004
CW	Genus:Ferruginibacter || Genus:Nitrospira	0.004
CW	Genus:Ferruginibacter || Genus:Paenisporosarcina	0.002
CW	Genus:Ferruginibacter || Genus:Pseudolabrys	0.01
CW	Genus:Ferruginibacter || Genus:Terrimonas	0.16
CW	Genus:Ferruginibacter || Genus:Variibacter	0.094
CW	Genus:Flavobacterium || Genus:Acidovorax	0.004
CW	Genus:Flavobacterium || Genus:Arenimonas	0.004
CW	Genus:Flavobacterium || Genus:Blastocatella	0.192
CW	Genus:Flavobacterium || Genus:Desulfobulbus	0.002
CW	Genus:Flavobacterium || Genus:Exiguobacterium	0.842
CW	Genus:Flavobacterium || Genus:Ferruginibacter	0.42
CW	Genus:Flavobacterium || Genus:Gemmatimonas	0.164
CW	Genus:Flavobacterium || Genus:Geobacter	0.078
CW	Genus:Flavobacterium || Genus:Gillisia	0.312
CW	Genus:Flavobacterium || Genus:Haliangium	0.002
CW	Genus:Flavobacterium || Genus:Illumatobacter	0.008
CW	Genus:Flavobacterium || Genus:Lysobacter	0.002
CW	Genus:Flavobacterium || Genus:Massilia	0.002
CW	Genus:Flavobacterium || Genus:Paenisporosarcina	0.01
CW	Genus:Flavobacterium || Genus:Pedobacter	0.294
CW	Genus:Flavobacterium || Genus:Pirellula	0.024
CW	Genus:Flavobacterium || Genus:Planctomyces	0.016
CW	Genus:Flavobacterium || Genus:Planomicrobium	0.014
CW	Genus:Flavobacterium || Genus:Pseudomonas	0.062
CW	Genus:Flavobacterium || Genus:Robiginitalea	0.322
CW	Genus:Flavobacterium || Genus:Sulfurovum	0.008
CW	Genus:Flavobacterium || Genus:Terrimonas	0.014
CW	Genus:Fusibacter || Genus:Exiguobacterium	0.038
CW	Genus:Fusibacter || Genus:Terrimonas	0.014
CW	Genus:Gaiella || Genus:Acidovorax	0.002
CW	Genus:Gaiella || Genus:Algoriphagus	0.064
CW	Genus:Gaiella || Genus:Arenimonas	0.364
CW	Genus:Gaiella || Genus:Erythrobacter	0.068
CW	Genus:Gaiella || Genus:Exiguobacterium	0.006
CW	Genus:Gaiella || Genus:Ferruginibacter	0.002
CW	Genus:Gaiella || Genus:Gemmatimonas	0.002
CW	Genus:Gaiella || Genus:Geobacter	0.042
CW	Genus:Gaiella || Genus:Massilia	0.118
CW	Genus:Gaiella || Genus:Nitrospira	0.25
CW	Genus:Gaiella || Genus:Paenisporosarcina	0.028
CW	Genus:Gaiella || Genus:Pirellula	0.082
CW	Genus:Gaiella || Genus:Planctomyces	0.014
CW	Genus:Gaiella || Genus:Pseudolabrys	0.082
CW	Genus:Gaiella || Genus:Terrimonas	0.034
CW	Genus:Gemmatimonas || Genus:Acidovorax	0.006
CW	Genus:Gemmatimonas || Genus:Algoriphagus	0.114
CW	Genus:Gemmatimonas || Genus:Altererythrobacter	0.008
CW	Genus:Gemmatimonas || Genus:Desulfobulbus	0.202
CW	Genus:Gemmatimonas || Genus:Exiguobacterium	0.016
CW	Genus:Gemmatimonas || Genus:Ferruginibacter	0.048
CW	Genus:Gemmatimonas || Genus:Fusibacter	0.004
CW	Genus:Gemmatimonas || Genus:Haliangium	0.122
CW	Genus:Gemmatimonas || Genus:Lysobacter	0.016
CW	Genus:Gemmatimonas || Genus:Massilia	0.004
CW	Genus:Gemmatimonas || Genus:Paenisporosarcina	0.21
CW	Genus:Gemmatimonas || Genus:Pedobacter	0.002
CW	Genus:Gemmatimonas || Genus:Pseudolabrys	0.048
CW	Genus:Gemmatimonas || Genus:Variibacter	0.002
CW	Genus:Geobacter || Genus:Altererythrobacter	0.138
CW	Genus:Geobacter || Genus:Arenimonas	0.054
CW	Genus:Geobacter || Genus:Exiguobacterium	0.006
CW	Genus:Geobacter || Genus:Massilia	0.058
CW	Genus:Geobacter || Genus:Robiginitalea	0.006
CW	Genus:Geobacter || Genus:Terrimonas	0.014
CW	Genus:Gillisia || Genus:Arenimonas	0.002
CW	Genus:Gillisia || Genus:Exiguobacterium	0.054
CW	Genus:Gillisia || Genus:Ferruginibacter	0.002
CW	Genus:Gillisia || Genus:Fusibacter	0.026
CW	Genus:Gillisia || Genus:Gemmatimonas	0.124
CW	Genus:Gillisia || Genus:Haliangium	0.046
CW	Genus:Gillisia || Genus:Lysobacter	0.014
CW	Genus:Gillisia || Genus:Marinicella	0.004
CW	Genus:Gillisia || Genus:Massilia	0.298
CW	Genus:Gillisia || Genus:Paenisporosarcina	0.25
CW	Genus:Gillisia || Genus:Pedobacter	0.018
CW	Genus:Gillisia || Genus:Planctomyces	0.196
CW	Genus:Gillisia || Genus:Planomicrobium	0.006
CW	Genus:Gillisia || Genus:Pseudolabrys	0.006
CW	Genus:Gillisia || Genus:Terrimonas	0.168
CW	Genus:Gillisia || Genus:Variibacter	0.004
CW	Genus:Haliangium || Genus:Algoriphagus	0.002
CW	Genus:Haliangium || Genus:Altererythrobacter	0.002
CW	Genus:Haliangium || Genus:Arenimonas	0.002
CW	Genus:Haliangium || Genus:Exiguobacterium	0.002
CW	Genus:Haliangium || Genus:Fusibacter	0.004
CW	Genus:Haliangium || Genus:Geobacter	0.004
CW	Genus:Haliangium || Genus:Terrimonas	0.002
CW	Genus:Illumatobacter || Genus:Erythrobacter	0.002
CW	Genus:Illumatobacter || Genus:Exiguobacterium	0.004
CW	Genus:Illumatobacter || Genus:Ferruginibacter	0.112
CW	Genus:Illumatobacter || Genus:Fusibacter	0.002
CW	Genus:Illumatobacter || Genus:Gaiella	0.018
CW	Genus:Illumatobacter || Genus:Gemmatimonas	0.01
