Pair	Kingdom1	Feature1	Label1	Kingdom2	Feature2	Label2	RawRho	RawPValue	RawQValue	AdjustedRho	AdjustedPValue	AdjustedQValue	SignChanged	BootstrapLower	BootstrapUpper	SignStability
Bacteria vs Fungi	Bacteria	OTU_16	[Kouleothrixaceae] (OTU_16)	Fungi	OTU_87	discosioides (OTU_87)	0.345945945945946	0.0387604245084869	0.0817443047630655	0.0427284427284427	0.804570981748489	0.941018692103496	FALSE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_51	Enterobacteriaceae (OTU_51)	Oomycete	OTU_19	Pythium (OTU_19)	-0.338996138996139	0.0431222767146182	0.088499758063622	-0.0427284427284427	0.804570981748489	0.941018692103496	FALSE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_327	viridiflava (OTU_327)	Oomycete	OTU_5	Pythium (OTU_5)	0.230630630630631	0.175968216090599	0.26198741849717	0.0416988416988417	0.809192252700405	0.945502145316929	FALSE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_24	Agrobacterium (OTU_24)	Fungi	OTU_45	solani (OTU_45)	0.288030888030888	0.088472955595847	0.157285254392617	0.0411840411840412	0.811505284142691	0.946791134806017	FALSE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_23	[Kouleothrixaceae] (OTU_23)	Fungi	OTU_49	caryae (OTU_49)	0.359330759330759	0.0313687366795074	0.0690687780099245	-0.0409266409266409	0.812662390708498	0.946791134806017	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_59	OTU_59 (OTU_59)	Oomycete	OTU_7	Pythium (OTU_7)	-0.661003861003861	1.14288546651175e-05	0.000114288546651175	0.0409266409266409	0.812662390708498	0.946791134806017	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_44	hispanica (OTU_44)	Oomycete	OTU_10	Pythium (OTU_10)	-0.271557271557272	0.109130935998261	0.181884893330436	0.0404118404118404	0.814977773864867	0.948567729037672	TRUE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_71	Polyangiaceae (OTU_71)	Fungi	OTU_18	OTU_18 (OTU_18)	-0.00386100386100386	0.982169958826714	0.987105486258004	-0.0398970398970399	0.81729470147474	0.949849599921365	FALSE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_180	Serratia (OTU_180)	Fungi	OTU_64	OTU_64 (OTU_64)	0.0314028314028314	0.855730194932906	0.894491492961226	0.0396396396396397	0.81845373859891	0.949849599921365	FALSE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_63	OTU_63 (OTU_63)	Oomycete	OTU_7	Pythium (OTU_7)	0.343371943371943	0.0403321663287572	0.0844652697984443	-0.0396396396396397	0.81845373859891	0.949849599921365	TRUE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_5	Dolo_23 (OTU_5)	Fungi	OTU_1	Coprinopsis (OTU_1)	-0.0666666666666667	0.699264450622968	0.773891431351547	0.0393822393822394	0.819613154810955	0.950276121519948	TRUE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_153	Polyangiaceae (OTU_153)	Fungi	OTU_59	OTU_59 (OTU_59)	0.141312741312741	0.411025272466568	0.510062385687572	0.0388674388674389	0.821933115110444	0.951128002056445	FALSE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_44	hispanica (OTU_44)	Oomycete	OTU_2	Albugo (OTU_2)	-0.541570141570142	0.000646975021188609	0.0030326954118216	-0.0388674388674389	0.821933115110444	0.951128002056445	FALSE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_83	OTU_83 (OTU_83)	Fungi	OTU_1	Coprinopsis (OTU_1)	0.0216216216216216	0.900392279654939	0.929837121846753	0.0373230373230373	0.828901849628296	0.955716408435303	FALSE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_36	OTU_36 (OTU_36)	Oomycete	OTU_12	Pythium (OTU_12)	-0.343629343629344	0.0401727067243574	0.0842784057154352	0.0373230373230373	0.828901849628296	0.955716408435303	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_5	OTU_5 (OTU_5)	Oomycete	OTU_15	Pythium (OTU_15)	0.185328185328185	0.279192919452019	0.374755596579891	0.0373230373230373	0.828901849628296	0.955716408435303	FALSE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_32	OTU_32 (OTU_32)	Oomycete	OTU_8	Pythium (OTU_8)	-0.407464607464607	0.0136401295039693	0.035660469291423	0.0370656370656371	0.830064571775362	0.955716408435303	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_32	OTU_32 (OTU_32)	Oomycete	OTU_5	Pythium (OTU_5)	0.0996138996138996	0.563243253296394	0.652405312698526	-0.0368082368082368	0.831227649447116	0.955716408435303	TRUE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_327	viridiflava (OTU_327)	Fungi	OTU_18	OTU_18 (OTU_18)	0.0342342342342342	0.842877458027765	0.887688998836793	0.0365508365508366	0.832391080275492	0.955716408435303	FALSE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_44	hispanica (OTU_44)	Oomycete	OTU_3	Hyaloperonospora (OTU_3)	-0.513770913770914	0.00135075494020959	0.00542109006104185	-0.0362934362934363	0.833554861890337	0.955716408435303	FALSE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_23	[Kouleothrixaceae] (OTU_23)	Fungi	OTU_5	OTU_5 (OTU_5)	0.318918918918919	0.0579836248731778	0.11186551422478	0.036036036036036	0.834718991919436	0.955716408435303	FALSE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_23	[Kouleothrixaceae] (OTU_23)	Fungi	OTU_67	OTU_67 (OTU_67)	-0.836808236808237	2.04319310806013e-10	3.50261675667451e-08	-0.0357786357786358	0.835883467988512	0.955716408435303	FALSE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_4	Janthinobacterium (OTU_4)	Oomycete	OTU_12	Pythium (OTU_12)	-0.205405405405405	0.229439542744131	0.323534020320749	0.0357786357786358	0.835883467988512	0.955716408435303	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_86	AG_A (OTU_86)	Oomycete	OTU_5	Pythium (OTU_5)	0.305019305019305	0.070465243181457	0.131098126849222	-0.0357786357786358	0.835883467988512	0.955716408435303	TRUE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_16	[Kouleothrixaceae] (OTU_16)	Oomycete	OTU_3	Hyaloperonospora (OTU_3)	0.392020592020592	0.0180476150046717	0.0443793811590287	0.0355212355212355	0.837048287721253	0.955716408435303	FALSE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_45	solani (OTU_45)	Oomycete	OTU_3	Hyaloperonospora (OTU_3)	-0.62985842985843	3.85270901695854e-05	0.000303074665031308	-0.0355212355212355	0.837048287721253	0.955716408435303	FALSE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_18	OTU_18 (OTU_18)	Oomycete	OTU_33	Hyaloperonospora (OTU_33)	0.651994851994852	1.64738030949916e-05	0.000149761846318105	0.0355212355212355	0.837048287721253	0.955716408435303	FALSE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_5	Dolo_23 (OTU_5)	Fungi	OTU_32	OTU_32 (OTU_32)	-0.400514800514801	0.0154958153407297	0.0396481415967498	0.035006435006435	0.839378948662345	0.957396347706424	TRUE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_327	viridiflava (OTU_327)	Fungi	OTU_16	elongata (OTU_16)	-0.233719433719434	0.170090140645397	0.255454529129508	-0.0347490347490348	0.840544785107986	0.957396347706424	FALSE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_18	OTU_18 (OTU_18)	Oomycete	OTU_9	OTU_9 (OTU_9)	-0.476962676962677	0.00326957642010978	0.0111462832503742	0.0344916344916345	0.841710955691897	0.957396347706424	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_5	OTU_5 (OTU_5)	Oomycete	OTU_10	Pythium (OTU_10)	0.291119691119691	0.0849595881295556	0.152166426500697	-0.0344916344916345	0.841710955691898	0.957396347706424	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_18	OTU_18 (OTU_18)	Oomycete	OTU_15	Pythium (OTU_15)	0.242985842985843	0.15330159554718	0.237984365661858	0.0342342342342342	0.842877458027765	0.95781529321337	FALSE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_45	solani (OTU_45)	Oomycete	OTU_12	Pythium (OTU_12)	0.577091377091377	0.00022904774245514	0.00128437986423443	0.033976833976834	0.844044289727317	0.958233819936406	FALSE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_4090	Pseudomonadaceae (OTU_4090)	Oomycete	OTU_20	OTU_20 (OTU_20)	0.33951093951094	0.0427861612562885	0.0880675703388441	-0.0337194337194337	0.845211448400336	0.958651926351988	TRUE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_4090	Pseudomonadaceae (OTU_4090)	Oomycete	OTU_33	Hyaloperonospora (OTU_33)	-0.0308880308880309	0.858071088545242	0.896157794825318	0.0334620334620335	0.846378931654675	0.959069610940142	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_5	OTU_5 (OTU_5)	Oomycete	OTU_12	Pythium (OTU_12)	-0.335907335907336	0.0451839739130182	0.091127342345583	0.0332046332046332	0.847546737096268	0.959486872184454	TRUE	NA	NA	NA
