SampleID	Model	StartAxis1	StartAxis2	EndAxis1	EndAxis2	Soil	Compartment
PU_root_R3	Observed	-0.224574761004539	0.0366399390954426	-0.139951974767641	0.0137131818275775	PU	Root
PU_root_R4	Observed	-0.228246992718665	0.0105298522847237	-0.106723005189949	-0.00763812892036975	PU	Root
PU_soil_R1	Observed	0.129595511865164	-0.0202849781388455	0.0636593223964421	-0.0353745914187154	PU	Soil
PU_soil_R2	Observed	0.122611600352777	-0.0130688126805673	0.0575785193959977	-0.0416248911167349	PU	Soil
PU_soil_R3	Observed	0.127605211844814	-0.0154376974572667	0.0578106168776735	-0.0382209866528219	PU	Soil
PU_soil_R4	Observed	0.134191816100105	-0.0177130071115989	0.0751937628291413	-0.0319027663806003	PU	Soil
SD_rhizosphere_R1	Observed	0.025813246109071	0.0243709828655002	0.0210810330832219	0.0684166213731764	SD	Rhizosphere
SD_rhizosphere_R2	Observed	0.0316298709252154	0.0344793988797284	0.0272006641586445	0.0551064178173534	SD	Rhizosphere
SD_rhizosphere_R3	Observed	0.0475792436241898	0.0405179375184428	0.0113133590447545	0.0537636036477817	SD	Rhizosphere
SD_rhizosphere_R4	Observed	0.0613306479688358	0.0547533774193639	0.0390250776770643	0.0835895064952307	SD	Rhizosphere
SD_root_R1	Observed	-0.00240173130585605	0.0933346609552761	-0.00505170962971846	0.114039013765585	SD	Root
SD_root_R2	Observed	-0.196887093283859	0.0700528773029161	-0.025873016600867	0.0773693740200961	SD	Root
SD_root_R3	Observed	-0.033202444153377	0.104587111750742	-0.0276257320984585	0.0817152182730746	SD	Root
SD_root_R4	Observed	-0.0249334748685483	0.129807885508459	-0.0197380223285544	0.11278928815796	SD	Root
SD_soil_R1	Observed	0.109061709120753	0.0932035323566947	0.0712155676623836	0.111177623718969	SD	Soil
SD_soil_R2	Observed	0.109508571778843	0.0919159892225573	0.0780945101306392	0.0984682275195888	SD	Soil
SD_soil_R3	Observed	0.127977559793078	0.106849976938971	0.0734465116101052	0.0956377000567262	SD	Soil
SD_soil_R4	Observed	0.115775920535924	0.103152871538933	0.0670731843059531	0.110036774373504	SD	Soil
GE_rhizosphere_R1	Niche-adjusted	-0.0092562921396478	0.00442822835273256	-0.0621727820731389	-0.0141076406238723	GE	Rhizosphere
GE_rhizosphere_R2	Niche-adjusted	-0.0608167391296934	-0.0122173984609204	0.00313812017167701	0.0179411900379251	GE	Rhizosphere
GE_rhizosphere_R3	Niche-adjusted	0.00974950074770223	-0.0154442372087404	0.0194732088866687	0.0117447085899467	GE	Rhizosphere
GE_rhizosphere_R4	Niche-adjusted	0.060323530521639	0.0232334073169283	0.0395614530147931	-0.0155782580039995	GE	Rhizosphere
GE_root_R1	Niche-adjusted	-0.0853900071191132	-0.00974251397339599	-0.024528283057081	-0.0141755678179693	GE	Root
GE_root_R2	Niche-adjusted	-0.186054376323227	0.0751091580561942	-0.0176487619713753	0.0483362776500345	GE	Root
GE_root_R3	Niche-adjusted	0.0698896237686392	0.016255331259218	0.0380447511832253	-0.00791047278739884	GE	Root
GE_root_R4	Niche-adjusted	0.201554759673701	-0.0816219753420162	0.00413229384523102	-0.0262502370446663	GE	Root
GE_soil_R1	Niche-adjusted	-0.02547609170062	0.00599186411186028	0.00788661543311888	0.00249477742762062	GE	Soil
GE_soil_R2	Niche-adjusted	-0.018081907747624	0.00513535649459644	-0.0211974347924124	-0.00626284757921744	GE	Soil
GE_soil_R3	Niche-adjusted	-0.00389857339058522	-0.00630949886818686	0.00379783883227682	-0.0023229892975103	GE	Soil
GE_soil_R4	Niche-adjusted	0.0474565728388291	-0.00481772173826982	0.0095129805270167	0.00609105944910712	GE	Soil
PU_rhizosphere_R1	Niche-adjusted	0.00762976812781072	-0.00143785866995444	-0.0296927016161121	0.00385623762081433	PU	Rhizosphere
PU_rhizosphere_R2	Niche-adjusted	0.0537847352388871	0.0179337581259027	-0.00803300126137526	-0.0139913814041297	PU	Rhizosphere
PU_rhizosphere_R3	Niche-adjusted	0.0523159946217331	-0.00144255000456671	0.0220654369440677	0.0106849753667383	PU	Rhizosphere
PU_rhizosphere_R4	Niche-adjusted	-0.113730497988431	-0.0150533494513815	0.0156602659334197	-0.000549831583422897	PU	Rhizosphere
PU_root_R1	Niche-adjusted	0.0289038917073938	-0.0616448260602074	0.0108871045420798	-0.070219730616268	PU	Root
PU_root_R2	Niche-adjusted	-0.038633146626262	0.0737200614518052	0.0096880098455214	0.0469592970259879	PU	Root
PU_root_R3	Niche-adjusted	0.010374595725724	0.0331390358916394	-0.0290192496019543	0.0761687544588678	PU	Root
PU_root_R4	Niche-adjusted	-0.000645340806855862	-0.0452142712832371	0.00844413521435309	-0.0529083208685876	PU	Root
PU_soil_R1	Niche-adjusted	0.00328439654159368	-0.0109797924576007	0.0114959288350934	-0.0141493289915095	PU	Soil
PU_soil_R2	Niche-adjusted	-0.0176735025255053	0.0106750734521169	-0.0327015161321708	0.00752269872092084	PU	Soil
PU_soil_R3	Niche-adjusted	-0.00268826030919135	0.00356632816466651	-0.0080229872615509	0.0217304655518396	PU	Soil
PU_soil_R4	Niche-adjusted	0.0170773662931031	-0.00326160915918277	0.0292285745586283	-0.0151038352812509	PU	Soil
SD_rhizosphere_R1	Niche-adjusted	-0.047338942359932	-0.0424908221124762	-0.00022731438426785	0.00927899073950451	SD	Rhizosphere
SD_rhizosphere_R2	Niche-adjusted	-0.0298839337173227	-0.0121566516152291	-0.00825818263794545	-0.00989607923274466	SD	Rhizosphere
SD_rhizosphere_R3	Niche-adjusted	0.0179782625054911	0.00596429437305898	-0.0345948949984741	0.00494778902552296	SD	Rhizosphere
SD_rhizosphere_R4	Niche-adjusted	0.0592446135717636	0.0486831793546463	0.0430803920206873	-0.00433070053228284	SD	Rhizosphere
SD_root_R1	Niche-adjusted	0.185918049491205	-0.0183383127803554	0.0394044178062747	0.0291821290404581	SD	Root
SD_root_R2	Niche-adjusted	-0.397709703972396	-0.0882042140052987	-0.0275768612620238	-0.0377157110187036	SD	Root
SD_root_R3	Niche-adjusted	0.0934887239036614	0.0154289718724631	-0.0364987631796123	-0.0058015871615803	SD	Root
SD_root_R4	Niche-adjusted	0.118302930577529	0.0911135549131911	0.0246712066353614	0.0143351691398258	SD	Root
SD_soil_R1	Niche-adjusted	-0.0195634479270318	-0.0167361032090231	0.0051070416427691	0.0125173192620647	SD	Soil
SD_soil_R2	Niche-adjusted	-0.0182224655178895	-0.0205998690946484	0.00191674642877256	-0.00626995999626376	SD	Soil
SD_soil_R3	Niche-adjusted	0.0372008006542624	0.0242152759246944	-0.00608041109854867	-0.00660990183314953	SD	Soil
SD_soil_R4	Niche-adjusted	0.000585112790658949	0.0131206963789772	-0.000943376972992959	0.00036254256734858	SD	Soil
