SampleID	Kingdom	Axis1	Axis2	Axis3	Axis4	Axis5	Soil	Compartment
GE_rhizosphere_R1	Fungi	0.0549683157606418	0.0793800599570651	-0.227812834524133	-0.340398140659939	-0.0129324008555404	GE	Rhizosphere
GE_rhizosphere_R2	Fungi	0.156212106439697	0.166860756786318	-0.166707861692911	-0.145325459969368	-0.0878380111370587	GE	Rhizosphere
GE_rhizosphere_R3	Fungi	0.0580340748584772	0.16039948216832	-0.121281406353541	-0.267285349066603	-0.059710534683515	GE	Rhizosphere
GE_rhizosphere_R4	Fungi	0.150239271520181	0.199057063666897	-0.128061813170975	-0.124085782496931	-0.00689815267586997	GE	Rhizosphere
GE_root_R1	Fungi	0.232826820825381	-0.0936313802003735	-0.375409127114907	0.0668491757360188	0.172346163563378	GE	Root
GE_root_R2	Fungi	0.259698532793456	-0.0848709153166552	-0.372137845766735	0.150381340370802	0.0519641012953009	GE	Root
GE_root_R3	Fungi	0.198939351950568	0.022156106291953	-0.324840467684254	-3.62701540751945e-05	0.0883184483059759	GE	Root
GE_root_R4	Fungi	0.261795889349232	-0.0341342698577441	-0.32965263432428	0.0352568873344735	0.139041142434639	GE	Root
GE_soil_R1	Fungi	0.114476803634635	0.392818499353399	0.0436859589814752	0.117255242360015	-0.0973995186029843	GE	Soil
GE_soil_R2	Fungi	0.145635686562739	0.38339451124385	0.00523582719926251	0.0940088892613372	-0.113074381548673	GE	Soil
GE_soil_R3	Fungi	0.142343218794078	0.401850002503024	0.0347689581331902	0.127848985740034	-0.106450679110001	GE	Soil
GE_soil_R4	Fungi	0.122307629393622	0.385657615608145	0.0531944598671565	0.137775890192534	-0.0936986880682749	GE	Soil
PU_rhizosphere_R1	Fungi	0.227972622366236	-0.204388779703674	0.191732628115295	0.021027537768727	0.104078514500137	PU	Rhizosphere
PU_rhizosphere_R2	Fungi	0.0632399120165109	-0.10375575729363	0.149258443487419	-0.255688547924463	0.0395161190559718	PU	Rhizosphere
PU_rhizosphere_R3	Fungi	0.140957083639483	-0.114261314358631	0.26238244856252	-0.154240509412496	0.0159682747600127	PU	Rhizosphere
PU_rhizosphere_R4	Fungi	0.132681242195662	-0.137701639493444	0.2296220797899	-0.0950133111681623	0.084959417660492	PU	Rhizosphere
PU_root_R1	Fungi	0.273338314223019	-0.28947311301928	0.0164443101561618	0.210666463851826	0.0206994924609052	PU	Root
PU_root_R2	Fungi	0.138909514115302	-0.331079772006908	0.102874545058532	0.023066035762533	-0.213384645237049	PU	Root
