SampleID	Soil	Compartment	Replicate	BacterialSampleID	FungalSampleID	OomyceteSampleID
PU_root_R2	PU	Root	2	1161.SH.PU.Endo.2	L0006.SH.PU.Endo.ITS1.2	L0006.SH.PU.Endo.ITS.Om.2
PU_root_R3	PU	Root	3	1161.SH.PU.Endo.3	L0006.SH.PU.Endo.ITS1.3	L0006.SH.PU.Endo.ITS.Om.3
PU_root_R4	PU	Root	4	1161.SH.PU.Endo.4	L0006.SH.PU.Endo.ITS1.4	L0006.SH.PU.Endo.ITS.Om.4
PU_soil_R1	PU	Soil	1	1161.SH.PU.Soil.1	L0006.SH.PU.Soil.ITS1.1	L0006.SH.PU.Soil.ITS.Om.1
PU_soil_R2	PU	Soil	2	1161.SH.PU.Soil.2	L0006.SH.PU.Soil.ITS1.2	L0006.SH.PU.Soil.ITS.Om.2
PU_soil_R3	PU	Soil	3	1161.SH.PU.Soil.3	L0006.SH.PU.Soil.ITS1.3	L0006.SH.PU.Soil.ITS.Om.3
PU_soil_R4	PU	Soil	4	1161.SH.PU.Soil.4	L0006.SH.PU.Soil.ITS1.4	L0006.SH.PU.Soil.ITS.Om.4
SD_rhizosphere_R1	SD	Rhizosphere	1	1161.SH.SD.Epi.1	L0006.SH.SD.Epi.ITS1.1	L0006.SH.SD.Epi.ITS.Om.1
SD_rhizosphere_R2	SD	Rhizosphere	2	1161.SH.SD.Epi.2	L0006.SH.SD.Epi.ITS1.2	L0006.SH.SD.Epi.ITS.Om.2
SD_rhizosphere_R3	SD	Rhizosphere	3	1161.SH.SD.Epi.3	L0006.SH.SD.Epi.ITS1.3	L0006.SH.SD.Epi.ITS.Om.3
SD_rhizosphere_R4	SD	Rhizosphere	4	1161.SH.SD.Epi.4	L0006.SH.SD.Epi.ITS1.4	L0006.SH.SD.Epi.ITS.Om.4
SD_root_R1	SD	Root	1	1161.SH.SD.Endo.1	L0006.SH.SD.Endo.ITS1.1	L0006.SH.SD.Endo.ITS.Om.1
SD_root_R2	SD	Root	2	1161.SH.SD.Endo.2	L0006.SH.SD.Endo.ITS1.2	L0006.SH.SD.Endo.ITS.Om.2
SD_root_R3	SD	Root	3	1161.SH.SD.Endo.3	L0006.SH.SD.Endo.ITS1.3	L0006.SH.SD.Endo.ITS.Om.3
SD_root_R4	SD	Root	4	1161.SH.SD.Endo.4	L0006.SH.SD.Endo.ITS1.4	L0006.SH.SD.Endo.ITS.Om.4
SD_soil_R1	SD	Soil	1	1161.SH.SD.Soil.1	L0006.SH.SD.Soil.ITS1.1	L0006.SH.SD.Soil.ITS.Om.1
SD_soil_R2	SD	Soil	2	1161.SH.SD.Soil.2	L0006.SH.SD.Soil.ITS1.2	L0006.SH.SD.Soil.ITS.Om.2
SD_soil_R3	SD	Soil	3	1161.SH.SD.Soil.3	L0006.SH.SD.Soil.ITS1.3	L0006.SH.SD.Soil.ITS.Om.3
SD_soil_R4	SD	Soil	4	1161.SH.SD.Soil.4	L0006.SH.SD.Soil.ITS1.4	L0006.SH.SD.Soil.ITS.Om.4
