FeatureID	GE_rhizosphere_R1	GE_rhizosphere_R2	GE_rhizosphere_R3	GE_rhizosphere_R4	GE_root_R1	GE_root_R2	GE_root_R3	GE_root_R4	GE_soil_R1	GE_soil_R2	GE_soil_R3	GE_soil_R4	PU_rhizosphere_R1	PU_rhizosphere_R2	PU_rhizosphere_R3	PU_rhizosphere_R4	PU_root_R1	PU_root_R2	PU_root_R3	PU_root_R4	PU_soil_R1	PU_soil_R2	PU_soil_R3	PU_soil_R4	SD_rhizosphere_R1	SD_rhizosphere_R2	SD_rhizosphere_R3	SD_rhizosphere_R4	SD_root_R1	SD_root_R2	SD_root_R3	SD_root_R4	SD_soil_R1	SD_soil_R2	SD_soil_R3	SD_soil_R4
OTU_98	187	36	20	22	42	5	12	36	698	220	32	50	113	27	31	9	7	0	0	1	265	90	35	44	131	53	41	54	132	5	22	0	209	160	37	60
OTU_77	921	383	161	82	1	33	33	18	588	138	56	46	1139	325	272	12	1	0	0	0	781	419	158	142	86	92	105	43	23	3	56	8	134	84	52	68
OTU_604	20	39	12	1	0	1	0	0	0	1	0	0	4	5	9	0	0	0	0	0	0	0	0	2	1	1	2	0	0	0	0	0	0	0	1	1
OTU_12	72	10	2	50	0	0	0	0	26	56	0	14	2107	7	0	24	0	0	1	0	190	56	20	18	66	17	4	9	6899	0	0	0	15	4	7	7
OTU_14	67	38	30	17	0	2	0	101	1968	419	86	112	626	56	324	22	0	0	0	0	1133	519	576	573	256	298	86	133	730	16	50	54	1016	1011	320	548
OTU_1882	144	17	9	6	45	26	16	15	20	12	0	1	242	21	31	6	87	69	8	20	14	6	9	4	26	22	21	5	17	16	17	6	18	17	0	4
OTU_363	52	15	6	16	0	0	0	0	917	281	100	107	79	26	12	2	0	0	0	7	985	406	148	260	41	33	64	36	26	0	12	5	427	451	288	305
OTU_3335	2	0	10	0	0	0	0	0	35	4	51	4	22	7	7	1	0	0	0	0	294	145	41	39	0	0	1	0	0	0	0	0	0	0	0	0
OTU_101	21	71	9	7	0	11	151	9	57	9	1	5	47	56	0	1	0	0	1	0	40	12	0	1	81	140	140	83	54	3	44	11	348	296	91	137
OTU_3779	0	0	2	2	0	0	0	0	21	6	1	3	0	1	1	0	0	0	0	6	20	8	21	8	2	3	0	1	9	0	0	0	11	11	5	14
OTU_1	1245	304	173	10	9173	7055	6613	126	385	219	29	11	2224	102	38	110	1063	7333	312	1014	277	138	41	53	294	319	228	40	1094	6999	354	102	222	153	28	21
OTU_71	27	39	5	2	258	2078	32	104	24	7	1	0	74	8	13	0	212	89	261	7	27	10	9	2	25	19	5	3	22	28	19	0	8	8	1	3
OTU_97	188	48	16	7	11	0	0	7	768	121	26	36	300	54	51	7	3	10	0	0	502	211	119	109	100	66	32	29	25	0	11	4	138	142	56	51
OTU_1056	0	0	0	0	0	2	0	0	2	0	1	0	1	2	1	1	9	3	21	1	28	10	3	5	0	2	0	0	1	0	1	0	0	1	0	0
OTU_54	10	2	3	3	0	0	0	1	512	128	82	60	36	22	21	2	5	0	0	0	1864	660	340	321	1	2	3	2	3	0	2	0	10	19	6	2
OTU_4335	11	2	1	0	0	0	0	3	53	22	12	1	9	3	3	1	0	0	0	0	199	27	21	20	1	0	2	0	6	1	0	1	16	9	1	10
OTU_82	36	10	8	0	67	558	2	3	38	7	5	1	98	25	5	15	232	642	15	64	20	33	4	6	118	31	93	17	40	395	152	6	18	26	1	5
OTU_3176	0	0	5	0	0	0	0	0	50	5	3	4	59	17	2	1	0	0	0	0	376	112	54	65	0	0	0	0	0	0	0	0	0	0	0	0
OTU_99	1610	115	72	53	632	100	15	137	167	27	3	5	1175	195	190	16	65	4	4	0	191	46	33	32	83	33	55	39	11	2	7	18	13	11	8	6
OTU_22	50	3	2	2	0	0	0	0	681	145	90	48	58	97	37	4	0	0	0	0	1124	3005	656	556	0	0	3	1	6	0	1	0	19	15	18	10
OTU_358	26	5	4	2	14	1	1	2	74	23	18	17	62	12	12	1	0	0	1	0	222	62	50	46	14	1	7	5	10	0	5	1	39	35	23	15
OTU_58	921	314	152	37	1906	432	89	48	167	37	19	11	1714	141	241	41	82	11	68	174	164	86	47	20	50	72	42	12	20	540	28	3	19	28	2	5
OTU_3361	53	33	9	9	11	38	8	10	102	14	5	6	36	11	5	2	0	1	1	0	10	6	5	3	5	3	2	0	12	0	0	0	7	6	0	2
OTU_28	136	42	20	14	0	10	2	1	682	140	48	53	133	25	5	3	0	0	0	0	1588	617	105	97	0	0	1	0	1	0	1	0	1	0	0	0
OTU_146	10	0	1	2	0	0	0	0	156	69	11	19	13	1	3	2	0	0	0	0	531	146	55	88	3	1	0	1	2	0	0	0	15	12	1	13
OTU_115	174	33	20	10	0	0	0	7	105	16	17	15	590	65	64	10	1	0	0	0	214	67	49	55	92	60	39	18	4	1	0	0	28	20	7	14
OTU_33	1155	397	141	71	326	744	127	210	239	51	12	5	2860	404	209	63	391	44	30	7	192	134	68	38	322	207	84	56	260	89	50	144	67	55	19	34
OTU_308	0	0	0	0	0	0	0	0	84	5	3	1	0	0	0	0	0	0	0	0	11	27	8	11	0	1	0	1	3	0	7	0	20	49	23	8
OTU_102	84	8	7	10	1	0	1	6	363	117	32	31	64	26	24	4	0	1	0	1	601	168	90	83	16	4	5	5	7	1	0	0	29	28	7	16
OTU_189	0	7	0	1	0	0	0	0	268	59	9	7	0	2	1	0	0	0	0	0	455	68	41	69	0	0	2	2	0	0	0	0	17	31	9	6
OTU_1300	682	59	38	27	967	22	51	181	29	6	1	2	763	100	122	13	93	41	17	14	62	17	18	13	62	30	13	13	26	1	14	3	31	15	7	10
OTU_30	570	106	18	32	186	105	30	24	682	200	33	25	1972	121	94	14	112	3	40	1	685	205	83	81	116	85	37	32	82	6	42	5	196	187	55	81
OTU_868	0	1	0	1	0	0	0	0	6	1	1	1	0	1	0	0	0	0	0	0	5	1	0	0	2	5	2	0	6	0	7	0	11	9	7	4
OTU_337	32	11	1	5	0	0	0	1	30	6	0	1	115	20	1	1	0	0	0	0	17	11	5	4	28	8	7	7	8	0	1	0	31	11	4	4
OTU_144	73	4	3	13	7	0	3	3	267	147	59	49	31	7	11	1	0	0	0	0	415	156	71	60	1	1	1	0	2	0	0	0	3	12	2	0
OTU_43	66	0	20	5	1	0	0	0	411	96	22	42	175	71	17	2	0	0	0	0	1746	581	245	295	0	0	0	0	0	0	0	1	2	4	1	0
OTU_118	118	24	2	5	182	5	2	15	77	18	2	3	282	8	8	1	79	2	1	8	14	5	2	7	11	13	7	10	9	2	1	6	25	20	2	10
OTU_4648	14	3	0	6	106	17	12	5	26	9	3	0	102	15	13	7	247	20	220	168	33	13	9	15	25	23	7	17	77	28	85	18	33	30	7	29
OTU_527	0	1	0	0	0	0	0	0	21	5	1	2	14	1	0	0	0	0	0	0	188	8	30	14	1	0	0	1	0	0	1	0	9	8	2	1
OTU_416	1	2	1	0	1	1	0	3	291	118	22	27	0	1	1	0	0	0	0	0	215	85	25	49	3	5	4	1	12	0	2	0	48	54	25	20
OTU_643	10	0	1	0	0	0	0	0	11	1	1	0	0	2	0	0	0	0	0	1	0	1	0	0	4	10	9	0	1	0	11	0	8	21	6	4
OTU_184	143	21	4	5	66	50	14	9	353	36	18	9	28	0	8	0	0	0	1	0	28	7	4	14	0	1	0	0	2	0	0	0	2	7	0	0
OTU_20	1370	1094	361	10	147	213	42	5	147	20	5	7	1251	101	199	50	15	9	9	1	121	22	14	15	140	118	61	10	13	15	4	0	15	54	4	6
OTU_303	8	2	3	0	153	30	13	71	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_311	50	6	2	5	51	1	0	5	30	9	1	2	103	5	2	0	4	0	0	0	6	3	0	1	18	22	13	1	12	2	6	1	7	4	2	1
OTU_226	19	2	2	1	0	0	0	0	206	56	21	17	57	13	10	2	1	0	0	0	362	124	50	57	1	4	3	3	1	0	0	0	17	23	13	12
OTU_242	20	7	3	2	0	0	0	0	270	55	8	18	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
OTU_11	2311	379	84	137	3346	120	49	1225	289	52	19	12	782	206	83	40	57	49	7	14	148	54	26	24	198	142	82	46	11	5	11	2	65	59	15	20
OTU_52	575	121	42	35	43	101	3	13	225	20	5	6	443	19	74	7	1	0	0	0	50	15	27	13	37	57	13	18	17	8	3	2	22	15	2	9
OTU_2957	0	0	1	3	0	0	5	0	221	76	25	41	48	14	16	2	0	0	0	0	1440	616	226	306	0	0	1	0	0	0	0	0	1	3	1	0
OTU_261	36	4	4	1	0	2	180	0	17	36	19	3	5	2	6	0	0	0	0	0	22	5	11	18	2	2	0	0	12	0	0	0	1	3	0	0
OTU_618	19	18	0	6	0	0	0	4	44	87	4	8	52	8	8	0	0	0	0	0	242	37	51	28	3	3	4	1	0	0	0	0	3	1	1	2
OTU_112	262	57	15	10	75	5	21	38	672	208	23	33	284	117	28	7	41	8	12	1	238	73	40	40	87	63	45	29	109	5	17	6	238	286	63	73
OTU_272	31	1	0	3	0	0	2	1	100	41	23	15	26	2	1	0	0	0	0	0	210	54	12	20	0	2	0	0	0	0	1	0	2	3	3	1
OTU_44	7	3	8	3	0	0	0	0	369	168	49	52	248	28	10	3	0	0	9	0	1713	525	349	310	22	23	15	29	14	1	15	14	185	196	92	172
OTU_15	40	8	11	7	1	0	0	3	948	363	86	149	130	26	44	2	1	0	0	0	2588	995	523	559	22	36	69	33	49	0	17	3	332	340	226	171
OTU_324	0	1	0	0	105	0	0	0	53	0	3	0	0	2	0	0	0	0	0	0	10	62	1	5	0	5	3	0	2	0	0	0	13	22	5	3
OTU_60	181	14	24	11	67	0	12	10	341	64	39	26	77	197	61	2	3	11	11	0	387	384	145	88	344	170	136	88	203	12	158	7	514	368	111	133
OTU_640	3	3	3	5	0	0	0	0	129	23	2	6	0	1	0	0	0	0	0	0	1	14	3	3	5	11	1	2	0	0	0	0	22	94	15	17
OTU_342	67	21	2	1	1	198	11	17	86	8	3	1	19	0	1	0	7	0	0	0	5	8	9	2	8	20	1	7	24	9	3	2	39	41	10	19
OTU_200	42	6	0	2	1	0	0	0	196	67	25	9	38	7	3	0	0	0	0	0	364	113	44	26	4	8	2	4	5	0	5	1	35	50	25	15
OTU_248	7	3	7	2	1	0	0	0	401	107	131	20	15	4	7	0	35	0	0	0	275	249	142	73	11	21	39	13	105	2	33	7	345	567	299	182
OTU_213	2	0	0	0	7	0	0	1	35	17	18	11	13	4	3	0	0	0	0	0	461	108	81	50	0	0	1	0	0	0	0	0	1	0	0	0
OTU_122	108	27	74	6	546	208	41	23	82	19	32	11	142	28	9	5	87	139	33	16	22	29	10	8	76	71	30	23	21	1152	88	1	32	32	8	13
OTU_18	577	410	72	194	0	0	11	238	255	61	8	15	3957	353	138	60	0	11	0	11	324	268	22	58	40	52	44	20	24	0	2	0	60	31	17	14
OTU_332	19	3	5	2	5	2	2	3	272	66	23	12	18	2	2	0	0	0	0	0	239	108	36	32	2	1	3	1	2	1	3	0	20	27	13	13
OTU_4120	21	9	7	2	6	3	1	4	96	27	4	10	269	37	21	2	3	1	12	0	102	51	31	20	65	28	28	18	22	1	10	5	51	46	10	14
OTU_96	204	14	5	10	508	45	27	60	446	85	61	24	231	53	36	2	216	30	108	19	1417	421	157	102	12	7	13	3	18	11	5	2	14	18	4	5
OTU_208	0	4	1	1	0	0	0	0	313	52	64	25	33	3	1	0	0	0	0	0	435	203	131	112	3	7	4	3	36	2	1	4	62	79	42	50
OTU_37	211	42	22	15	66	8	11	13	743	232	37	46	1881	77	56	12	104	5	6	1	931	303	140	123	95	62	26	24	49	3	14	3	135	112	18	35
OTU_111	207	56	21	15	56	3	4	41	28	7	2	2	575	77	79	5	2	2	2	0	41	18	12	5	63	50	30	15	24	3	12	1	25	15	6	10
OTU_113	27	8	15	7	0	0	2	8	566	87	11	21	29	4	4	2	0	0	0	0	27	62	19	18	47	63	22	20	44	0	5	14	376	451	131	112
OTU_408	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	10	11	12	2	0	1	0	48	53	11	19
OTU_169	35	18	8	3	0	4	60	4	14	17	10	2	218	13	14	2	2	0	0	1	50	2	8	13	26	14	15	8	22	2	4	0	12	18	0	3
OTU_367	0	0	0	0	0	0	0	0	0	0	0	0	19	0	3	0	0	0	0	0	128	17	46	29	4	2	0	3	0	0	0	0	21	7	7	7
OTU_260	31	6	1	0	0	0	0	0	114	33	16	10	14	3	3	0	0	0	0	0	156	57	19	25	0	0	0	0	0	0	0	0	1	0	0	0
OTU_245	56	15	7	1	6	0	0	1	134	25	15	8	73	15	14	1	3	1	0	0	125	25	17	21	6	6	9	3	2	0	1	0	13	15	13	9
OTU_152	59	5	5	5	0	13	2	3	488	39	3	6	9	0	1	0	0	0	0	0	20	0	3	4	1	0	0	1	1	0	0	0	0	1	0	0
OTU_544	14	2	0	0	0	0	0	0	103	24	14	8	16	4	2	0	0	1	0	1	274	129	26	40	1	0	3	5	3	1	0	0	13	9	11	5
OTU_430	26	6	3	0	0	0	0	0	167	18	9	5	11	2	1	0	0	0	0	0	27	13	3	5	19	3	9	2	0	0	2	0	23	15	8	3
OTU_95	466	72	22	19	376	6	7	14	210	42	6	6	756	73	68	11	0	1	10	2	89	45	12	8	38	46	27	17	8	2	3	1	32	40	19	22
OTU_39	14	2	0	0	0	0	6	0	593	317	39	57	47	9	8	1	0	0	0	1	829	450	215	247	11	19	21	47	124	4	69	38	596	638	389	337
OTU_297	1047	225	422	111	120	6	13	71	1759	304	119	110	2248	416	483	32	1	0	0	1	1078	360	240	173	43	63	72	33	28	0	6	2	107	78	57	64
OTU_48	1	0	1	0	1276	343	222	138	1	0	0	0	23	3	1	0	196	123	122	29	3	2	1	0	1	0	1	0	23	50	29	1	1	0	0	0
OTU_1238	5	0	0	0	0	40	2	0	23	0	0	0	34	3	1	0	0	0	0	0	10	4	1	2	0	2	0	1	10	2	4	3	6	4	2	1
OTU_195	0	0	1	0	0	0	0	0	29	6	0	5	63	6	4	0	0	0	0	0	195	56	40	52	0	1	3	2	0	1	0	0	15	22	14	11
OTU_237	0	0	1	1	0	0	0	0	131	25	8	6	6	8	8	0	0	0	0	0	212	85	50	47	5	7	11	10	49	0	17	9	90	139	100	43
OTU_365	172	7	16	9	91	4	8	15	188	83	8	24	79	259	35	7	7	35	4	2	114	83	30	30	74	98	97	9	30	35	113	1	39	21	6	9
OTU_45	191	6	14	1	0	0	1	0	440	75	21	10	41	24	72	1	0	0	0	0	209	466	349	230	79	43	30	19	0	2	3	0	100	143	25	12
OTU_2986	60	8	5	3	0	0	0	5	421	134	19	70	109	42	28	2	0	0	0	0	871	265	135	158	0	0	0	0	3	0	0	0	2	0	2	1
OTU_172	29	6	5	5	0	0	0	3	599	168	40	34	91	12	12	0	0	0	0	0	574	253	82	75	2	3	8	2	1	0	6	0	19	27	27	14
OTU_443	114	25	12	4	3	9	5	1	23	4	0	1	121	13	8	1	0	0	3	0	4	0	3	1	15	29	4	0	12	11	5	1	23	31	15	7
OTU_148	6	0	2	1	0	0	6	1	1	1	0	0	12	563	19	3	10	184	70	0	11	22	9	2	13	25	23	0	7	1	14	0	7	14	3	8
OTU_205	0	0	0	0	0	0	0	0	73	22	13	11	39	1	3	1	0	0	0	0	306	113	65	54	1	0	0	1	0	0	0	0	8	2	5	2
OTU_57	18	4	4	5	0	0	0	0	786	161	61	58	15	8	7	1	0	0	0	0	452	318	115	99	18	18	21	27	57	0	6	7	276	218	157	160
OTU_2737	846	9	40	12	0	1	2	0	31	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_16	122	23	7	18	0	0	0	0	1382	182	66	94	833	151	78	5	0	0	1	0	4339	1614	491	467	0	0	0	0	0	1	0	0	1	0	1	2
OTU_379	28	3	4	0	4	1	5	2	43	13	3	1	6	0	0	0	0	0	2	0	11	3	3	4	16	8	2	12	28	1	2	0	26	13	2	8
OTU_124	6	2	0	0	0	0	0	0	46	4	7	4	31	2	3	0	0	0	0	0	307	216	75	43	0	0	0	0	0	0	0	0	0	0	0	0
OTU_252	25	2	1	2	8	0	1	2	128	50	26	7	57	4	3	0	1	0	0	1	202	69	26	18	7	2	2	5	7	1	5	1	33	29	8	12
OTU_114	7	1	6	2	0	0	0	0	195	43	61	14	5	3	11	0	0	0	0	0	549	260	172	145	0	2	4	2	1	0	0	0	30	83	42	19
OTU_53	97	22	14	13	0	0	1	4	935	195	70	90	301	65	42	3	0	0	0	0	1376	645	196	201	3	0	9	0	0	0	0	0	38	41	19	18
OTU_100	1157	9	38	2	7	8	2	0	264	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_409	7	3	2	3	0	0	0	0	191	88	17	36	18	16	1	1	0	0	0	0	320	165	86	103	0	0	0	0	0	0	0	0	5	3	3	0
OTU_149	49	4	5	1	0	0	1	4	202	75	70	26	49	13	12	0	2	0	0	0	461	140	90	76	9	10	10	6	13	1	2	1	88	72	36	36
OTU_1364	2	1	3	0	0	0	0	0	14	5	6	3	63	15	3	0	0	0	0	0	370	130	63	75	0	0	0	0	0	0	0	0	2	1	0	0
OTU_972	3	1	0	0	0	0	2	1	12	3	1	0	3	0	1	0	0	0	1	0	22	10	7	2	2	2	2	2	6	1	7	1	8	10	4	1
OTU_204	7	1	2	0	0	0	0	1	74	23	25	5	5	6	0	0	0	0	0	0	211	81	28	22	0	0	0	0	0	0	0	0	1	2	0	0
OTU_405	46	10	3	0	2	0	0	1	267	67	84	14	33	7	4	0	0	1	0	0	450	230	61	55	1	1	3	1	0	0	0	0	15	8	7	2
OTU_435	408	166	61	13	46	20	17	11	267	52	15	10	723	113	170	22	4	1	5	0	72	66	31	30	68	22	21	19	5	1	1	1	34	26	9	11
OTU_958	5	1	0	2	0	0	0	0	225	95	18	39	28	1	2	0	0	0	0	0	482	195	125	81	0	0	0	0	0	0	0	0	1	3	5	1
OTU_73	3	0	0	0	0	0	0	0	294	75	18	40	64	5	0	0	0	0	0	0	492	248	58	93	0	0	0	0	0	0	0	0	0	0	0	0
OTU_162	145	340	32	7	61	168	6	7	178	11	3	3	243	20	21	6	43	4	4	0	100	60	53	15	47	129	13	4	132	127	15	2	25	67	1	3
OTU_280	142	17	48	5	150	4	15	3	629	93	26	19	44	26	13	0	9	1	0	8	53	31	9	15	43	54	20	4	9	13	10	0	9	28	3	5
OTU_41	128	51	100	21	0	0	10	1	451	70	172	38	471	89	105	5	0	0	1	0	1188	411	237	185	42	51	44	28	10	0	5	3	161	100	44	60
OTU_70	30	10	6	2	0	0	0	0	996	155	56	52	58	4	13	0	0	0	0	0	467	183	103	115	47	19	17	13	4	0	0	0	94	119	25	35
OTU_507	187	45	38	10	27	2	6	2	129	28	12	4	181	41	45	4	0	0	1	0	60	28	15	19	25	13	6	6	3	0	1	0	7	8	0	7
