SampleID	CountTable	Metadata	GroupCode	Group	Type	Saline	LibrarySize
S197	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	14934
S198	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	17006
S201	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	31839
S202	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	21086
S203	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	16941
S204	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	11920
S205	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	12491
S206	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	10672
S207	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	16427
S208	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	11223
S209	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	12991
S210	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	25846
S213	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	15440
S214	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	16604
S215	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	18461
S216	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	13572
S217	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	28229
S218	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	24813
S219	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	14303
S220	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	10597
S221	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	15539
S222	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	17704
S223	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	19783
S224	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	17417
S225	TRUE	TRUE	TW	Tibetan wetland	QTP	Saline soil	33970
