SampleID	OriginalLibrarySize	RetainedReads	DiscardedReads	Seed
TS142	1167	1000	167	20260729
TS143.2	1661	1000	661	20260729
TS143	1840	1000	840	20260729
TS144.2	1631	1000	631	20260729
TS144	1028	1000	28	20260729
TS145.2	1995	1000	995	20260729
TS145	1350	1000	350	20260729
TS146.2	1830	1000	830	20260729
TS146	1700	1000	700	20260729
TS147.2	2424	1000	1424	20260729
TS147	1696	1000	696	20260729
TS148	3348	1000	2348	20260729
TS149	5038	1000	4038	20260729
TS14	8132	1000	7132	20260729
TS15.2	1879	1000	879	20260729
TS150	4198	1000	3198	20260729
TS151.2	1739	1000	739	20260729
TS151	1862	1000	862	20260729
TS152.2	1291	1000	291	20260729
TS152	1613	1000	613	20260729
TS153	2042	1000	1042	20260729
TS155.2	1444	1000	444	20260729
TS155	1340	1000	340	20260729
TS156.2	1207	1000	207	20260729
TS156	1029	1000	29	20260729
TS15	7150	1000	6150	20260729
TS161	1038	1000	38	20260729
TS162.2	2128	1000	1128	20260729
TS162	2068	1000	1068	20260729
TS163.2	1623	1000	623	20260729
TS163	1030	1000	30	20260729
TS164.2	1959	1000	959	20260729
TS164	1596	1000	596	20260729
TS165.2	2029	1000	1029	20260729
TS165	1890	1000	890	20260729
TS166.2	1494	1000	494	20260729
TS166	1605	1000	605	20260729
TS167.2	2028	1000	1028	20260729
TS167	1287	1000	287	20260729
TS168.2	2129	1000	1129	20260729
TS168	1321	1000	321	20260729
TS169.2	1553	1000	553	20260729
TS169	1839	1000	839	20260729
TS16	3054	1000	2054	20260729
TS170.2	1317	1000	317	20260729
TS178.2	1170	1000	170	20260729
TS178	1677	1000	677	20260729
TS179.2	1153	1000	153	20260729
TS179	1435	1000	435	20260729
TS180	1484	1000	484	20260729
TS181.2	1348	1000	348	20260729
TS181	1651	1000	651	20260729
TS182.2	2671	1000	1671	20260729
TS182	3645	1000	2645	20260729
TS183.2	1582	1000	582	20260729
TS183	1761	1000	761	20260729
TS184	1335	1000	335	20260729
TS185.2	1706	1000	706	20260729
TS185	1753	1000	753	20260729
TS186	1216	1000	216	20260729
TS19.2	2197	1000	1197	20260729
TS190	1438	1000	438	20260729
TS191	1376	1000	376	20260729
TS192	2350	1000	1350	20260729
TS193.2	1171	1000	171	20260729
TS194.2	1055	1000	55	20260729
TS194	1225	1000	225	20260729
TS195.2	1808	1000	808	20260729
TS195	1527	1000	527	20260729
TS19	4529	1000	3529	20260729
TS1	3320	1000	2320	20260729
TS2.2	1127	1000	127	20260729
TS20.2	2521	1000	1521	20260729
TS20	8491	1000	7491	20260729
TS21.2	2970	1000	1970	20260729
TS21	7216	1000	6216	20260729
TS22	2815	1000	1815	20260729
TS23	1090	1000	90	20260729
TS25.2	2564	1000	1564	20260729
TS25	5270	1000	4270	20260729
TS26.2	2799	1000	1799	20260729
TS26	9300	1000	8300	20260729
TS27.2	1132	1000	132	20260729
TS27	6240	1000	5240	20260729
TS28	2957	1000	1957	20260729
TS29	1085	1000	85	20260729
TS2	7677	1000	6677	20260729
TS3.2	1098	1000	98	20260729
TS30.2	1589	1000	589	20260729
TS30	3862	1000	2862	20260729
TS31.2	3510	1000	2510	20260729
TS31	10585	1000	9585	20260729
TS32.2	2899	1000	1899	20260729
TS32	4792	1000	3792	20260729
TS33.2	1066	1000	66	20260729
TS33	8179	1000	7179	20260729
TS35	2084	1000	1084	20260729
TS37.2	2724	1000	1724	20260729
TS37	1951	1000	951	20260729
TS38.2	1415	1000	415	20260729
TS38	1553	1000	553	20260729
TS39.2	1190	1000	190	20260729
TS39	3314	1000	2314	20260729
TS3	3515	1000	2515	20260729
TS4.2	1664	1000	664	20260729
TS43	1591	1000	591	20260729
TS49.2	2587	1000	1587	20260729
TS49	5346	1000	4346	20260729
TS4	4370	1000	3370	20260729
TS5.2	1964	1000	964	20260729
TS50.2	2557	1000	1557	20260729
TS50	5585	1000	4585	20260729
TS51.2	1835	1000	835	20260729
TS51	6877	1000	5877	20260729
TS55.2	3103	1000	2103	20260729
TS55	1869	1000	869	20260729
TS56.2	2453	1000	1453	20260729
TS56	2656	1000	1656	20260729
TS57.2	1173	1000	173	20260729
TS57	4902	1000	3902	20260729
TS5	7608	1000	6608	20260729
TS6.2	2232	1000	1232	20260729
TS61.2	2242	1000	1242	20260729
TS62.2	1799	1000	799	20260729
TS62	1265	1000	265	20260729
TS63.2	1080	1000	80	20260729
TS63	1178	1000	178	20260729
TS64.2	2179	1000	1179	20260729
TS64	2296	1000	1296	20260729
TS65.2	2067	1000	1067	20260729
TS65	1302	1000	302	20260729
TS66.2	5748	1000	4748	20260729
TS66	2111	1000	1111	20260729
TS67.2	1343	1000	343	20260729
TS68.2	1338	1000	338	20260729
TS68	1968	1000	968	20260729
TS69.2	1568	1000	568	20260729
TS69	2819	1000	1819	20260729
TS6	4222	1000	3222	20260729
TS7.2	1785	1000	785	20260729
TS70.2	1362	1000	362	20260729
TS70	1045	1000	45	20260729
TS71.2	1455	1000	455	20260729
TS71	1651	1000	651	20260729
TS73	2156	1000	1156	20260729
TS74	1354	1000	354	20260729
TS75.2	1249	1000	249	20260729
TS76.2	2086	1000	1086	20260729
TS76	1996	1000	996	20260729
TS77	1209	1000	209	20260729
TS78.2	1562	1000	562	20260729
TS7	5811	1000	4811	20260729
TS83.2	1977	1000	977	20260729
TS83	1020	1000	20	20260729
TS85.2	1477	1000	477	20260729
TS85	1503	1000	503	20260729
TS86.2	1040	1000	40	20260729
TS86	2671	1000	1671	20260729
TS87	1557	1000	557	20260729
TS88.2	1378	1000	378	20260729
TS88	1740	1000	740	20260729
TS89.2	2371	1000	1371	20260729
TS89	1332	1000	332	20260729
TS8	8955	1000	7955	20260729
TS9.2	1490	1000	490	20260729
TS90.2	1768	1000	768	20260729
TS90	1687	1000	687	20260729
TS91.2	1514	1000	514	20260729
TS92.2	1607	1000	607	20260729
TS92	1332	1000	332	20260729
TS94.2	1701	1000	701	20260729
TS94	1350	1000	350	20260729
TS95.2	1761	1000	761	20260729
TS95	2015	1000	1015	20260729
TS96.2	2060	1000	1060	20260729
TS96	1020	1000	20	20260729
TS97.2	1449	1000	449	20260729
TS97	1548	1000	548	20260729
TS98.2	1477	1000	477	20260729
TS98	2044	1000	1044	20260729
TS99.2	1963	1000	963	20260729
TS9	5977	1000	4977	20260729
