SampleID	Group	Model	AIC	DeltaAIC
S221	TW	Null	19821.4977323748	10788.9970074153
S222	TW	Null	33418.0856774971	25067.043884001
S223	TW	Null	52156.8839312165	43468.9899218534
S224	TW	Null	19801.4564867245	9176.55825720386
S225	TW	Null	44059.269018729	31431.3928992224
S1	IW	Preemption	31571.0634527369	19455.9902273828
S2	IW	Preemption	31092.6561409107	19045.3219328018
S3	IW	Preemption	16439.0794898928	9051.14077643362
S4	IW	Preemption	17488.4828277966	10260.0895089827
S5	IW	Preemption	26880.9164280253	18965.9317398075
S6	IW	Preemption	32622.2728008424	23863.8451888409
S7	IW	Preemption	22336.3688961361	14126.0599266349
S9	IW	Preemption	30430.3240594592	18098.920982885
S10	IW	Preemption	52583.5192154062	42110.3517024473
S11	IW	Preemption	30852.4542617638	23027.1863811673
S12	IW	Preemption	20917.9890071268	14892.2630155054
S13	IW	Preemption	23151.8306230957	16164.7900081392
S15	IW	Preemption	20786.1131026274	10960.8826523036
S16	IW	Preemption	17705.9871969002	9718.07469230792
S17	IW	Preemption	34595.3299704317	22879.4797958243
S18	IW	Preemption	34033.6764481482	20081.9916948851
S19	IW	Preemption	19846.665283079	10727.3862984064
S20	IW	Preemption	23275.7379697889	11926.4106021101
S22	IW	Preemption	27853.1183580736	17188.4520605549
S23	IW	Preemption	21930.956708411	12089.170371638
S24	IW	Preemption	20597.1014687714	13265.3862398473
S25	IW	Preemption	56312.663737857	43210.3695474023
S26	IW	Preemption	38464.8861143443	25400.1431654517
S27	IW	Preemption	23843.9772727815	14377.310744301
S28	IW	Preemption	43070.2336936813	30984.1146058681
S30	IW	Preemption	17476.6037535358	9404.46680001175
S34	IW	Preemption	20379.2254845313	10315.8109378108
S35	IW	Preemption	12868.8321372525	5271.19283685549
S36	IW	Preemption	20910.8286690041	14629.1300484324
S37	IW	Preemption	18439.9788458579	7759.47485410078
S61	CW	Preemption	23405.499040058	15743.1578563964
S62	CW	Preemption	33391.6535650127	25075.0369404306
S63	CW	Preemption	23494.1765086566	14747.2247500708
S65	CW	Preemption	63258.56524174	49723.3478707191
S85	CW	Preemption	34012.3075919568	25829.3333576537
S86	CW	Preemption	21834.7168348603	13128.121619042
S87	CW	Preemption	39638.4854188215	32173.6030010511
S88	CW	Preemption	22072.0958208049	13527.3435900207
S89	CW	Preemption	63119.271365511	55428.0544691655
S112	CW	Preemption	34290.0010883575	24951.6808347745
S113	CW	Preemption	101854.574862089	91717.7412460793
S114	CW	Preemption	76024.8619753672	66641.6910097483
S161	CW	Preemption	17367.5810165578	9471.52555930837
S162	CW	Preemption	19729.1867567545	10330.5811673612
S164	CW	Preemption	10607.786085899	4519.99255152311
S165	CW	Preemption	15196.1218823287	7270.299235746
S166	CW	Preemption	16484.7214133223	8419.539097418
S167	CW	Preemption	14665.4288260787	6057.68664592513
S168	CW	Preemption	13773.6291462782	6482.59467691852
S169	CW	Preemption	33250.0850841835	22107.6834570949
S170	CW	Preemption	13829.6464480039	7051.77166986563
S171	CW	Preemption	18671.7115830944	11294.9860108096
S172	CW	Preemption	15667.1201242626	7909.04497691819
S173	CW	Preemption	12474.4588533365	5613.92715978386
S174	CW	Preemption	14973.5286897859	8340.60329710703
S175	CW	Preemption	11872.8427705457	5233.97326021108
S176	CW	Preemption	16593.2636055421	9409.94934072946
S177	CW	Preemption	11958.0830333023	6039.74332601987
S179	CW	Preemption	13555.3092332527	5928.03436577324
S182	CW	Preemption	14978.481445633	6630.37537063169
S187	TW	Preemption	38014.8520431237	28036.2570656706
S188	TW	Preemption	20642.2604441135	13639.3080675943
S191	TW	Preemption	16250.4174670991	10281.4695986809
S194	TW	Preemption	24179.3692322868	18185.7016907301
S196	TW	Preemption	25007.4940659928	18426.2127372987
S197	TW	Preemption	16362.6879133308	6441.94608304275
S198	TW	Preemption	18010.7447781372	7490.69915318624
S201	TW	Preemption	33091.7745419232	19383.9537265316
S202	TW	Preemption	40511.6270939658	31847.4429561159
S203	TW	Preemption	23769.3246097046	17087.4781791941
S204	TW	Preemption	15040.6591785521	7588.44795800894
S205	TW	Preemption	18123.993004137	11369.8087371005
S206	TW	Preemption	14618.5754541661	8217.33734990119
S207	TW	Preemption	23473.8790834908	15394.3456079097
S208	TW	Preemption	20967.1459074921	14020.6699915899
S209	TW	Preemption	16407.4638510913	9105.34351997619
S210	TW	Preemption	28117.6510188753	16106.0375408342
S213	TW	Preemption	16150.6418529019	6253.20190726424
S214	TW	Preemption	19757.1950597934	10856.7147229717
S215	TW	Preemption	21413.4869982268	12507.0384506042
S216	TW	Preemption	17595.8622251289	11242.1621305959
S217	TW	Preemption	35007.9659115726	24089.0598703101
S218	TW	Preemption	38450.7576007977	25710.0492473016
S219	TW	Preemption	21918.1775945106	13141.4953771894
S220	TW	Preemption	14363.5659556658	6604.3172034294
S221	TW	Preemption	20815.7247672151	11783.2240422555
S222	TW	Preemption	34381.4520873468	26030.4102938507
S223	TW	Preemption	52832.9194136729	44145.0254043098
S224	TW	Preemption	20921.996820548	10297.0985910273
S225	TW	Preemption	38459.405560772	25831.5294412654
S1	IW	Lognormal	13779.0226681637	1663.94944280968
S2	IW	Lognormal	13339.2816994392	1291.94749133043
S3	IW	Lognormal	8820.08696955493	1432.14825609576
S4	IW	Lognormal	8723.74101403443	1495.34769522061
S5	IW	Lognormal	10919.316563392	3004.33187517425
S6	IW	Lognormal	11680.2894408817	2921.86182888015
S7	IW	Lognormal	9763.57706814086	1553.2680986396
S9	IW	Lognormal	13331.3429136856	999.939837111386
S10	IW	Lognormal	12916.3788033694	2443.2112904105
S11	IW	Lognormal	10297.2388166664	2471.97093606988
S12	IW	Lognormal	8043.37428783095	2017.64829620955
S13	IW	Lognormal	9196.75868829143	2209.71807333498
S15	IW	Lognormal	10773.0348636515	947.804413327713
S16	IW	Lognormal	9410.74212443157	1422.82961983931
S17	IW	Lognormal	12992.092058003	1276.24188339562
S18	IW	Lognormal	14301.2638354787	349.579082215691
S19	IW	Lognormal	10402.5099448335	1283.23096016094
S20	IW	Lognormal	12378.9843441779	1029.65697649915
S22	IW	Lognormal	11792.2185407583	1127.55224323965
S23	IW	Lognormal	10818.877653246	977.091316473015
S24	IW	Lognormal	9326.05044397294	1994.33521504884
S25	IW	Lognormal	14570.8609077572	1468.56671730247
S26	IW	Lognormal	14815.4498260341	1750.70687714147
S27	IW	Lognormal	11508.2401368631	2041.57360838255
S28	IW	Lognormal	14464.662701433	2378.54361361972
S30	IW	Lognormal	9656.72536675049	1584.58841322642
S34	IW	Lognormal	10810.5690757773	747.154529056812
S35	IW	Lognormal	8115.77155649696	518.132256099969
S36	IW	Lognormal	8562.70318655002	2281.0045659783
S37	IW	Lognormal	11591.6719789588	911.167987201656
S61	CW	Lognormal	9899.76477288813	2237.42358922654
S62	CW	Lognormal	12630.6317107827	4314.01508620065
S63	CW	Lognormal	10619.529395059	1872.57763647318
S65	CW	Lognormal	17743.9800782101	4208.76270718925
S85	CW	Lognormal	12012.1914990581	3829.21726475493
S86	CW	Lognormal	11021.2440191415	2314.64880332312
S87	CW	Lognormal	13562.9050239887	6098.02260621824
S88	CW	Lognormal	10095.5248159972	1550.772585213
S89	CW	Lognormal	15020.4911522935	7329.274255948
S112	CW	Lognormal	12881.4178988538	3543.09764527079
S113	CW	Lognormal	21005.3121115186	10868.478495509
S114	CW	Lognormal	17114.1771662762	7731.00620065734
S161	CW	Lognormal	8767.35041600415	871.294958754693
S162	CW	Lognormal	10305.4515799485	906.845990555175
S164	CW	Lognormal	6681.77607887562	593.982544499749
S165	CW	Lognormal	8679.36603827318	753.543391690454
S166	CW	Lognormal	8737.31308122638	672.130765322102
S167	CW	Lognormal	9180.46496720437	572.722787050814
S168	CW	Lognormal	8486.48950676284	1195.45503740318
S169	CW	Lognormal	13663.0541868193	2520.65255973058
S170	CW	Lognormal	7779.39182337066	1001.51704523241
S171	CW	Lognormal	8650.65170025864	1273.92612797383
S172	CW	Lognormal	8505.92454195976	747.849394615328
S173	CW	Lognormal	7545.80765996483	685.275966412209
S174	CW	Lognormal	7454.52879402705	821.603401348144
S175	CW	Lognormal	7201.863805327	562.994294992389
S176	CW	Lognormal	8362.95574685803	1179.64148204535
S177	CW	Lognormal	6695.0672711526	776.727563870152
S179	CW	Lognormal	8800.05971813077	1172.78485065127
S182	CW	Lognormal	9106.11449035126	758.008415349943
S187	TW	Lognormal	11943.8938654756	1965.29888802242
S188	TW	Lognormal	8305.74553583559	1302.79315931644
S191	TW	Lognormal	7098.34881000709	1129.40094158896
S194	TW	Lognormal	7386.45284043639	1392.78529887962
S196	TW	Lognormal	8885.00416605027	2303.72283735621
S197	TW	Lognormal	10942.8772520998	1022.13542181175
S198	TW	Lognormal	11498.8746009452	978.828975994262
S201	TW	Lognormal	15210.2772554909	1502.4564400993
S202	TW	Lognormal	11837.6222675988	3173.43812974889
S203	TW	Lognormal	8935.70700846338	2253.8605779528
S204	TW	Lognormal	8313.08858657786	860.877366034691
S205	TW	Lognormal	8489.33122066063	1735.14695362413
S206	TW	Lognormal	7509.60173760268	1108.3636333378
S207	TW	Lognormal	9530.26626327174	1450.73278769059
S208	TW	Lognormal	9359.9304842048	2413.45456830264
S209	TW	Lognormal	8427.87835000356	1125.75801888844
S210	TW	Lognormal	13212.26656324	1200.65308519894
S213	TW	Lognormal	10597.1364840303	699.69653839262
S214	TW	Lognormal	10356.2200229861	1455.73968616445
S215	TW	Lognormal	9893.99566892755	987.54712130499
S216	TW	Lognormal	7563.10495495376	1209.40486042072
S217	TW	Lognormal	12365.6994790638	1446.79343780131
S218	TW	Lognormal	15539.6072788372	2798.89892534117
S219	TW	Lognormal	10975.4142725893	2198.73205526805
S220	TW	Lognormal	8793.71642977667	1034.46767754025
S221	TW	Lognormal	10552.8682294045	1520.36750444502
S222	TW	Lognormal	12171.5644788053	3820.52268530918
S223	TW	Lognormal	15336.4322135257	6648.53820416267
S224	TW	Lognormal	11652.8065381237	1027.9083086031
S225	TW	Lognormal	13754.3283529823	1126.45223347562
S1	IW	Zipf	13521.2195464034	1406.1463210494
S2	IW	Zipf	13880.1801999524	1832.84599184356
S3	IW	Zipf	8288.33929078014	900.400577320967
S4	IW	Zipf	8130.93855825928	902.545239445462
S5	IW	Zipf	10335.4285951046	2420.44390688686
S6	IW	Zipf	11566.0019778002	2807.57436579868
S7	IW	Zipf	9585.11022243967	1374.80125293842
S9	IW	Zipf	13290.2848427999	958.881766225719
S10	IW	Zipf	12013.9188918107	1540.75137885178
S11	IW	Zipf	7825.26788059657	0
S12	IW	Zipf	6025.7259916214	0
S13	IW	Zipf	7297.93511253272	310.894497576262
S15	IW	Zipf	12508.7689441097	2683.53849378587
S16	IW	Zipf	9127.27250468159	1139.36000008933
S17	IW	Zipf	14173.0437660907	2457.19359148334
S18	IW	Zipf	14308.7316324087	357.046879145639
S19	IW	Zipf	9493.58082055892	374.30183588635
S20	IW	Zipf	11452.9314296337	103.604061954946
S22	IW	Zipf	11882.2006658082	1217.5343682895
S23	IW	Zipf	10074.3872359876	232.600899214642
S24	IW	Zipf	7331.7152289241	0
S25	IW	Zipf	14338.5097067099	1236.21551625516
S26	IW	Zipf	17376.1018101549	4311.35886126231
S27	IW	Zipf	9907.48940602994	440.822877549359
S28	IW	Zipf	12282.5410641058	196.421976292524
S30	IW	Zipf	8383.19040513362	311.053451609545
S34	IW	Zipf	11292.1761306498	1228.76158392929
S35	IW	Zipf	7935.09178086699	337.452480470001
S36	IW	Zipf	7640.5784365283	1358.87981595658
S37	IW	Zipf	11757.8948199522	1077.39082819507
S61	CW	Zipf	8233.54989006979	571.208706408197
S62	CW	Zipf	8316.61662458208	0
S63	CW	Zipf	8885.07644225566	138.124683669861
S65	CW	Zipf	13723.9035469966	188.686175975752
S85	CW	Zipf	8182.97423430315	0
S86	CW	Zipf	9916.71518319299	1210.11996737464
S87	CW	Zipf	7464.88241777042	0
S88	CW	Zipf	8999.95333339021	455.201102605975
S89	CW	Zipf	7691.21689634546	0
S112	CW	Zipf	9744.32754384914	406.00729026616
S113	CW	Zipf	12198.8186685688	2061.98505255912
S114	CW	Zipf	11391.0508102014	2007.87984458247
S161	CW	Zipf	8699.59135193212	803.535894682661
S162	CW	Zipf	12372.6088306802	2974.00324128689
S164	CW	Zipf	7154.52586982176	1066.73233544589
S165	CW	Zipf	8707.42227069376	781.599624111034
S166	CW	Zipf	8937.85449247941	872.672176575134
S167	CW	Zipf	8882.93202084128	275.18984068773
S168	CW	Zipf	7516.92018518552	225.885715825856
S169	CW	Zipf	11142.4016270887	0
S170	CW	Zipf	8441.64970667756	1663.77492853931
S171	CW	Zipf	8542.88568104866	1166.16010876384
S172	CW	Zipf	9314.72637836095	1556.65123101652
S173	CW	Zipf	7637.26914351372	776.737449961101
S174	CW	Zipf	7186.66783419311	553.7424415142
S175	CW	Zipf	7907.41789724284	1268.54838690823
S176	CW	Zipf	8758.28356159501	1574.96929678233
S177	CW	Zipf	7052.08984781709	1133.75014053464
S179	CW	Zipf	7871.32400407499	244.049136595494
S182	CW	Zipf	8734.23889627224	386.132821270921
S187	TW	Zipf	11230.6093006783	1252.01432322512
S188	TW	Zipf	8015.16012384812	1012.20774732898
S191	TW	Zipf	6314.56218231067	345.614313892543
S194	TW	Zipf	6377.42002853238	383.752486975615
S196	TW	Zipf	8349.28143300628	1768.00010431222
S197	TW	Zipf	10986.4589248411	1065.71709455303
S198	TW	Zipf	11835.8792970423	1315.83367209135
S201	TW	Zipf	17387.6591603775	3679.83834498583
S202	TW	Zipf	8664.1841378499	0
S203	TW	Zipf	8940.13058250476	2258.28415199418
S204	TW	Zipf	7562.55261359404	110.34139305087
S205	TW	Zipf	7322.5936881428	568.409421106296
S206	TW	Zipf	6522.52809142137	121.289987156489
S207	TW	Zipf	8269.32251384915	189.789038268005
S208	TW	Zipf	6946.47591590216	0
S209	TW	Zipf	7851.08451645203	548.964185336908
S210	TW	Zipf	14015.318405931	2003.70492788996
S213	TW	Zipf	10888.0215097424	990.581564104721
S214	TW	Zipf	10299.181466002	1398.70112918034
S215	TW	Zipf	10081.7516601732	1175.30311255069
S216	TW	Zipf	7176.74857853144	823.048483998403
S217	TW	Zipf	13045.7455470936	2126.83950583103
S218	TW	Zipf	12740.708353496	0
S219	TW	Zipf	8776.68221732125	0
S220	TW	Zipf	7759.24875223642	0
S221	TW	Zipf	9346.20576989341	313.70504493388
S222	TW	Zipf	8351.0417934961	0
S223	TW	Zipf	8687.89400936307	0
S224	TW	Zipf	10923.8569578289	298.958728308289
S225	TW	Zipf	15772.9474406695	3145.07132116283
S1	IW	Mandelbrot	12115.073225354	0
S2	IW	Mandelbrot	12047.3342081088	0
S3	IW	Mandelbrot	7387.93871345917	0
S4	IW	Mandelbrot	7228.39331881381	0
S5	IW	Mandelbrot	7914.98468821777	0
S6	IW	Mandelbrot	8758.42761200152	0
S7	IW	Mandelbrot	8210.30896950126	0
S9	IW	Mandelbrot	12331.4030765742	0
S10	IW	Mandelbrot	10473.1675129589	0
S11	IW	Mandelbrot	7827.26788059657	2
S12	IW	Mandelbrot	6027.7259916214	2
S13	IW	Mandelbrot	6987.04061495646	0
S15	IW	Mandelbrot	9825.23045032381	0
S16	IW	Mandelbrot	7987.91250459226	0
S17	IW	Mandelbrot	11715.8501746074	0
S18	IW	Mandelbrot	13951.684753263	0
S19	IW	Mandelbrot	9119.27898467257	0
S20	IW	Mandelbrot	11349.3273676787	0
S22	IW	Mandelbrot	10664.6662975187	0
S23	IW	Mandelbrot	9841.78633677299	0
S24	IW	Mandelbrot	7333.7152289241	2
S25	IW	Mandelbrot	13102.2941904547	0
S26	IW	Mandelbrot	13064.7429488926	0
S27	IW	Mandelbrot	9466.66652848058	0
S28	IW	Mandelbrot	12086.1190878132	0
S30	IW	Mandelbrot	8072.13695352407	0
S34	IW	Mandelbrot	10063.4145467205	0
S35	IW	Mandelbrot	7597.63930039699	0
S36	IW	Mandelbrot	6281.69862057171	0
S37	IW	Mandelbrot	10680.5039917571	0
S61	CW	Mandelbrot	7662.34118366159	0
S62	CW	Mandelbrot	8318.61662458208	2
S63	CW	Mandelbrot	8746.9517585858	0
S65	CW	Mandelbrot	13535.2173710209	0
S85	CW	Mandelbrot	8184.97423430315	2
S86	CW	Mandelbrot	8706.59521581835	0
S87	CW	Mandelbrot	7466.88241777042	2
S88	CW	Mandelbrot	8544.75223078424	0
S89	CW	Mandelbrot	7693.21689634546	2
S112	CW	Mandelbrot	9338.32025358298	0
S113	CW	Mandelbrot	10136.8336160097	0
S114	CW	Mandelbrot	9383.17096561891	0
S161	CW	Mandelbrot	7896.05545724946	0
S162	CW	Mandelbrot	9398.60558939335	0
S164	CW	Mandelbrot	6087.79353437587	0
S165	CW	Mandelbrot	7925.82264658272	0
S166	CW	Mandelbrot	8065.18231590428	0
S167	CW	Mandelbrot	8607.74218015355	0
S168	CW	Mandelbrot	7291.03446935966	0
S169	CW	Mandelbrot	11144.4016270887	2
S170	CW	Mandelbrot	6777.87477813826	0
S171	CW	Mandelbrot	7376.72557228482	0
S172	CW	Mandelbrot	7758.07514734444	0
S173	CW	Mandelbrot	6860.53169355262	0
S174	CW	Mandelbrot	6632.92539267891	0
S175	CW	Mandelbrot	6638.86951033461	0
S176	CW	Mandelbrot	7183.31426481269	0
S177	CW	Mandelbrot	5918.33970728245	0
S179	CW	Mandelbrot	7627.2748674795	0
S182	CW	Mandelbrot	8348.10607500132	0
S187	TW	Mandelbrot	9978.59497745313	0
S188	TW	Mandelbrot	7002.95237651915	0
S191	TW	Mandelbrot	5968.94786841813	0
S194	TW	Mandelbrot	5993.66754155677	0
S196	TW	Mandelbrot	6581.28132869406	0
S197	TW	Mandelbrot	9920.74183028807	0
S198	TW	Mandelbrot	10520.0456249509	0
S201	TW	Mandelbrot	13707.8208153916	0
S202	TW	Mandelbrot	8666.1841378499	2
S203	TW	Mandelbrot	6681.84643051058	0
S204	TW	Mandelbrot	7452.21122054317	0
S205	TW	Mandelbrot	6754.18426703651	0
S206	TW	Mandelbrot	6401.23810426489	0
S207	TW	Mandelbrot	8079.53347558114	0
S208	TW	Mandelbrot	6948.47591590216	2
S209	TW	Mandelbrot	7302.12033111512	0
S210	TW	Mandelbrot	12011.6134780411	0
S213	TW	Mandelbrot	9897.43994563769	0
S214	TW	Mandelbrot	8900.48033682169	0
S215	TW	Mandelbrot	8906.44854762256	0
S216	TW	Mandelbrot	6353.70009453304	0
S217	TW	Mandelbrot	10918.9060412625	0
S218	TW	Mandelbrot	12742.708353496	2
S219	TW	Mandelbrot	8778.68221732125	2
S220	TW	Mandelbrot	7761.24875223643	2.00000000000455
S221	TW	Mandelbrot	9032.50072495953	0
S222	TW	Mandelbrot	8353.0417934961	2
S223	TW	Mandelbrot	8689.89400936307	2
S224	TW	Mandelbrot	10624.8982295206	0
S225	TW	Mandelbrot	12627.8761195066	0
