Feature ID	Frequency	No. of Samples Observed In
f84a5455a4f6fb3979f21796cdff4da4	5.0	1
9868b5882915050d5e52b77c875058ad	5.0	1
4e7fc7dc1f2f4ac6d3a0a3e908b145f0	5.0	1
21d6db2bb764f3dcb1826f42e4ceceb7	5.0	1
f06d4222c7975a6a3db59ee50dd33129	5.0	1
ec05aa720f4baa5df554fe829f4ced3f	5.0	2
3a40f1244d2f3b91b2b6b5032e5f9745	5.0	1
3b67e7154ea0da9a956643e8984387ff	5.0	1
47ac5ca58a00fc3761fd3358993649ef	5.0	1
9004b442993f8dac89b6ba5b3bd6c445	5.0	1
ff827d076a2fd26ab8791ad31da62735	5.0	1
f689372d5f8d184d8733cc155d307d5c	5.0	1
5a646f256a19b7f4d68dbe74e563b5d9	5.0	1
54e79fcb0bd002cefdec446685a3d676	5.0	1
86c85cb7ac8dcefc3644041883421c24	5.0	1
6e2e552c604e2ee6c958b37907379328	5.0	1
096af19a014f877223e5ff2d8b1433c3	5.0	1
0a9c0f5806bd6605a6be8c1c5fab2803	5.0	1
53a1479ccd9e6c5aa96485388699bf94	5.0	1
f2d28e8c1d683de289dd727a3c20e013	5.0	1
d5eb80c26a008a368ef49110e46b05bd	5.0	1
a653e1e25bc7b3bfc53ecbee8e08c799	5.0	1
5fe8a79baa0e9601bc73ff3938dbf497	4.0	1
783ea4aab429fb9aa20a1264074ae60c	4.0	1
8820549df4df1d033172dd187319d06f	4.0	1
85ac83daa78930e71ceff45dcd61ee12	4.0	1
a65a721d90a7e48010113435818d69be	4.0	1
e96be432ef825f6d81c02a00910a2f12	4.0	1
af101f6ceb2059efa2d97a9ba8732a9d	4.0	1
34226986d9a7cc490b63dbf9928b9bee	4.0	1
a7c7cf68def4b0d445226c2e3938ff51	4.0	1
d3b770095c3b56de5ba4bc7e576e3931	4.0	1
98bebc482cd9ca7290f2f2a248aec8e5	4.0	1
880f37c3b162f77eaf2171436908e134	4.0	1
1fb6df604938c337483d36ee2e939b92	4.0	1
37c2360b5cb7a7212a2ff15fba12b270	4.0	1
5c5682c8646261d3f1fa51270c21f95d	4.0	2
f6e793e6adcde02c93be776f4aebbe51	4.0	2
948a628bd325d2bbcae73a4546be45d6	4.0	1
029f16d7439ba12681fbf6940821b468	4.0	1
cbb2ce5bbe1710f054b5adb71f29aa09	4.0	1
9bc833085f1548853b1cf3d905f7d97f	4.0	1
19134cd91473a8716af2fea6515a38ad	4.0	1
17bcaf5a87036a0156e86b9fd722a418	4.0	1
1b582e02c5db66d9b19bac42d19cbdfe	4.0	1
aa2d96e9bd79b0daa429983e2aaf6205	4.0	1
41c34e84ce65fba113ea84d635df703e	4.0	1
844dbf54e9b6647e87b349fbaa83b78a	4.0	1
66b9c0da2db3f4947f50e1fcd1602dd6	4.0	1
cef569ed3f37a30114ff48ea3bcde5e6	4.0	1
6966f7f2054d9694533f9fc7fda04558	4.0	1
39d96ded98b9db72e5ce5de3df737669	4.0	1
1f35fc598292457fbb482e2b8f4237fd	4.0	1
6e9dc9ebc7f9f2b9381638ed8c9be6f0	4.0	1
5f3443a78c43d705e1c1749add3951ff	4.0	1
321ef9ed6e9912549618aed741da32ae	4.0	1
49a85d1c26f0cadbbe1c36ec5014afa1	3.0	1
55c53ff953d747ebfb514235c8c7286c	3.0	1
e667afb6b48b0007e9af60486940be9f	3.0	1
9ee6fac4053b666eab9dc8eae340403f	3.0	1
219a08aa0eba36293d0eb2bd03fd92de	3.0	1
a43ddcd44d41456d1dab22318e67fe3d	3.0	1
98af91638cced2cfe681c31927e8a8e8	3.0	1
c1972519928146002b88a946471e938f	3.0	1
3b9a01065c42a103da04a5695ff4693f	3.0	1
8794266a9850580f5e066fcd3caea9c9	3.0	1
e4bf0ddf49a1b74b07a54dda414a18a3	3.0	1
fada87a6d1c078a694e924638b126ec9	3.0	1
dd5c07f3d8913531e58e8dc843af735e	3.0	1
e489f7ab1494b0b614f706bd7bb8e8a1	3.0	1
4bf17a8e6ba3134f539a2ab3cea0c14b	3.0	1
4f997184acb57f8c74379fa58c8f1693	3.0	1
9f1c3ed77a06526841e29fc6c9e924a4	3.0	1
483f40d0db4507d1b5793b5a24975841	3.0	1
7bdac97dd5b3ca2432bb2b20320e5500	3.0	1
dc0f7f7895f74a7be8ac06aa25be661b	3.0	1
1a2c609995e7d735d0d7040ee5bb6e3b	3.0	1
7daff9940d5f6df38a496252eb7dc98a	3.0	1
ae1d5473bb32f0a1933d5b4fc0e3eeb4	3.0	1
38e47a88b1aa23639981c3b0c41c7cb2	3.0	1
fe8bcefd589c12bb924797113add842f	3.0	1
5ad2c891084262e1078ff79ed5667653	3.0	1
44d0ac06b00a1a731a82972d35c27ef7	3.0	1
145c63ee007bff033211e7acb00c2ea4	3.0	1
ec10cc853a1b84f459a4bfbb02d07e23	3.0	1
70d187eb58572a3bcebecbd95b3a4d38	3.0	1
96bde1d77000933e946dfb199925c7a3	3.0	1
17cca5dbb858ecc8331af6ce73ecfbbe	3.0	1
472e706255ffc7dcd54a0af2e20c56e3	3.0	1
53b99adc639a34045af07c9c873862df	3.0	1
f334d2bc181c6ee444a7ace2943af183	3.0	1
033b3477cc2e64b426992eee9236d268	3.0	1
efcb7a0d4a2ff3b82317158c2ba0c523	3.0	1
cb27b579b1b59c3e5d4104623e8b359a	3.0	1
d13840a3816a0f5e14c51c86899d0170	3.0	1
46d7d2150b3dcacf1d82862da6c16c1d	3.0	1
8c17243ee0487252b481d5550f986696	3.0	1
dcc7fedd68b118f6d33aed6679af9872	3.0	1
0118d57337bccab8f376ba2917c68eb5	3.0	1
855919a3a96c487ce877691029c8f660	3.0	1
279be72845ff87119638eed742556e91	3.0	1
536d7b9c42b621a92014ed3fe67df968	3.0	1
adc72dccf3a30113fd9335cb6462f2dc	3.0	1
6f3f2c4d9a1c514496e5636651b26090	3.0	1
3988276297394e687bdf29286da7fade	3.0	1
153f5dc3a17e6cf9df0cac4a4626f744	3.0	1
d71e7f3b028ede507470b1bfedbb8983	3.0	1
78daa5588afa4e1f1b1f8696afbb1260	3.0	1
48ed1634541c5bcd5f026605416d5be0	3.0	1
4ad61867e86159b7838ec1e4bdf532fa	3.0	1
87f23dff63ebabb1ee31b6a816a6f2e4	3.0	1
82ec53e4344ddf93f89cfc2e583e81e0	3.0	1
660000e9af98122dc79d1d5f709757c0	3.0	1
5526a476ac2ae4ef08b7bcb1a33d7f53	3.0	1
b162db6e625cbe003b495aa850f1de17	3.0	1
3d4f0620518694f2572bf2a533bcab57	3.0	1
e8ab26196eee829c47fbd72da200f02c	3.0	1
fae2f341d40af8ee61de95e710ad63e9	3.0	1
4cf8382f0c3af4a503676b907ed0c63e	3.0	1
9a91bed865a472277d6a32c9880b1173	2.0	1
0bfb11bc0ab57849fe2c5ec8a5deab88	2.0	1
fbdf2eaac4b7661c323e259ef3fe4d74	2.0	1
957f318f7967da6daabf0d48593ac0da	2.0	1
2b1c55727a55a88c4d45510579a1ed1a	2.0	1
1c8aaf7ad4d934ef9d673d03d0267425	2.0	1
4870859dcfb961dab8ac294550c2ca6c	2.0	1
245422d8e5161734680fc1df34efc639	2.0	1
58dc31ebc41b77888661072e6c799341	2.0	1
6a511260664430ae24e9249220a4fc8f	2.0	1
a0eeab5dede5f14abb33b2e520b39599	2.0	1
0e070507abba4160021ce83993fa8988	2.0	1
08e82441af4098baf31f236034ea249b	2.0	1
157ff7048c408a2243548ccc631e92c7	2.0	1
9a215fa0e73e9b12ecd3b1b6d42e6dba	2.0	1
178e5b49d1382ecedfaeb479490b0a0b	2.0	1
ce85443cc7037212c3e6874653adfe72	2.0	1
9412a1c9baaa8ea4382e404d902783fd	2.0	1
59e0dff8c0b1047b3e8c35d69f2b203e	2.0	1
9be19ab968ad92fd94c7295f2109e33e	2.0	1
6b3758e874b41b21031413a3ac761acd	2.0	1
347835f89b2f1d7b5a72588b1b865e37	2.0	1
fdefb06175a6456a85d0355132685321	2.0	1
e5b20010c5bbeae5bec6579ac93d74b2	2.0	1
b10557ee98062b9e3f8d42587f41fc07	2.0	1
2aeca764af87c7fe4b4ecdfef1e7face	2.0	1
35a6f0e22139772d9a3f13bab06a63ef	2.0	1
d4e30f24312f021ed1d0a0fc500579bd	2.0	1
a7dee29dd0f54a24b73d9c74dbd7ac92	2.0	1
99d20e29f6c3b3ce8b5a8c26cf1e256b	2.0	1
b6f7e10ef0d83e8306ba4eb420c14bbd	2.0	1
6d20310fd50f3406d820d66d8ac6bdc5	2.0	1
28c202100ee518d8a495d46af25ed41e	2.0	1
0c6ec4d45af4de39069620764467aa05	2.0	1
f1d6186e0cc7872886280904c9c97698	2.0	1
844153abf4b2fff43c23531c070afc26	2.0	1
fb0b88be5b18227ded51803b6c755eab	2.0	1
f0e700e94a65a451697b223e274bb5bf	2.0	1
afdc6bb8a8ff7bfe8bd19e8ebd153aa8	2.0	1
cd4db2247c8b7c4f75eb8a4865698645	2.0	1
ec383b5ea1ac0a64505989f027e4b15e	2.0	1
d52ed7a499c1ebeeb759cfd1c7693e11	2.0	1
a57e8133deb4fc1a6cbeaac02d482d8f	2.0	1
145dd81c19bf3ceb88f911840da09753	2.0	1
1118e439f5e09d71f0ab4a2f93f3eda7	2.0	1
f3f9a9f0b503cf4f0c256f629c1b0398	2.0	1
b2ff465f3ce89a33862c4c1864f4e1d2	2.0	1
f902b43a22213959daa997684d1faf7f	2.0	1
c956153958c5408cfdf9fbf3a704ef79	2.0	1
954a9f37977a2055117e40fda8d885cd	2.0	1
46bd0a10fe939400736706c91f43717d	2.0	1
a2ef7fa4b62c4b01208dfa4aad27e0c1	2.0	1
c3c2da82d96e8b8ee73b62eb5edf06ab	2.0	1
9cb0b8fb0953d35a0dbb91a2979c894b	2.0	1
84d53da3860d39365c990c7a322c4d1f	2.0	1
2062317b64c59a5b7f3844326e77c74a	2.0	1
268425f28d1096a853eba13a06210c18	2.0	1
7226e51d3542effad78d066ca9b7cea2	2.0	1
020f04df345de3ba12ecf913a853b686	2.0	1
07d28b94cbd613e425c69c5178e40a06	2.0	1
ed5e2e6b6f5969ad62b34c00a9eeb9b3	2.0	1
2e27723ea895ab1bdef90d3cedae756c	2.0	1
58b4bb90ea99ffb8f9c00fced2c0e798	2.0	1
afb285b046870964b875f3cb43558240	2.0	1
db77c725d3290421d640c536d7308bcc	2.0	1
2dc45b7fb6c25d018ed33151dc488af2	2.0	1
21f78e2feca8fbd3cde3d8f5f53f0392	2.0	1
35b5c3571de55e4d911b3b2166603472	2.0	1
3cfb94dcb6434332475efa51c653318a	2.0	1
a7594af68bb51cf102d651c5273bcc66	2.0	1
a2d982cabb4cc8a6f0cd987f7ee77ebb	2.0	1
de748aa343b823ec00677351c8e34391	2.0	1
e2abb44e2cebc46c751257175cf3c492	2.0	1
6c01e6ec2eb4fb3e4dfe43d91bc05a35	2.0	1
cd8c962b4550c99da2caee4c6971c513	2.0	1
