FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species
Intestinibacter						Intestinibacter	
Intestinimonas						Intestinimonas	
Lachnoanaerobaculum						Lachnoanaerobaculum	
Lactobacillus						Lactobacillus	
Lactococcus						Lactococcus	
Lactonifactor						Lactonifactor	
Leuconostoc						Leuconostoc	
Megasphaera						Megasphaera	
Methanobrevibacter						Methanobrevibacter	
Methanosphaera						Methanosphaera	
Mitsuokella						Mitsuokella	
Mobiluncus						Mobiluncus	
Mogibacterium						Mogibacterium	
Murimonas						Murimonas	
Odoribacter						Odoribacter	
Olsenella						Olsenella	
Oribacterium						Oribacterium	
Oscillibacter						Oscillibacter	
Parabacteroides						Parabacteroides	
Paraprevotella						Paraprevotella	
Parasutterella						Parasutterella	
Parvimonas						Parvimonas	
Pediococcus						Pediococcus	
Peptococcus						Peptococcus	
Peptoniphilus						Peptoniphilus	
Peptostreptococcus						Peptostreptococcus	
Phascolarctobacterium						Phascolarctobacterium	
Porphyromonas						Porphyromonas	
Prevotella						Prevotella	
Pseudobutyrivibrio						Pseudobutyrivibrio	
Pseudoflavonifractor						Pseudoflavonifractor	
Romboutsia						Romboutsia	
Roseburia						Roseburia	
Rothia						Rothia	
Ruminococcus						Ruminococcus	
Ruminococcus2						Ruminococcus2	
Scardovia						Scardovia	
Senegalimassilia						Senegalimassilia	
Slackia						Slackia	
Solobacterium						Solobacterium	
Sporobacter						Sporobacter	
Staphylococcus						Staphylococcus	
Stomatobaculum						Stomatobaculum	
Streptobacillus						Streptobacillus	
Streptococcus						Streptococcus	
Streptophyta						Streptophyta	
Subdoligranulum						Subdoligranulum	
Succiniclasticum						Succiniclasticum	
Succinivibrio						Succinivibrio	
Sutterella						Sutterella	
Terrisporobacter						Terrisporobacter	
Turicibacter						Turicibacter	
Varibaculum						Varibaculum	
Veillonella						Veillonella	
Victivallis						Victivallis	
Weissella						Weissella	
unclassified_Acanthopleuribacteraceae						unclassified_Acanthopleuribacteraceae	
unclassified_Acetobacteraceae						unclassified_Acetobacteraceae	
unclassified_Acidaminococcaceae						unclassified_Acidaminococcaceae	
unclassified_Actinomycetaceae						unclassified_Actinomycetaceae	
unclassified_Aerococcaceae						unclassified_Aerococcaceae	
unclassified_Alcaligenaceae						unclassified_Alcaligenaceae	
unclassified_Alteromonadales						unclassified_Alteromonadales	
unclassified_Anaeroplasmataceae						unclassified_Anaeroplasmataceae	
unclassified_Bacillaceae						unclassified_Bacillaceae	
unclassified_Bacillales						unclassified_Bacillales	
unclassified_Bacteroidaceae						unclassified_Bacteroidaceae	
unclassified_Bacteroidales						unclassified_Bacteroidales	
unclassified_Bdellovibrionaceae						unclassified_Bdellovibrionaceae	
unclassified_Bifidobacteriaceae						unclassified_Bifidobacteriaceae	
unclassified_Bryobacter						unclassified_Bryobacter	
unclassified_Candidatus						unclassified_Candidatus	
unclassified_Carnobacteriaceae						unclassified_Carnobacteriaceae	
unclassified_Catabacteriaceae						unclassified_Catabacteriaceae	
unclassified_Chitinophagaceae						unclassified_Chitinophagaceae	
unclassified_Chloroplast						unclassified_Chloroplast	
unclassified_Christensenellaceae						unclassified_Christensenellaceae	
unclassified_Clostridiaceae						unclassified_Clostridiaceae	
unclassified_Clostridiales						unclassified_Clostridiales	
unclassified_Comamonadaceae						unclassified_Comamonadaceae	
unclassified_Coriobacteriaceae						unclassified_Coriobacteriaceae	
unclassified_Cryomorphaceae						unclassified_Cryomorphaceae	
unclassified_Cryptosporangiaceae						unclassified_Cryptosporangiaceae	
unclassified_Cyclobacteriaceae						unclassified_Cyclobacteriaceae	
unclassified_Cytophagaceae						unclassified_Cytophagaceae	
unclassified_Defluviitaleaceae						unclassified_Defluviitaleaceae	
unclassified_Dehalococcoidaceae						unclassified_Dehalococcoidaceae	
unclassified_Deinococcaceae						unclassified_Deinococcaceae	
unclassified_Desulfobacteraceae						unclassified_Desulfobacteraceae	
unclassified_Desulfohalobiaceae						unclassified_Desulfohalobiaceae	
unclassified_Desulfomicrobiaceae						unclassified_Desulfomicrobiaceae	
unclassified_Desulfovibrionaceae						unclassified_Desulfovibrionaceae	
unclassified_Dietziaceae						unclassified_Dietziaceae	
unclassified_Ectothiorhodospiraceae						unclassified_Ectothiorhodospiraceae	
unclassified_Enterobacteriaceae						unclassified_Enterobacteriaceae	
unclassified_Enterococcaceae						unclassified_Enterococcaceae	
unclassified_Erysipelotrichaceae						unclassified_Erysipelotrichaceae	
unclassified_Eubacteriaceae						unclassified_Eubacteriaceae	
unclassified_Flammeovirgaceae						unclassified_Flammeovirgaceae	
unclassified_Flavobacteriaceae						unclassified_Flavobacteriaceae	
unclassified_Geminicoccus						unclassified_Geminicoccus	
unclassified_Gracilibacteraceae						unclassified_Gracilibacteraceae	
unclassified_Halomonadaceae						unclassified_Halomonadaceae	
unclassified_Haloplasmataceae						unclassified_Haloplasmataceae	
unclassified_Heliobacteriaceae						unclassified_Heliobacteriaceae	
unclassified_Hyphomonadaceae						unclassified_Hyphomonadaceae	
unclassified_Ignavibacteriaceae						unclassified_Ignavibacteriaceae	
unclassified_Kofleriaceae						unclassified_Kofleriaceae	
unclassified_Lachnospiraceae						unclassified_Lachnospiraceae	
unclassified_Lactobacillaceae						unclassified_Lactobacillaceae	
unclassified_Marinilabiliaceae						unclassified_Marinilabiliaceae	
unclassified_Mariprofundaceae						unclassified_Mariprofundaceae	
unclassified_Methanobacteriaceae						unclassified_Methanobacteriaceae	
unclassified_Microbacteriaceae						unclassified_Microbacteriaceae	
unclassified_Micrococcaceae						unclassified_Micrococcaceae	
unclassified_Natranaerobiaceae						unclassified_Natranaerobiaceae	
unclassified_Natranaerovirga						unclassified_Natranaerovirga	
unclassified_Neisseriaceae						unclassified_Neisseriaceae	
unclassified_Oceanospirillaceae						unclassified_Oceanospirillaceae	
unclassified_Oleiphilaceae						unclassified_Oleiphilaceae	
unclassified_Oligosphaeraceae						unclassified_Oligosphaeraceae	
unclassified_Oxalobacteraceae						unclassified_Oxalobacteraceae	
unclassified_Paenibacillaceae						unclassified_Paenibacillaceae	
unclassified_Pasteurellaceae						unclassified_Pasteurellaceae	
unclassified_Peptococcaceae						unclassified_Peptococcaceae	
unclassified_Peptoniphilaceae						unclassified_Peptoniphilaceae	
unclassified_Peptostreptococcaceae						unclassified_Peptostreptococcaceae	
unclassified_Planococcaceae						unclassified_Planococcaceae	
unclassified_Porphyromonadaceae						unclassified_Porphyromonadaceae	
unclassified_Prevotellaceae						unclassified_Prevotellaceae	
unclassified_Prolixibacteraceae						unclassified_Prolixibacteraceae	
unclassified_Proteinivoraceae						unclassified_Proteinivoraceae	
unclassified_Puniceicoccaceae						unclassified_Puniceicoccaceae	
unclassified_Rhodobacteraceae						unclassified_Rhodobacteraceae	
unclassified_Rhodocyclaceae						unclassified_Rhodocyclaceae	
unclassified_Rhodospirillaceae						unclassified_Rhodospirillaceae	
unclassified_Rickettsiaceae						unclassified_Rickettsiaceae	
unclassified_Rikenellaceae						unclassified_Rikenellaceae	
unclassified_Ruminococcaceae						unclassified_Ruminococcaceae	
unclassified_Sphingobacteriaceae						unclassified_Sphingobacteriaceae	
unclassified_Spirochaetaceae						unclassified_Spirochaetaceae	
unclassified_Sporolactobacillaceae						unclassified_Sporolactobacillaceae	
unclassified_Streptococcaceae						unclassified_Streptococcaceae	
unclassified_Succinivibrionaceae						unclassified_Succinivibrionaceae	
unclassified_Sutterellaceae						unclassified_Sutterellaceae	
unclassified_Synergistaceae						unclassified_Synergistaceae	
unclassified_Syntrophobacteraceae						unclassified_Syntrophobacteraceae	
unclassified_Thermoactinomycetaceae						unclassified_Thermoactinomycetaceae	
unclassified_Thermoanaerobacteraceae						unclassified_Thermoanaerobacteraceae	
unclassified_Vallitalea						unclassified_Vallitalea	
unclassified_Veillonellaceae						unclassified_Veillonellaceae	
unclassified_Verrucomicrobiaceae						unclassified_Verrucomicrobiaceae	
unclassified_Victivallaceae						unclassified_Victivallaceae	
unclassified_Vulgatibacteraceae						unclassified_Vulgatibacteraceae	
unclassified_Xanthomonadaceae						unclassified_Xanthomonadaceae	
