FeatureID	sa1	sa2	sa3	sa4	sa5	sa6	sa7	sa8	sa9	sa10	sa11	sa12	sa13	sa14	sa15	sa16	sa17	sa18	sa19	sa20	sa21	sa22	sa23	sa24	sa25	sa26	sa27	sa28	sa29	sa30	sa31	sa32	sa33	sa34	sa35	sa36	sa37	sa38	sa39	sa40	sa41	sa42	sa43	sa44	sa45	sa46	sa47	sa48	sa49	sa50	sa51	sa52	sa53	sa54	sa55	sa56	sa57	sa58	sa59	sa60	sa61	sa62	sa63	sa64	sa65	sa66	sa67	sa68	sa69	sa70	sa71	sa72	sa73	sa74	sa75	sa76	sa77	sa78	sa79	sa80	sa81	sa82	sa83	sa84	sa85	sa86	sa87	sa88	sa89	sa90	sa91	sa92	sa93	sa94	sa95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135
Allisonella	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	38	0	0	0	19	0	20	0	0	0	0	0	0	19	3	0	0	6	21	0	0	0	0	0	0	0	0	0	0	4	0	0	1	27	0	0	0	0	0	9	5	29	0	0	0	0	0	0	5	0	7	2	3	14	31	0	82	1	0	0	1	31	8	12	0	2	0	21	0	0	0	0	0	5	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	20	0	0	34	0	0	0	0	0	0	0	0	0
Alloprevotella	452	672	2	187	3	2	278	1	6	2	2	4	0	3	7	5	6	1	223	1	1	0	1	1	2	4	0	5	1	3	3	6	371	4	9	541	2	5	4	77	1	13	1	9	3	4	2	0	8	3	4	3	9	224	18	7	4	4	10	653	4	4	7	1	4	0	5	4	5	6	5	7	5	0	2	23	4	2	4	2	15	0	27	3	518	6	824	594	3	3	0	5	3	13	4	1	0	0	0	0	0	0	102	548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloscardovia	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1
Anaerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0
Anaerofustis	6	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0	4	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	2	3	1	2	1	0	6	0
Anaerosporobacter	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	5	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	4	1	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	2	0	1	0	0
Anaerostipes	331	945	40	340	273	7	109	566	10	3	226	166	15	58	570	278	55	3	98	211	25	202	246	62	123	23	191	10	66	191	283	40	213	1709	180	1173	68	353	128	233	196	109	110	323	271	75	608	65	274	141	142	268	9	550	36	416	121	211	108	658	348	181	309	523	93	40	473	368	206	87	63	293	115	105	120	148	257	373	289	133	101	1060	8	127	156	136	32	673	587	959	126	89	46	139	231	369	44	292	128	754	1285	913	207	122	332	243	347	1661	127	102	431	234	191	1081	1556	212	229	466	248	74	38	193	314	1167	731	42	1541	352	391	421	218	419	614	342	587
Anaerotruncus	0	0	2	0	0	0	4	1	0	0	0	0	0	5	1	0	0	0	0	0	0	3	1	1	0	0	1	0	2	0	7	1	2	1	0	0	0	4	1	2	1	3	0	18	3	0	0	3	0	1	0	0	1	0	1	6	6	2	0	0	0	0	0	4	15	4	0	0	0	4	4	1	0	6	0	1	0	2	0	1	14	0	1	2	0	1	0	6	4	0	0	0	0	1	1	0	1	3	1	2	1	11	0	0	0	0	12	36	1	1	0	1	2	0	8	1	21	2	1	3	4	1	2	0	1	0	0	15	6	5	0	5	1	52	3
Atopobium	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
Bacteroides	3391	6580	2195	7985	13798	5152	4650	7150	6839	2833	12037	7569	3073	6357	9242	3052	7981	4927	782	4205	4895	3325	4240	2662	11036	593	1593	17159	2798	365	10053	629	1756	6276	2016	1207	501	10595	4657	217	1321	1926	3899	2914	1317	1527	2789	233	1259	2035	837	2936	247	678	842	4913	5723	3264	980	1771	7886	2161	3234	3477	1822	627	1285	4606	4712	2194	1458	4348	398	1878	5348	1315	12816	2143	6837	1876	3455	681	14205	3870	2040	7051	678	1896	2131	4606	1121	3176	3959	6489	3375	8742	13266	1676	2411	4702	4397	7871	1381	997	1451	11964	11220	8720	4345	3762	6187	6613	6991	584	688	10587	2886	11466	10279	1649	9865	5165	5153	663	12746	19464	2376	16562	14737	10465	5720	6936	4894	10590	2426
Barnesiella	88	2	4	721	10	9	515	6	8	8	13	40	1	13	173	14	33	8	19	161	131	364	127	7	7	31	129	16	173	85	5	42	149	175	83	190	24	148	46	7	307	681	79	685	67	28	123	29	30	126	9	162	5	30	19	698	197	40	11	41	556	180	24	387	23	167	50	19	70	398	215	196	63	908	235	20	102	139	87	31	333	32	293	469	119	751	7	400	394	190	58	238	26	220	673	432	131	20	219	56	58	942	169	206	0	279	2325	676	8510	750	80	873	104	9	86	22	406	0	62	648	186	29	62	0	93	133	1	0	0	1031	27	82	67	0	329
Bifidobacterium	16	41	596	13	12	55	173	232	11	10	14	442	219	670	104	4640	125	5	813	258	17	289	223	2	133	611	4	11	7	416	1585	170	1	1294	352	108	11	281	339	469	1106	1891	347	1453	740	8	674	79	9	220	281	81	62	160	18	565	5	537	215	6	58	718	789	200	135	596	723	1630	761	429	264	2698	135	602	649	262	635	147	1147	10	244	730	127	6	19	2706	389	743	930	705	119	985	4911	359	3	910	662	486	1282	3012	4590	310	1177	294	247	15	1543	2421	52	119	375	342	1685	13893	939	670	1943	1187	1	130	549	727	592	1465	1	318	177	4	216	1614	661	1696	360	4157	813
Bilophila	63	0	189	5	4	4	149	98	5	67	94	73	0	4	11	2	19	1	10	15	74	39	190	0	2	56	49	9	68	4	89	6	0	36	4	37	8	177	32	1	12	43	36	45	20	73	617	7	62	31	17	0	3	8	23	187	177	87	82	25	174	13	4	60	202	14	21	248	46	0	10	54	0	193	95	15	44	97	176	4	158	38	120	121	47	119	6	141	8	43	16	0	11	129	78	31	8	25	29	55	28	58	123	158	27	40	120	185	46	68	39	188	54	1	9	51	265	44	62	8	74	3	38	47	0	43	0	51	200	156	20	95	40	0	195
Blautia	1150	1105	298	430	627	430	4153	2541	307	729	1513	420	498	1344	1999	462	1204	86	88	384	562	948	479	1894	363	366	2283	124	691	709	445	179	1175	4255	1012	2129	952	1135	1070	1185	376	434	747	1060	521	2833	3513	1797	602	1362	850	1231	375	3355	271	1788	895	1378	612	919	1345	734	884	2798	1514	946	814	898	1975	1708	1392	1238	650	902	1974	838	647	533	1068	560	1052	4523	220	970	821	2351	943	2305	1917	1172	499	259	1137	992	159	2619	201	2990	1217	1003	1182	1616	1412	3292	484	416	2399	6567	2371	966	909	160	860	1769	1743	916	3136	940	1264	1076	1577	5767	2611	9173	1077	942	988	3985	1752	1976	1513	2862	1260	1594	4000
Brachyspira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Butyricicoccus	50	53	115	83	37	219	11	65	8	2	28	72	13	44	54	22	83	2	3	125	20	66	5	19	0	24	100	2	19	60	22	34	59	386	46	104	134	70	70	23	23	5	72	680	51	345	205	23	27	89	96	72	70	561	20	34	9	86	37	347	43	22	50	136	79	35	28	75	22	48	55	144	59	357	136	47	79	96	141	82	2	347	21	24	87	70	37	192	197	78	71	36	112	167	24	11	2	107	72	108	154	16	189	125	2	0	34	244	13	2	3	1	152	120	48	49	1	7	8	3	2	3	44	15	140	1	87	32	60	109	61	73	1	3	158
Butyricimonas	16	0	0	1	3	1	29	14	7	6	1	13	1	8	22	5	11	0	6	7	7	17	27	1	1	1	6	2	28	47	40	41	95	20	3	29	17	72	0	4	48	93	12	287	15	31	6	3	16	13	3	20	1	12	39	29	54	96	30	65	164	13	5	17	7	9	29	3	29	30	15	20	20	52	48	56	2	25	33	132	185	2	31	15	54	255	4	21	32	39	8	14	5	18	106	0	41	19	31	24	0	50	49	10	0	8	102	48	138	1	60	5	56	0	24	10	55	0	38	56	18	8	7	0	5	8	0	0	39	60	0	16	41	0	15
Butyrivibrio	2	1	0	0	0	4	2	1	1	7	3	3	0	2	7	3	4	0	7	1	6	1	5	0	0	5	2	0	2	32	2	2	0	3	6	6	1468	1	2	2	0	2	3	158	1	2	0	16	0	5	402	445	339	22	974	12	0	1618	1	1	5	33	1	0	0	1	2	0	0	0	3	4	2	4920	6	271	8	3	1009	0	1	11	3	3	1	1125	1	2853	1	3	1	0	4	1	0	0	0	0	0	0	0	0	1032	0	84	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Campylobacter	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0
Catabacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Catenibacterium	1	2	0	0	0	0	1	1	3	0	0	1	0	3	0	0	1	0	1	0	1	0	0	0	0	10	1	0	0	1	1	24	0	0	1	6	135	0	0	246	0	3	0	1	0	55	2	0	5	1	0	0	3	34	0	2	0	1	0	0	0	0	0	1	1	6	1	0	1	0	2	0	2	2	724	0	0	0	1	115	3	2	6	0	0	1	1	4	4	2	0	1	1	1	3	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0
Cerasicoccus	0	0	0	1	0	4	1	0	1	0	0	0	0	0	3	1	2	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	10	0	0	60	0	125	0	0	0	0	1	0	16	1	1	0	0	12	0	0	2	0	0	1	1	8	0	1	0	0	9	0	0	24	0	13	0	1	1	0	2	0	0	0	0	0	0	50	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Christensenella	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cloacibacillus	7	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	0	0	0	0	0	1	0	0	0	14	0	0	34	0	1	0	0	0	4	1	0	2	3	0	1	0	10	0	1	15	0	1	0	0	31	0	0	0	1	0	0	0	0	4	3	1	5	0	0	0	1	0	1	5	0	0	8	12	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Clostridium_III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_IV	25	4	3	40	2	17	20	27	6	3	6	13	6	5	32	22	36	3	3	21	13	32	12	10	5	8	13	6	10	289	813	25	70	45	30	65	207	36	12	12	102	53	11	292	42	168	34	178	210	93	43	74	115	265	100	69	1164	83	45	51	137	58	26	19	52	110	15	19	39	14	66	35	67	564	18	119	10	77	393	20	45	13	185	74	210	546	8	3619	70	36	16	367	46	112	226	16	13	102	31	127	19	23	78	44	4	2	105	134	727	79	9	113	33	27	221	66	25	8	14	169	11	41	12	28	13	25	6	17	60	44	5	46	68	6	97
Clostridium_XI	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Clostridium_XVIII	1	20	74	0	2	60	1	5	0	19	0	0	12	86	4	0	2	0	1	2	13	0	3	33	62	0	5	0	5	2	2	2	0	12	9	0	4	10	7	14	9	0	23	5	4	2	7	3	3	12	4	6	3	5	1	8	35	25	0	6	5	0	0	4	0	0	9	3	43	1	8	3	2	2	6	0	4	0	5	0	4	13	0	6	0	15	6	3	2	5	2	3	7	14	8	9	208	41	6	1	18	47	4	1	0	9	63	45	21	1	1	12	4	0	8	1	21	19	6	0	4	24	8	11	1	0	19	7	108	2	16	3	9	339	57
Clostridium_XlVa	276	88	392	159	579	437	1594	135	2	140	517	16	192	1158	35	5	116	151	5	33	1764	11	73	316	227	12	45	1146	63	7	66	22	64	73	33	22	35	36	17	15	8	26	15	23	7	176	127	9	37	36	18	48	353	20	8	71	29	80	22	64	9	15	25	28	86	15	15	56	69	49	7	61	50	20	40	12	18	13	47	29	32	161	15	35	26	38	13	64	9	32	10	15	15	31	11	62	67	19	6	10	8	29	15	90	45	26	62	247	493	40	19	22	11	35	719	26	4	52	75	23	48	64	18	96	18	10	47	93	163	11	14	14	16	822	65
Clostridium_XlVb	59	15	3	1	3	16	8	77	0	1	2	32	0	76	76	1	48	1	3	10	7	141	8	6	3	15	49	3	9	2	7	3	31	74	22	37	12	129	43	6	4	1	17	47	10	76	4	21	30	33	5	35	4	14	9	72	59	12	9	10	23	32	31	62	56	11	25	2	0	51	32	41	31	6	85	3	12	5	7	58	11	87	10	8	4	3	17	45	117	59	24	9	5	83	33	18	0	9	61	40	95	23	10	42	10	108	117	25	56	16	26	4	4	18	7	33	18	56	39	3	48	55	10	10	18	139	29	29	315	48	61	25	12	0	70
Clostridium_sensu_stricto	0	2	0	9	4	202	5	0	0	0	2	5	1	3	5	6	6	0	6	4	18	1	2	6	1	2	0	3	1	355	5	78	22	1	33	522	283	10	2	68	69	22	7	478	7	27	2	1	7	21	261	27	36	411	158	10	3	9	22	73	267	82	31	29	0	20	123	19	179	9	5	5	8	114	4	12	13	8	9	3	27	7	5	11	54	134	18	44	1	11	5	4	20	110	2	2	0	156	29	15	6	5	28	29	10	19	1	12	0	87	0	67	22	0	111	14	12	4	21	52	32	4	0	0	12	0	1	10	24	70	0	6	62	12	5
Collinsella	14	14	0	3	0	3	38	19	2	1	8	325	10	121	24	44	4	1	18	29	14	13	27	290	6	82	55	2	30	146	3	91	14	366	84	32	13	95	41	81	205	22	118	630	47	38	124	60	69	362	78	23	32	338	6	127	3	230	54	42	96	77	180	174	1050	251	173	156	287	131	261	153	265	477	14	90	169	36	148	125	46	475	47	1	8	744	244	43	124	13	67	3	221	66	25	55	0	387	60	81	176	472	84	408	37	199	255	28	1201	28	42	27	81	514	325	32	1668	7	8	173	252	171	282	60	30	24	70	0	537	52	0	458	44	0	126
Comamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	61	0
Coprobacter	119	76	0	77	4	2	10	0	0	0	86	7	0	1	4	4	5	5	0	7	1	1	18	0	0	2	7	3	7	13	37	2	23	18	12	2	7	19	1	1	4	24	0	88	25	81	4	5	1	13	2	5	8	2	10	36	130	37	0	8	3	7	13	59	2	7	9	0	0	12	12	30	0	41	0	40	22	36	4	45	12	3	58	7	5	5	2	142	0	11	2	26	8	71	193	0	0	9	6	33	20	11	72	0	6	0	8	130	0	19	12	12	24	0	23	7	6	0	16	0	0	2	23	1	0	3	2	0	29	31	19	2	44	0	4
