FeatureID	DisplayTaxon	Module	WithinConnectivity	KME	CandidateHub
Genus:Devosia	Devosia	turquoise	8.07558654469269	0.526968142323655	FALSE
Genus:Pedosphaera	Pedosphaera	turquoise	5.17441896527841	0.421882473206365	FALSE
Genus:Acinetobacter	Acinetobacter	grey	1.5144595822773	NA	FALSE
Genus:Sphingomonas	Sphingomonas	brown	6.72130820059859	0.769267638365946	FALSE
Genus:Peptoclostridium	Peptoclostridium	yellow	2.70276885732791	0.373595870683846	FALSE
Genus:Rubribacterium	Rubribacterium	grey	2.2345103071673	NA	FALSE
Genus:Opitutus	Opitutus	turquoise	7.89674312955153	0.500037591247756	FALSE
Genus:Candidatus Anammoximicrobium	Candidatus Anammoximicrobium	brown	2.72421599474378	0.330624764468556	FALSE
Genus:AKYG587	AKYG587	turquoise	4.18424101315335	0.333816653717798	FALSE
Genus:Xenophilus	Xenophilus	turquoise	7.37494819301619	0.491143976480783	FALSE
Genus:Burkholderia	Burkholderia	turquoise	9.92053592215135	0.640119336928592	FALSE
Genus:Kineosporia	Kineosporia	turquoise	8.49239563022696	0.616293428828774	FALSE
Genus:Anderseniella	Anderseniella	blue	13.5724578931946	0.837245879150445	TRUE
Genus:Haliangium	Haliangium	turquoise	9.83109596117093	0.630969102080711	FALSE
Genus:Nannocystis	Nannocystis	grey	1.50303824166705	NA	FALSE
Genus:Geothermobacter	Geothermobacter	grey	1.62306549852261	NA	FALSE
Genus:Actibacter	Actibacter	blue	3.90471171359881	0.34961143555693	FALSE
Genus:Lacibacter	Lacibacter	turquoise	3.94723521831262	0.314854538093142	FALSE
Genus:Nitrospira	Nitrospira	turquoise	7.56368338875294	0.562251900453369	FALSE
Genus:Blastopirellula	Blastopirellula	blue	5.85138588088405	0.552690677645731	FALSE
Genus:Exiguobacterium	Exiguobacterium	turquoise	3.9772537850371	0.348027047735923	FALSE
Genus:Romboutsia	Romboutsia	turquoise	4.46971400691676	0.367375320594035	FALSE
Genus:Desulfatirhabdium	Desulfatirhabdium	grey	1.78844458763586	NA	FALSE
Genus:Syntrophorhabdus	Syntrophorhabdus	turquoise	6.39250249972332	0.458697794881116	FALSE
Genus:Prochlorococcus	Prochlorococcus	blue	6.43881808781379	0.605427316329769	FALSE
Genus:Acidocella	Acidocella	grey	1.28474184112974	NA	FALSE
Genus:Hyphomonas	Hyphomonas	grey	1.9815705961562	NA	FALSE
Genus:Woodsholea	Woodsholea	turquoise	6.38557323148168	0.469747792617862	FALSE
Genus:Pseudomonas	Pseudomonas	blue	2.34662477215272	0.331223649696005	FALSE
Genus:Sulfurovum	Sulfurovum	blue	10.0060548498146	0.711037207612753	FALSE
Genus:Desulfomonile	Desulfomonile	yellow	5.67969188366588	0.543176180495392	FALSE
Genus:Chloronema	Chloronema	turquoise	8.46692763660723	0.623016703509925	FALSE
Genus:Iamia	Iamia	brown	5.06549309738542	0.696439779174311	FALSE
Genus:Cellvibrio	Cellvibrio	grey	1.60034986845894	NA	FALSE
Genus:Flavobacterium	Flavobacterium	yellow	6.21247397201403	0.568511855405139	FALSE
Genus:Stenotrophomonas	Stenotrophomonas	turquoise	8.84532062128142	0.639096260730106	FALSE
Genus:Crenothrix	Crenothrix	brown	2.18639675311229	0.298289520407219	FALSE
Genus:Ramlibacter	Ramlibacter	turquoise	11.3689712033119	0.715354560493442	FALSE
Genus:Defluviicoccus	Defluviicoccus	grey	1.17277675133076	NA	FALSE
Genus:Brevundimonas	Brevundimonas	brown	4.6915992244826	0.655876807014672	FALSE
Genus:Desulfosporosinus	Desulfosporosinus	grey	1.76446740305573	NA	FALSE
Genus:Candidatus Competibacter	Candidatus Competibacter	grey	1.92153582211725	NA	FALSE
Genus:Variibacter	Variibacter	turquoise	16.6351781405632	0.852607964557521	TRUE
Genus:Algoriphagus	Algoriphagus	yellow	2.6359187645394	0.319520768289282	FALSE
Genus:Nocardioides	Nocardioides	brown	6.37012659796013	0.782298332241583	FALSE
Genus:Pir4 lineage	Pir4 lineage	grey	1.95348336426846	NA	FALSE
Genus:Denitratisoma	Denitratisoma	turquoise	7.86687386247447	0.574804747766543	FALSE
Genus:Pir2 lineage	Pir2 lineage	turquoise	4.49575304347155	0.334676455653112	FALSE
Genus:Agromyces	Agromyces	turquoise	8.26579051291504	0.576311466386423	FALSE
Genus:Syntrophobacter	Syntrophobacter	turquoise	4.38238958777248	0.356482493683443	FALSE
Genus:Terrimonas	Terrimonas	brown	4.75062871563208	0.657611386191286	FALSE
Genus:Kocuria	Kocuria	turquoise	4.86764698657359	0.410494495724904	FALSE
Genus:Desulfobacterium	Desulfobacterium	grey	1.56808184788835	NA	FALSE
Genus:Beggiatoa	Beggiatoa	grey	1.51639143740315	NA	FALSE
Genus:Ferruginibacter	Ferruginibacter	brown	6.33568895802943	0.76160107786763	FALSE
Genus:Acidovorax	Acidovorax	brown	7.13983644311853	0.868611945305782	TRUE
Genus:Roseiflexus	Roseiflexus	turquoise	13.2482239128366	0.747231408909005	FALSE
Genus:Candidatus Nitrotoga	Candidatus Nitrotoga	brown	2.37890885523891	0.356200227363794	FALSE
Genus:Limnobacter	Limnobacter	blue	7.31095469297981	0.594168483523034	FALSE
Genus:Geothrix	Geothrix	turquoise	9.09397705055572	0.60726491980279	FALSE
Genus:Sphingorhabdus	Sphingorhabdus	yellow	3.73111860457754	0.485944849935076	FALSE
Genus:Sandaracinus	Sandaracinus	grey	1.24592214369023	NA	FALSE
Genus:Clostridium sensu stricto 12	Clostridium sensu stricto 12	turquoise	4.61776078947251	0.398264130951513	FALSE
Genus:Ornatilinea	Ornatilinea	brown	2.15978505472199	0.395296871647517	FALSE
Genus:Chloroflexus	Chloroflexus	turquoise	7.31952517281818	0.543238356451849	FALSE
Genus:Comamonas	Comamonas	brown	1.88810666315076	0.379035736915892	FALSE
Genus:Sporacetigenium	Sporacetigenium	turquoise	8.84022009405112	0.608949146824279	FALSE
Genus:Tropicimonas	Tropicimonas	blue	4.11918006632916	0.489157641906069	FALSE
Genus:Smithella	Smithella	yellow	5.15268089856662	0.530860449801547	FALSE
Genus:Nitrolancea	Nitrolancea	turquoise	5.55372333630781	0.459545215079384	FALSE
Genus:Desulfatitalea	Desulfatitalea	yellow	3.08444328578899	0.378289340025611	FALSE
Genus:Erythrobacter	Erythrobacter	blue	9.99846520848119	0.738169782498275	FALSE
Genus:Perlucidibaca	Perlucidibaca	turquoise	9.95313483183562	0.656568641154984	FALSE
Genus:[Eubacterium] brachy group	[Eubacterium] brachy group	turquoise	5.18985237082084	0.440918344764695	FALSE
Genus:Desulfotignum	Desulfotignum	grey	1.25501158161431	NA	FALSE
Genus:OM60(NOR5) clade	OM60(NOR5) clade	blue	8.53486013124165	0.67450374885491	FALSE
Genus:Ferritrophicum	Ferritrophicum	grey	1.82392382916438	NA	FALSE
Genus:Luedemannella	Luedemannella	turquoise	4.92460767811144	0.424170398394329	FALSE
Genus:Massilia	Massilia	brown	4.65837144813558	0.672632154822766	FALSE
Genus:Steroidobacter	Steroidobacter	turquoise	7.80391768319272	0.559824630947092	FALSE
Genus:Tumebacillus	Tumebacillus	grey	1.28978833161278	NA	FALSE
Genus:Azospira	Azospira	turquoise	6.38970893182652	0.514220712805692	FALSE
Genus:Novosphingobium	Novosphingobium	grey	1.27772542131826	NA	FALSE
Genus:Clostridium sensu stricto 9	Clostridium sensu stricto 9	turquoise	5.55797989110724	0.446527002702028	FALSE
Genus:Methanosaeta	Methanosaeta	yellow	3.61276414997326	0.407479990783421	FALSE
Genus:Parasegetibacter	Parasegetibacter	brown	3.88543553525354	0.590502223271713	FALSE
Genus:Nitrosospira	Nitrosospira	turquoise	4.34078974904706	0.356861962443653	FALSE
Genus:Desulfopila	Desulfopila	blue	8.33117999566014	0.694471895518877	FALSE
Genus:Aquicella	Aquicella	turquoise	11.0857184674223	0.709074091140719	FALSE
Genus:Phormidium	Phormidium	turquoise	6.2454692288355	0.51342607923766	FALSE
Genus:Pelolinea	Pelolinea	yellow	3.69154913701366	0.411142287126965	FALSE
Genus:Flavihumibacter	Flavihumibacter	turquoise	3.70007334534948	0.311891241823666	FALSE
